,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
2,7.63129319721e-05,0.000112353049527,-7.63129319721e-05,-0.000112353049527,0.000554297186035,SFG_PFC_L,7707.02659574,7226.0,4902.79490681,2
18,9.3618328469e-05,9.17789595908e-05,-9.3618328469e-05,-9.17789595908e-05,0.000540961587897,MFOG_L,7871.7287234,7112.0,5155.88589245,18
184,0.000108339436037,8.96377070952e-05,0.000108339436037,8.96377070952e-05,0.000531681001527,PSTG_R,8706.76595745,9143.5,5094.12180523,184
32,2.86593014011e-05,8.54206924349e-05,2.86593014011e-05,8.54206924349e-05,0.000564991773246,PrCu_L,8255.60106383,8657.5,5184.26499288,32
43,0.000103864344692,7.99951449794e-05,-0.000103864344692,-7.99951449794e-05,0.00052502763644,ITG_R,8434.10638298,8092.0,5173.50364216,43
117,9.87672173777e-05,7.97580840702e-05,-9.87672173777e-05,-7.97580840702e-05,0.000524615958184,ACR_R,8480.37765957,8854.0,5263.18629638,117
163,0.000105657199225,7.71739169186e-05,-0.000105657199225,-7.71739169186e-05,0.000497420630105,LenticularFasc_R,8420.81914894,7864.0,5178.588356,163
96,3.15816244377e-05,7.61754388307e-05,-3.15816244377e-05,-7.61754388307e-05,0.000556400407188,CP_L,7954.71276596,8292.0,4849.2661336,96
55,0.000105622624677,6.70753301671e-05,-0.000105622624677,-6.70753301671e-05,0.000457760599715,IOG_R,8872.61702128,8832.5,5145.15613167,55
0,4.89375908467e-05,6.35470190728e-05,-4.89375908467e-05,-6.35470190728e-05,0.000519625131862,SFG_L,8535.96808511,8320.5,5097.56074427,0
47,7.86037463e-05,6.14763596472e-05,7.86037463e-05,6.14763596472e-05,0.000520858452784,ENT_R,8459.89361702,8267.5,5301.65448578,47
140,0.000103802432814,6.03992490385e-05,-0.000103802432814,-6.03992490385e-05,0.00056073923054,CGH_L,8543.0106383,8724.0,5416.06639073,140
168,5.21292250052e-05,6.02472158739e-05,-5.21292250052e-05,-6.02472158739e-05,0.000475834443475,OpticTract_L,8940.86170213,8620.0,5165.85820577,168
15,4.00533525687e-05,5.93533861186e-05,4.00533525687e-05,5.93533861186e-05,0.000517186881856,IFG_triangularis_R,8416.75531915,7998.5,5146.17296595,15
62,9.31450947192e-05,5.69886691611e-05,-9.31450947192e-05,-5.69886691611e-05,0.000519754038123,subcallosal_ACC_L,8701.93085106,8382.0,5310.0546127,62
83,4.25624628154e-05,5.46360285572e-05,4.25624628154e-05,5.46360285572e-05,0.000499643363423,Thal_R,8346.7287234,8103.0,4884.14126207,83
146,6.27892834341e-05,5.15910611228e-05,-6.27892834341e-05,-5.15910611228e-05,0.000502021513999,IFO_L,8600.2712766,9124.0,5194.00165246,146
138,5.73906379144e-05,4.92998899904e-05,5.73906379144e-05,4.92998899904e-05,0.000487476188591,CGC_L,8678.88297872,8511.0,5227.93471255,138
97,8.10280733405e-05,4.67476769734e-05,8.10280733405e-05,4.67476769734e-05,0.000445216860081,CP_R,9342.69148936,9087.5,4954.25633797,97
177,4.20518067201e-05,4.59475397876e-05,4.20518067201e-05,4.59475397876e-05,0.000498230388469,LV_atrium_R,8949.94680851,9459.0,5110.03163451,177
80,1.79056688668e-05,4.49489778489e-05,1.79056688668e-05,4.49489778489e-05,0.00047707933069,GP_L,8609.07978723,8503.5,4796.93849829,80
102,4.3815193449e-05,4.4708569149e-05,-4.3815193449e-05,-4.4708569149e-05,0.000452553830231,SCP_L,9071.36170213,9003.0,4903.02835284,102
1,1.58151075669e-05,4.42122909791e-05,1.58151075669e-05,4.42122909791e-05,0.000482504180301,SFG_R,8613.75531915,8137.5,4869.4559729,1
10,1.13440996216e-05,4.3829255406e-05,1.13440996216e-05,4.3829255406e-05,0.000470236350174,IFG_opercularis_L,9164.14893617,9941.5,5007.28961797,10
155,6.40585882258e-05,4.3075788954e-05,-6.40585882258e-05,-4.3075788954e-05,0.000461690008845,SLF_R,8964.82446809,9137.0,5065.02422712,155
84,5.69424842809e-05,4.27517048092e-05,5.69424842809e-05,4.27517048092e-05,0.000509195217493,Hypothalamus_L,8885.26595745,8366.5,5187.04039169,84
19,1.88562639398e-05,4.15471092914e-05,1.88562639398e-05,4.15471092914e-05,0.000527013921258,MFOG_R,8857.71276596,9154.0,5198.25666383,19
115,6.92757207154e-05,4.13076674515e-05,-6.92757207154e-05,-4.13076674515e-05,0.000517220092272,Medulla_R,8461.33510638,7908.0,5084.57379429,115
5,1.93737067956e-05,4.11507756204e-05,1.93737067956e-05,4.11507756204e-05,0.000481998135447,SFG_pole_R,8651.04255319,8587.5,5031.16036575,5
52,1.91526054499e-05,4.04358246211e-05,1.91526054499e-05,4.04358246211e-05,0.000494015395091,MOG_L,8345.36702128,7899.0,4738.30989466,52
50,5.75218481289e-05,4.03692724642e-05,5.75218481289e-05,4.03692724642e-05,0.000465941099641,SOG_L,8711.43617021,8377.0,4852.63371802,50
12,3.52420760035e-05,4.03191211947e-05,3.52420760035e-05,4.03191211947e-05,0.000498370901082,IFG_orbitalis_L,8640.64361702,7998.5,4903.95811322,12
54,1.81397249322e-05,4.02882313638e-05,1.81397249322e-05,4.02882313638e-05,0.000437741137584,IOG_L,9563.80851064,10198.0,5045.91672981,54
33,1.36169178458e-05,3.98488694387e-05,-1.36169178458e-05,3.98488694387e-05,0.000500316679099,PrCu_R,8780.68085106,8692.0,5061.18909523,33
179,7.12731330921e-06,3.94066708357e-05,7.12731330921e-06,3.94066708357e-05,0.000517206802499,LV_temporal_R,8621.2712766,8096.5,5156.1174693,179
182,4.17242552104e-05,3.89886184991e-05,4.17242552104e-05,3.89886184991e-05,0.000480377722012,PIns_R,8601.10638298,8530.0,4840.09795041,182
44,3.41118383519e-05,3.86936172091e-05,-3.41118383519e-05,3.86936172091e-05,0.000441849391085,PHG_L,9475.31382979,10085.0,4870.65611405,44
161,1.32913090166e-05,3.86936172091e-05,1.32913090166e-05,3.86936172091e-05,0.000457009888435,AnteriorCom_R,8889.38829787,8859.0,4901.89743368,161
20,3.24232963649e-05,3.79013715023e-05,3.24232963649e-05,3.79013715023e-05,0.000528665089875,RG_L,8957.12234043,9426.0,5090.94796704,20
6,6.72620315426e-05,3.7709362361e-05,-6.72620315426e-05,-3.7709362361e-05,0.000508250193611,MFG_L,8646.65425532,9116.5,5304.82297042,6
9,3.90580416985e-06,3.6471282689e-05,3.90580416985e-06,3.6471282689e-05,0.000465288912775,MFG_DPFC_R,9186.34574468,9129.0,5214.09269485,9
152,2.21339551392e-05,3.46875401328e-05,-2.21339551392e-05,-3.46875401328e-05,0.000529938578234,SFO_L,8607.45212766,8797.0,5201.98924337,152
113,3.82487376624e-06,3.42201799156e-05,3.82487376624e-06,3.42201799156e-05,0.000463576012881,Pons_R,8654.73404255,8241.0,4662.52576783,113
186,3.10395299966e-05,3.39584730973e-05,3.10395299966e-05,3.39584730973e-05,0.000479759588719,PSMG_R,8588.75,8466.5,4764.20673067,186
36,2.37334889728e-05,3.34556848161e-05,-2.37334889728e-05,-3.34556848161e-05,0.000441496527176,STG_L_pole,9251.68085106,9787.0,4932.77946165,36
147,5.24063524603e-05,3.211438792e-05,-5.24063524603e-05,-3.211438792e-05,0.000440640073092,IFO_R,9357.53723404,9434.0,4993.89410731,147
95,5.66417381407e-05,3.15138143329e-05,-5.66417381407e-05,-3.15138143329e-05,0.000494113468554,cerebellum_L,8927.63829787,9106.0,4956.39715118,95
68,6.40356395039e-05,3.13885247346e-05,-6.40356395039e-05,-3.13885247346e-05,0.000495736296227,PCC_L,9355.53723404,9473.0,5197.75008954,68
42,6.65392689221e-06,3.01005999664e-05,-6.65392689221e-06,3.01005999664e-05,0.000504960697433,ITG_L,9025.95744681,9399.5,5160.02303189,42
72,6.70081270518e-05,3.00600075212e-05,-6.70081270518e-05,-3.00600075212e-05,0.000504830198854,Amyg_L,9359.64361702,9451.0,5393.24386219,72
45,2.22245680304e-05,2.97816594137e-05,-2.22245680304e-05,-2.97816594137e-05,0.000467719692043,PHG_R,8908.71808511,9127.0,4860.55897432,45
121,3.26838007613e-05,2.92117261181e-05,3.26838007613e-05,2.92117261181e-05,0.000510109112225,PCR_R,8586.31382979,7823.0,5083.17685286,121
170,3.54671836884e-05,2.90213210612e-05,3.54671836884e-05,2.90213210612e-05,0.00043453677441,LV_frontal_L,9225.90425532,9028.0,4759.94100752,170
148,3.82072845909e-05,2.79005984379e-05,-3.82072845909e-05,-2.79005984379e-05,0.000492980369137,PTR_L,8978.53191489,8908.5,5051.56367028,148
106,3.75728532832e-05,2.78522859774e-05,-3.75728532832e-05,-2.78522859774e-05,0.000421725206764,PCT_L,9041.60106383,8774.5,4807.10374889,106
53,5.97145195536e-05,2.77724709943e-05,-5.97145195536e-05,-2.77724709943e-05,0.000513358556609,MOG_R,8509.18617021,8279.0,5220.39044073,53
134,2.18431813818e-05,2.73980039843e-05,-2.18431813818e-05,-2.73980039843e-05,0.000497074078266,RLIC_L,9155.58510638,9152.0,5111.33680397,134
82,4.0952613602e-05,2.73712176098e-05,-4.0952613602e-05,-2.73712176098e-05,0.000502058724739,Thal_L,8721.77659574,8976.0,5007.44386878,82
174,1.90767286695e-05,2.72870279995e-05,1.90767286695e-05,2.72870279995e-05,0.000488595638895,LV_temporal_L,8810.09042553,8615.5,5078.69784024,174
150,0.000100651512995,2.69860063685e-05,-0.000100651512995,-2.69860063685e-05,0.000506580385534,SS_L,9137.85638298,10042.0,5316.1288923,150
135,5.76931001811e-05,2.67930558e-05,-5.76931001811e-05,-2.67930558e-05,0.000519319786467,RLIC_R,8563.72340426,8423.5,5287.01721281,135
130,4.75387916572e-07,2.66931856456e-05,4.75387916572e-07,2.66931856456e-05,0.000521367296905,ALIC_L,8536.63829787,8715.5,5199.19846288,130
160,2.9268639283e-05,2.65510132423e-05,-2.9268639283e-05,-2.65510132423e-05,0.000485030603937,AnteriorCom_L,8925.75,8602.0,5237.23032376,160
188,5.07886141983e-05,2.63337901612e-05,-5.07886141983e-05,-2.63337901612e-05,0.000505335977621,PSIG_R,8863.2606383,9125.5,5262.1076951,188
119,5.19654747726e-05,2.63272757214e-05,-5.19654747726e-05,-2.63272757214e-05,0.000431151841322,SCR_R,9628.58510638,9905.0,4962.12912845,119
