x,y,z,name
-13.8096,13.1024,51.0271,3SFG_L
12.9104,12.8384,51.43541,3SFG_R
-13.7182,50.4134,20.43751,3SFG_PFC_L
12.1053,49.0665,22.8761,3SFG_PFC_R
-14.4356,65.626,3.82361,3SFG_pole_L
11.0659,64.3397,5.122461,3SFG_pole_R
-35.7154,18.4734,37.58681,3MFG_L
34.9982,19.2517,37.51811,3MFG_R
-35.4824,47.3199,11.93761,3MFG_DPFC_L
34.0044,47.7294,9.460751,3MFG_DPFC_R
-45.402,12.8569,14.74431,3IFG_opercularis_L
44.2807,15.7165,14.80011,3IFG_opercularis_R
-41.1059,33.1854,-5.730681,3IFG_orbitalis_L
40.6294,33.917,-5.166621,3IFG_orbitalis_R
-43.4099,25.7298,10.02441,3IFG_triangularis_L
43.5104,27.7473,7.615741,3IFG_triangularis_R
-27.6423,35.4685,-15.23741,3LFOG_L
28.2092,34.7371,-14.84551,3LFOG_R
-14.3277,38.8249,-19.83951,3MFOG_L
15.0467,38.5268,-19.06831,3MFOG_R
-6.14167,37.436,-16.46511,3RG_L
5.95928,37.8565,-16.50631,3RG_R
-35.9762,-20.1649,43.91841,3PoCG_L
33.9602,-21.3503,46.14271,3PoCG_R
-34.1883,-6.68015,39.85681,3PrCG_L
34.2131,-5.85419,39.99731,3PrCG_R
-23.579,-48.2752,50.82041,3SPG_L
23.4258,-48.7165,51.2081,3SPG_R
-51.5802,-28.6698,32.83651,3SMG_L
51.7205,-28.1762,29.5911,3SMG_R
-41.8153,-52.5004,38.11431,3AG_L
43.7235,-52.5313,36.58511,3AG_R
-7.68407,-54.946,43.24241,3PrCu_L
7.00783,-53.9585,45.53851,3PrCu_R
-50.931,-12.3738,-1.29751,3STG_L
50.8639,-13.9775,0.5652911,3STG_R
-43.8421,10.5708,-18.89571,3STG_L_pole
42.9524,10.3502,-19.01451,3STG_R_pole
-55.8351,-13.5186,-18.19021,3MTG_L
56.3915,-14.3197,-16.16621,3MTG_R
-43.7697,9.02235,-31.89481,3MTG_L_pole
43.9044,8.39614,-31.67221,3MTG_R_pole
-44.0482,-9.46799,-31.12241,3ITG_L
46.8197,-11.415,-30.05961,3ITG_R
-20.609,-18.1464,-18.19481,3PHG_L
22.6769,-21.2162,-17.38741,3PHG_R
-20.1397,-6.5388,-29.73391,3ENT_L
23.2562,-6.69917,-29.8111,3ENT_R
-33.5098,-43.904,-19.55251,3FuG_L
31.6224,-44.0213,-20.24191,3FuG_R
-20.0445,-73.2641,27.53091,3SOG_L
17.1181,-74.4625,28.43081,3SOG_R
