"lr_t","edge","lr_rank","svr_t","svr_rank"
-8.038188057916626,"PrCG_L_to_IFG_opercularis_L",1,-118.9849455437508,9
-5.51651688987122,"PrCG_L_to_MFG_L",2,-124.15559941528913,6
-5.302190818911617,"SMG_L_to_PrCG_L",3,-131.0843757310469,3
-4.961020912284771,"IFG_triangularis_L_to_IFG_opercularis_L",4,-129.1417603221164,4
-4.852391765145929,"SPG_L_to_IFG_opercularis_L",5,-110.45489995243919,15
-4.841309481989533,"Put_L_to_STG_L",6,-88.85065243784919,56
-4.751900052225127,"SMG_L_to_PoCG_L",7,-101.71922633407966,27
-4.730288580806291,"PrCG_L_to_IFG_triangularis_L",8,-119.3329366226887,8
-4.461390146674509,"AG_L_to_SMG_L",9,-141.38361108515588,1
-4.207372761211959,"PrCG_L_to_MFG_DPFC_L",10,-98.45175729577797,32
-4.146410109942419,"Thal_L_to_MOG_L",11,-68.4077172889183,124
-4.1272948630377035,"PSMG_L_to_PrCG_L",12,-102.6013794060087,24
-4.077514757017384,"AG_L_to_PrCG_L",13,-87.54677727203826,58
-4.056718656926516,"PSMG_L_to_Put_L",14,-70.25089339501602,113
-4.052125254953907,"AG_L_to_IFG_opercularis_L",15,-118.37062696185757,10
-3.9909888064035965,"PSTG_L_to_PrCG_L",16,-91.13532223911325,51
-3.9709806743901326,"PSMG_L_to_AG_L",17,-123.81864385802407,7
-3.9026108461506106,"Put_L_to_IFG_orbitalis_L",18,-99.97217085767733,30
-3.884328089754106,"SPG_L_to_MFG_DPFC_L",19,-101.35361896029835,28
-3.880733183391239,"MTG_L_to_SMG_L",20,-111.40608019886658,14
-3.8620738835638475,"PoCG_L_to_MFG_DPFC_L",21,-110.34307281986126,16
-3.807538803759035,"PoCG_L_to_LFOG_L",22,-89.87202792171445,55
-3.7979455102080073,"Amyg_L_to_SFG_PFC_L",23,-61.545608829899116,170
-3.7894811183638426,"SMG_L_to_IFG_opercularis_L",24,-131.2547867810641,2
-3.779837313737335,"AG_L_to_PoCG_L",25,-100.63253477017682,29
