"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj"
-7.678760575528234,1.4519364352118485e-10,-8.038188057921767,"x10_24","IFG_opercularis_L -- PrCG_L",-0.7508310629630397,"6.482896183220903e-7"
-2.2426278770349772,1.9706214142137335e-7,-6.0293623777622685,"x28_154","SMG_L -- SLF_L",-0.648831822225537,"0.000439941230723216"
-4.108550158509412,1.2219574954683196e-6,-5.516516889872621,"x6_24","MFG_L -- PrCG_L",-0.6151069442664404,"0.0018186800724220157"
-1.2944009406677273,1.6495668554268786e-6,-5.431435174440392,"x30_154","AG_L -- SLF_L",-0.6091576506959311,"0.0018413290023702531"
-1.6099375752214296,2.528749488772138e-6,-5.309829328182113,"x24_154","PrCG_L -- SLF_L",-0.6004723975375751,"0.0019328587209539187"
-4.841913445275331,2.5973465455147846e-6,-5.302190818911714,"x24_28","PrCG_L -- SMG_L",-0.5999196154342383,"0.0019328587209539187"
-3.5583436767889944,8.50311287073759e-6,-4.961020912284483,"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.5743379413121338,"0.004772864879541062"
-18.63237168814597,1.0205541395060113e-5,-4.907986397962257,"x52_96","MOG_L -- CP_L",-0.5702016191877886,"0.004772864879541062"
-14.467557479335406,1.0747795468962634e-5,-4.892912773302332,"x28_118","SMG_L -- SCR_L",-0.5690179961308133,"0.004772864879541062"
-108.26604413352636,1.2349833104998804e-5,-4.852391765146817,"x10_26","IFG_opercularis_L -- SPG_L",-0.5658185700789733,"0.004772864879541062"
-2.5212303560532794,1.25443560681353e-5,-4.847827823703523,"x118_154","SCR_L -- SLF_L",-0.5654566020260083,"0.004772864879541062"
-6.735663241991885,1.2827408410860638e-5,-4.841309481986233,"x34_78","STG_L -- Put_L",-0.5649390625783337,"0.004772864879541062"
-2.7862917984618742,1.5322870010524957e-5,-4.789287270650344,"x130_132","ALIC_L -- PLIC_L",-0.5607846637085494,"0.005227464207163428"
-3.2890907465889447,1.740476174130423e-5,-4.751900052219706,"x22_28","PoCG_L -- SMG_L",-0.5577725763018272,"0.005227464207163428"
-1.6918252504226454,1.86046989638037e-5,-4.732298537813295,"x116_130","ACR_L -- ALIC_L",-0.5561845230737209,"0.005227464207163428"
-10.30612755853875,1.8732234560943974e-5,-4.730288580807123,"x14_24","IFG_triangularis_L -- PrCG_L",-0.5560213371639589,"0.005227464207163428"
