"coef","pvalue","tscore","edge","edge_name","cor_coef","pvalue_adj"
-7.678760575528234,1.4519364352118485e-10,-8.038188057921767,"x10_24","IFG_opercularis_L -- PrCG_L",-0.7508310629630397,"1.5027542104442633e-7"
-4.108550158509412,1.2219574954683196e-6,-5.516516889872621,"x6_24","MFG_L -- PrCG_L",-0.6151069442664404,"0.0006323630039048554"
-4.841913445275331,2.5973465455147846e-6,-5.302190818911714,"x24_28","PrCG_L -- SMG_L",-0.5999196154342383,"0.0008960845582026007"
-3.5583436767889944,8.50311287073759e-6,-4.961020912284483,"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.5743379413121338,"0.0022001804553033514"
-108.26604413352636,1.2349833104998804e-5,-4.852391765146817,"x10_26","IFG_opercularis_L -- SPG_L",-0.5658185700789733,"0.00221272795087346"
-6.735663241991885,1.2827408410860638e-5,-4.841309481986233,"x34_78","STG_L -- Put_L",-0.5649390625783337,"0.00221272795087346"
-3.2890907465889447,1.740476174130423e-5,-4.751900052219706,"x22_28","PoCG_L -- SMG_L",-0.5577725763018272,"0.0024234828463221268"
-10.30612755853875,1.8732234560943974e-5,-4.730288580807123,"x14_24","IFG_triangularis_L -- PrCG_L",-0.5560213371639589,"0.0024234828463221268"
-3.0172528750064322,4.6322587248211405e-5,-4.4613901466788795,"x28_30","SMG_L -- AG_L",-0.5336041318008453,"0.005327097533544311"
-72.78651228284093,0.00010707527911237885,-4.207372761211671,"x8_24","MFG_DPFC_L -- PrCG_L",-0.5113406133991548,"0.01108229138813121"
-6.554766328374046,0.00013055870219178648,-4.146410109940744,"x52_82","MOG_L -- Thal_L",-0.5058376534224733,"0.011980212569815761"
-4.265862046090045,0.00013890101530221173,-4.127294863038177,"x24_185","PrCG_L -- PSMG_L",-0.5040993135379214,"0.011980212569815761"
-3.642289857499457,0.00016312554473765849,-4.077514757020451,"x24_30","PrCG_L -- AG_L",-0.4995434382217284,"0.012213681304052449"
-6.263768927257548,0.00017441591218429116,-4.056718656923645,"x78_185","Put_L -- PSMG_L",-0.49762779903194104,"0.012213681304052449"
-5.872987318937278,0.00017700987397177462,-4.0521252549526245,"x10_30","IFG_opercularis_L -- AG_L",-0.49720369116626006,"0.012213681304052449"
-11.005890142300029,0.00021529932396929357,-3.9909888064030308,"x24_183","PrCG_L -- PSTG_L",-0.4915249714502791,"0.013927175019263677"
-2.5216487207579954,0.00022948663377931182,-3.970980674391616,"x30_185","AG_L -- PSMG_L",-0.48965273643568347,"0.013971686233034573"
-1.4642268804988443,0.00028510933792251915,-3.902610846150293,"x12_78","IFG_orbitalis_L -- Put_L",-0.48320377833720524,"0.015810022497032006"
-227.5094667746307,0.0003020618446954254,-3.8843280897526316,"x8_26","MFG_DPFC_L -- SPG_L",-0.48146578117923977,"0.015810022497032006"
-40.850794681464066,0.00030550768110206776,-3.880733183391961,"x28_38","SMG_L -- MTG_L",-0.4811233716109304,"0.015810022497032006"
-175.05732607076547,0.0003240109639035389,-3.862073883563646,"x8_22","MFG_DPFC_L -- PoCG_L",-0.4793425599661137,"0.015969111792388704"
-1202.5032889073009,0.0003844902457393108,-3.807538803757877,"x16_22","LFOG_L -- PoCG_L",-0.47410375671755783,"0.017300539926053845"
-938.4021067762802,0.0003961970288480883,-3.7979455102088173,"x2_72","SFG_PFC_L -- Amyg_L",-0.47317694028182705,"0.017300539926053845"
-5.900484972892345,0.0004068103690690729,-3.7894811183628008,"x10_28","IFG_opercularis_L -- SMG_L",-0.4723578811391561,"0.017300539926053845"
-4.282424806112008,0.0004192359045021387,-3.7798373137361003,"x22_30","PoCG_L -- AG_L",-0.47142320222964174,"0.017300539926053845"
-57.23744790819499,0.00043460293534048304,-3.7682837593770118,"x22_38","PoCG_L -- MTG_L",-0.470301334890559,"0.017300539926053845"
-12.527367899385476,0.0004545273829171673,-3.7538750145494206,"x10_22","IFG_opercularis_L -- PoCG_L",-0.4688990228433708,"0.017423549678491416"
-5.538306885216119,0.0005219957185222878,-3.709226705429364,"x22_185","PoCG_L -- PSMG_L",-0.46453110512093887,"0.018694538971900505"
-76.91169757967175,0.0005238083383431059,-3.708105261176456,"x20_54","RG_L -- IOG_L",-0.4644209551317637,"0.018694538971900505"
-475.4016431109701,0.0006078263474773777,-3.6598291513321177,"x8_32","MFG_DPFC_L -- PrCu_L",-0.45965875607321605,"0.02097000898796953"
-10.542954698494505,0.0006680823668326016,-3.629000183236286,"x22_183","PoCG_L -- PSTG_L",-0.4565967134846715,"0.021997279074209494"
-421.5606917403386,0.0006866893315365155,-3.620017385878879,"x28_58","SMG_L -- LG_L",-0.4557014414130077,"0.021997279074209494"
-4.044411535767172,0.0007238131580667177,-3.602770942793693,"x28_185","SMG_L -- PSMG_L",-0.4539786890881549,"0.021997279074209494"
-96.7899356362574,0.0007386038970128265,-3.5961344766485794,"x8_28","MFG_DPFC_L -- SMG_L",-0.45331441000167516,"0.021997279074209494"
-35.78622137471532,0.0007608606025057,-3.586383870785422,"x36_76","STG_L_pole -- Caud_L",-0.4523370484828861,"0.021997279074209494"
-5.212713642408124,0.000770580854347806,-3.5822107571194604,"x30_54","AG_L -- IOG_L",-0.45191825351882997,"0.021997279074209494"
-325.19733164722936,0.0007863761601408226,-3.5755356513517174,"x56_76","Cu_L -- Caud_L",-0.4512477481618661,"0.021997279074209494"
-388.95980559217844,0.0008471868940008676,-3.5509801774881655,"x50_76","SOG_L -- Caud_L",-0.44877459965814664,"0.023074695665549944"
-5.113726690952897,0.0009037013924384316,-3.5296247230957896,"x36_78","STG_L_pole -- Put_L",-0.4466153284128287,"0.02378614889243083"
