"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x156","UNC_L","-10.629494484617537","3.229910701997282",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.06917109752752
"x150","SS_L","-6.68376591642663","2.3639725778950655",1.0,"1.0",0.0,"0.0",0.0,"0.0",-89.40849754750823
"x40","MTG_L_pole","-7.8756199027908975","2.8845799354283495",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.33803685830198
"x119","SCR_R","-4.242954058562143","1.5799645419133659",1.0,"1.0",0.0,"0.0",0.0,"0.0",-84.92215158362418
"x50","SOG_L","-6.961152143903944","2.801770879313597",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.56850849664633
"x155","SLF_R","-8.179989790715647","3.2980467448101147",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.43248133547853
"x121","PCR_R","-1.7601188118827582","0.7156965622952163",1.0,"1.0",0.0,"0.0",0.0,"0.0",-77.7701709256367
"x58","LG_L","-3.7397152537874927","1.55934366423954",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.83971560374677
"x25","PrCG_R","-3.9328239131532716","1.684730222710082",1.0,"1.0",0.0,"0.0",0.0,"0.0",-73.82001601380871
"x7","MFG_R","-0.1550698991326452","0.06834152414515922",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.75345939756338
"x23","PoCG_R","-4.773965720138587","2.1200303351461347",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.20938270047579
"x53","MOG_R","-1.022315764152454","0.45467497117490224",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423799
"x182","PIns_R","-2.0065511163319076","0.8924136778185564",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423789
"x71","Ins_R","-0.602841781873896","0.26811390316746203",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423782
"x11","IFG_opercularis_R","-1.9782608695651565","0.879831589598616",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423778
"x37","STG_R_pole","-0.07495511669662068","0.03333629072197823",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423778
"x15","IFG_triangularis_R","-0.15259199403255508","0.06786529458028272",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423769
"x29","SMG_R","-7.8126461355296","3.474674636770957",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.1023589942376
"x35","STG_R","-2.1133868672520477","0.939928881705038",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423758
"x186","PSMG_R","-0.07104057591621886","0.03159529857561568",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.1023589942375
"x55","IOG_R","-0.031136511024683414","0.01384796434629163",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423743
"x27","SPG_R","-3.469187904614039","1.5429214395793043",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423739
"x31","AG_R","-3.931106587075531","1.7483597894490714",1.0,"1.0",0.0,"0.0",0.0,"0.0",-71.10235899423738
"x184","PSTG_R","-0.8176863528189469","0.3649029052368824",1.0,"1.0",0.0,"0.0",0.0,"0.0",-70.86135104529613
"x137","EC_R","-0.735225563910435","0.3367497900137835",1.0,"1.0",0.0,"0.0",0.0,"0.0",-69.04198443133413
"x16","LFOG_L","-6.287103143711089","2.918516019602475",1.0,"1.0",0.0,"0.0",0.0,"0.0",-68.12217471137949
"x187","PSIG_L","-7.824034383234206","3.806330647147145",1.0,"1.0",0.0,"0.0",0.0,"0.0",-65.00162869727262
"x60","rostral_ACC_L","-4.241388673230355","2.107197399931335",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.65065109649722
"x61","rostral_ACC_R","-0.10096654294487113","0.05070549124353328",1.0,"1.0",0.0,"0.0",0.0,"0.0",-62.96837587974599
"x36","STG_L_pole","-5.878061282036438","2.9728940109128215",1.0,"1.0",0.0,"0.0",0.0,"0.0",-62.525141525570575
"x133","PLIC_R","-3.3467226348082066","1.7263668124838882",1.0,"1.0",0.0,"0.0",0.0,"0.0",-61.303693666392356
"x131","ALIC_R","-0.008923192771091002","0.004602922184583867",1.0,"1.0",0.0,"0.0",0.0,"0.0",-61.30369366639227
"x81","GP_R","-0.14444444444443","0.07450993773519803",1.0,"1.0",0.0,"0.0",0.0,"0.0",-61.30369366639219
