"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x156","UNC_L","-10.629865076699517","3.2294927031265988",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.08626974170686
"x150","SS_L","-6.68345762338496","2.3640169368981487",1.0,"1.0",0.0,"0.0",0.0,"0.0",-89.40269591656858
"x40","MTG_L_pole","-7.8756058144840635","2.884587051150681",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.33766943348247
"x50","SOG_L","-6.961003597768117","2.8020330250072263",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.55948153757774
"x58","LG_L","-3.7397117360075063","1.5593807943378335",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.83783846246338
"x16","LFOG_L","-6.287011235599283","2.9184556141945404",1.0,"1.0",0.0,"0.0",0.0,"0.0",-68.1225888201497
"x187","PSIG_L","-7.823915951010189","3.806443450769981",1.0,"1.0",0.0,"0.0",0.0,"0.0",-64.99871848065884
"x60","rostral_ACC_L","-4.241476416306652","2.107252403634584",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.65030640982221
"x36","STG_L_pole","-5.878282946754948","2.9725938745744167",1.0,"1.0",0.0,"0.0",0.0,"0.0",-62.533812646482886
"x72","Amyg_L","-5.235444240327528","2.7985554905255134",1.0,"1.0",0.0,"0.0",0.0,"0.0",-59.158835400244556
"x95","cerebellum_L","-0.1360774406964676","0.07417536043399983",1.0,"1.0",3.95e-322,"1.566e-321",2.0e-322,"1.705e-321",-58.01315264928368
"x44","PHG_L","-1.7565047027085965","1.006973135820131",1.0,"1.0",1.8465533410227955e-305,"6.747021822967906e-305",9.232766705113977e-306,"7.309273641548566e-305",-55.16091128719315
"x168","OpticTract_L","-2.188163485597683","1.4087674156061638",1.0,"1.0",1.1195490483782002e-268,"3.798469985568893e-268",5.597745241891001e-269,"4.090659984458808e-268",-49.117976684067266
"x92","Snigra_L","-2.430973708607971","1.5802290112143325",1.0,"1.0",9.888329094267761e-266,"3.0302943998572837e-265",4.9441645471338806e-266,"3.13130421318586e-265",-48.64746689646105
"x98","Midbrain_L","-0.010235948140140566","0.006653770935925821",1.0,"1.0",9.888329094271137e-266,"3.0302943998572837e-265",4.9441645471355685e-266,"3.13130421318586e-265",-48.64746689646102
"x162","LenticularFasc_L","-3.73873052388378","2.4923636365207074",1.0,"1.0",4.273073761326939e-258,"1.268568772893935e-257",2.1365368806634693e-258,"1.268568772893935e-257",-47.43651303455803
"x96","CP_L","-1.7188254563077892","1.193694585726285",1.0,"1.0",5.985200007928037e-246,"1.723012123494435e-245",2.9926000039640184e-246,"1.6723352963328337e-245",-45.53428831130833
"x56","Cu_L","-3.9560083554367877","2.926360813814262",1.0,"1.0",7.589066274031085e-228,"2.002670266758203e-227",3.7945331370155426e-228,"2.002670266758203e-227",-42.74933147950231
"x8","MFG_DPFC_L","-2.6416866297316877","1.9889751699219542",1.0,"1.0",6.4679262552127865e-223,"1.66068376823031e-222",3.2339631276063932e-223,"1.6169815638031968e-222",-42.00025591417417
"x146","IFO_L","-4.054408299184454","3.2365857555165114",1.0,"1.0",4.8013303914991235e-207,"1.2003325978747809e-206",2.4006651957495618e-207,"1.1403159679810419e-206",-39.61323987124266
"x12","IFG_orbitalis_L","-3.4049716124041964","2.819077951203127",1.0,"1.0",1.640320891035056e-197,"3.8007435280080563e-197",8.20160445517528e-198,"3.710249634484055e-197",-38.19499087926233
"x164","OlfactoryRadiation_L","-0.5330563871550847","0.4479996574115052",1.0,"1.0",1.134267691689993e-193,"2.5656054931083176e-193",5.671338458449965e-194,"2.4489870616033943e-193",-37.62664271776965
