"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x156","UNC_L","-10.62984652243398","3.22969010570636",1.0,"1.0",0.0,"0.0",0.0,"0.0",-104.07972619267673
"x150","SS_L","-6.683625578143697","2.3641118661418186",1.0,"1.0",0.0,"0.0",0.0,"0.0",-89.40135260683094
"x40","MTG_L_pole","-7.875620749425302","2.8845568123813514",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.33873823863394
"x50","SOG_L","-6.960734267216833","2.8021418858719116",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.5533901140739
"x58","LG_L","-3.739709141840978","1.5593369611349683",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.83991766708073
"x16","LFOG_L","-6.287087192215737","2.9182496752323437",1.0,"1.0",0.0,"0.0",0.0,"0.0",-68.12821926859857
"x187","PSIG_L","-7.82398633555618","3.8062695553112493",1.0,"1.0",0.0,"0.0",0.0,"0.0",-65.00227281031015
"x60","rostral_ACC_L","-4.241526080225239","2.1072353350739443",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.651567270473656
"x36","STG_L_pole","-5.878194695158592","2.9726151091467896",1.0,"1.0",0.0,"0.0",0.0,"0.0",-62.53242711921633
"x72","Amyg_L","-5.235439749569481","2.7986212648607824",1.0,"1.0",0.0,"0.0",0.0,"0.0",-59.157394282304494
"x95","cerebellum_L","-0.13607720330657322","0.07417552984318365",1.0,"1.0",3.95e-322,"1.566e-321",2.0e-322,"1.705e-321",-58.01291894837888
"x44","PHG_L","-1.7564920819598029","1.0070195704914475",1.0,"1.0",1.922097422860794e-305,"7.023048275837516e-305",9.61048711430397e-306,"7.608302298823976e-305",-55.157971441740756
"x168","OpticTract_L","-2.188125437800455","1.408765781891723",1.0,"1.0",1.1324637010448064e-268,"3.8422875571163074e-268",5.662318505224032e-269,"4.1378481384329463e-268",-49.11717958049012
"x98","Midbrain_L","-0.01023579706536323","0.006653632347844401",1.0,"1.0",9.846241782067577e-266,"3.017396675151457e-265",4.9231208910337884e-266,"3.117976564323172e-265",-48.647762157014434
"x92","Snigra_L","-2.43093782929257","1.5801960974111724",1.0,"1.0",9.846241782073175e-266,"3.017396675151457e-265",4.9231208910365876e-266,"3.117976564323172e-265",-48.6477621570144
"x162","LenticularFasc_L","-3.738678574061983","2.4923092896687975",1.0,"1.0",4.249741445870681e-258,"1.2616419917428585e-257",2.1248707229353406e-258,"1.2616419917428585e-257",-47.43688827993536
"x96","CP_L","-1.7187757995729747","1.1936699226353997",1.0,"1.0",6.018512517614313e-246,"1.7326020884041204e-245",3.0092562588071564e-246,"1.681643203451058e-245",-45.53391361179358
"x56","Cu_L","-3.955992208249407","2.9262592194595096",1.0,"1.0",7.440287085519313e-228,"1.963409092012041e-227",3.7201435427596566e-228,"1.963409092012041e-227",-42.75064116246648
"x8","MFG_DPFC_L","-2.641699344952225","1.9892051310345564",1.0,"1.0",6.941789933202766e-223,"1.782351469335845e-222",3.470894966601383e-223,"1.7354474833006912e-222",-41.99560263088192
"x146","IFO_L","-4.0544990356595365","3.2362929977375017",1.0,"1.0",4.481558383341757e-207,"1.1203895958354393e-206",2.2407791916708786e-207,"1.0643701160436674e-206",-39.61770993109675
"x12","IFG_orbitalis_L","-3.4048438205250555","2.81898345837587",1.0,"1.0",1.6442304731180056e-197,"3.809802315761232e-197",8.221152365590028e-198,"3.7190927368145367e-197",-38.19483763913988
"x164","OlfactoryRadiation_L","-0.5330561902840647","0.4480009685589506",1.0,"1.0",1.1364610414822517e-193,"2.57056664144795e-193",5.682305207411259e-194,"2.4537227032003164e-193",-37.626518700884276
"x116","ACR_L","-1.9958759424928043","2.361754716138408",1.0,"1.0",3.907771542131203e-119,"7.424765930049286e-119",1.9538857710656015e-119,"8.070397750053571e-119",-26.723833183372058
"x2","SFG_PFC_L","-1.2849185501414473","1.5686461199927264",1.0,"1.0",1.379632677879255e-113,"2.5699040078142985e-113",6.898163389396275e-114,"2.730523008302692e-113",-25.903033032505018
"x52","MOG_L","-2.367078090833918","2.958697190888533",1.0,"1.0",1.5765979309059276e-109,"2.825977423321946e-109",7.882989654529638e-110,"2.9955360687212625e-109",-25.299507464196335
