"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"AG_L_to_SMG_L","AG_L -- SMG_L","-0.20540254071289887","0.045941666141700525",1.0,"1.0",0.0,"0.0",0.0,"0.0",-141.38361108515588
"SMG_L_to_IFG_opercularis_L","SMG_L -- IFG_opercularis_L","-0.12124857857165458","0.02921201433848425",1.0,"1.0",0.0,"0.0",0.0,"0.0",-131.2547867810641
"SMG_L_to_PrCG_L","SMG_L -- PrCG_L","-0.22513446013901908","0.054311405906407234",1.0,"1.0",0.0,"0.0",0.0,"0.0",-131.0843757310469
"IFG_triangularis_L_to_IFG_opercularis_L","IFG_triangularis_L -- IFG_opercularis_L","-0.2210754484164443","0.05413446045611188",1.0,"1.0",0.0,"0.0",0.0,"0.0",-129.1417603221164
"PSIG_L_to_PrCG_L","PSIG_L -- PrCG_L","-0.02955425568474375","0.007354760720231382",1.0,"1.0",0.0,"0.0",0.0,"0.0",-127.07247192649561
"PrCG_L_to_MFG_L","PrCG_L -- MFG_L","-0.2897900991497502","0.0738103445188945",1.0,"1.0",0.0,"0.0",0.0,"0.0",-124.15559941528913
"PSMG_L_to_AG_L","PSMG_L -- AG_L","-0.17145629848195346","0.04378923928502599",1.0,"1.0",0.0,"0.0",0.0,"0.0",-123.81864385802407
"PrCG_L_to_IFG_triangularis_L","PrCG_L -- IFG_triangularis_L","-0.060997105663088955","0.016164002163392862",1.0,"1.0",0.0,"0.0",0.0,"0.0",-119.3329366226887
"PrCG_L_to_IFG_opercularis_L","PrCG_L -- IFG_opercularis_L","-0.20240786371166397","0.05379418906591398",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.9849455437508
"AG_L_to_IFG_opercularis_L","AG_L -- IFG_opercularis_L","-0.10750391216677424","0.028719727904730777",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.37062696185757
"SMG_L_to_IFG_triangularis_L","SMG_L -- IFG_triangularis_L","-0.08238452071619799","0.02201247742520419",1.0,"1.0",0.0,"0.0",0.0,"0.0",-118.35229827707379
"IFG_orbitalis_L_to_IFG_opercularis_L","IFG_orbitalis_L -- IFG_opercularis_L","-0.03814586765728252","0.010456606573165715",1.0,"1.0",0.0,"0.0",0.0,"0.0",-115.36039371503695
"PoCG_L_to_IFG_opercularis_L","PoCG_L -- IFG_opercularis_L","-0.08303530067334183","0.023486733341174352",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.79957319324002
"MTG_L_to_SMG_L","MTG_L -- SMG_L","-0.014881286799461203","0.0042240747288201895",1.0,"1.0",0.0,"0.0",0.0,"0.0",-111.40608019886658
"SPG_L_to_IFG_opercularis_L","SPG_L -- IFG_opercularis_L","-0.006941705041892228","0.0019873811652453754",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.45489995243919
"PoCG_L_to_MFG_DPFC_L","PoCG_L -- MFG_DPFC_L","-0.004740614918867663","0.0013585937268458784",1.0,"1.0",0.0,"0.0",0.0,"0.0",-110.34307281986126
"PoCG_L_to_IFG_orbitalis_L","PoCG_L -- IFG_orbitalis_L","-0.010874261617297062","0.0031603619797811473",1.0,"1.0",0.0,"0.0",0.0,"0.0",-108.80853143786483
"PSIG_L_to_SMG_L","PSIG_L -- SMG_L","-0.061144204647239644","0.01802682555162391",1.0,"1.0",0.0,"0.0",0.0,"0.0",-107.25956816468529
"IFG_opercularis_L_to_MFG_L","IFG_opercularis_L -- MFG_L","-0.2088482653463025","0.0621752664669839",1.0,"1.0",0.0,"0.0",0.0,"0.0",-106.22169254718561
"PSIG_L_to_PoCG_L","PSIG_L -- PoCG_L","-0.038259164472434874","0.011400162703628763",1.0,"1.0",0.0,"0.0",0.0,"0.0",-106.1266442007689
"Ins_L_to_AG_L","Ins_L -- AG_L","-0.004434504681184756","0.0013484683066957183",1.0,"1.0",0.0,"0.0",0.0,"0.0",-103.99306396443896
"SMG_L_to_MFG_DPFC_L","SMG_L -- MFG_DPFC_L","-0.004880061337923299","0.0014997425247840368",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.89838885103619
"MTG_L_to_PoCG_L","MTG_L -- PoCG_L","-0.01027064767133693","0.0031570799967366833",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.87556767677954
"PSMG_L_to_PrCG_L","PSMG_L -- PrCG_L","-0.14603272686906557","0.04500875451236597",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.6013794060087
"SMG_L_to_SFG_L","SMG_L -- SFG_L","-0.015593666020956914","0.004814192626704868",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.42943214333043
"PoCG_L_to_IFG_triangularis_L","PoCG_L -- IFG_triangularis_L","-0.07542549883248915","0.02337807219829069",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.02567942384744
"SMG_L_to_PoCG_L","SMG_L -- PoCG_L","-0.3054197814415813","0.09494981299347886",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.71922633407966
"SPG_L_to_MFG_DPFC_L","SPG_L -- MFG_DPFC_L","-0.003188980719256177","0.0009949760640675018",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.35361896029835
"AG_L_to_PoCG_L","AG_L -- PoCG_L","-0.16293120190325053","0.051199515256146175",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.63253477017682
"Put_L_to_IFG_orbitalis_L","Put_L -- IFG_orbitalis_L","-0.2056584027725565","0.06505300096357994",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.97217085767733
"PrCG_L_to_IFG_orbitalis_L","PrCG_L -- IFG_orbitalis_L","-0.0142377133870006","0.004541748773045074",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.13274649360585
"PrCG_L_to_MFG_DPFC_L","PrCG_L -- MFG_DPFC_L","-0.008584659716076163","0.002757398992761225",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.45175729577797
"ITG_L_to_PoCG_L","ITG_L -- PoCG_L","-0.018292233018556245","0.005895718241124558",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.11377929441443
"PSIG_L_to_PSTG_L","PSIG_L -- PSTG_L","-0.019824515294552935","0.006403444156103734",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.90141103967414
"PSMG_L_to_PoCG_L","PSMG_L -- PoCG_L","-0.1692013808724537","0.05499040089049032",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.30093582480714
"PSTG_L_to_SFG_L","PSTG_L -- SFG_L","-0.0028111087063983275","0.0009204677580542106",1.0,"1.0",0.0,"0.0",0.0,"0.0",-96.5759656953103
"PIns_L_to_AG_L","PIns_L -- AG_L","-0.021147188847767458","0.006943943090136295",1.0,"1.0",0.0,"0.0",0.0,"0.0",-96.30448003476413
"FuG_L_to_PoCG_L","FuG_L -- PoCG_L","-0.010009682349741436","0.0032923845683142847",1.0,"1.0",0.0,"0.0",0.0,"0.0",-96.14124420518635
"PSIG_L_to_IFG_opercularis_L","PSIG_L -- IFG_opercularis_L","-0.02167921443679388","0.0071677406192062944",1.0,"1.0",0.0,"0.0",0.0,"0.0",-95.64477726743478
"ITG_L_to_SMG_L","ITG_L -- SMG_L","-0.034289223092878636","0.011396599377637881",1.0,"1.0",0.0,"0.0",0.0,"0.0",-95.14420975778303
"AG_L_to_MFG_L","AG_L -- MFG_L","-0.08269945574632605","0.027552156665058947",1.0,"1.0",0.0,"0.0",0.0,"0.0",-94.91766637141066
"PoCG_L_to_MFG_L","PoCG_L -- MFG_L","-0.036468985929433415","0.012221292125520339",1.0,"1.0",0.0,"0.0",0.0,"0.0",-94.36404785122679
"PSMG_L_to_SMG_L","PSMG_L -- SMG_L","-0.16609524623297256","0.05569555239315981",1.0,"1.0",0.0,"0.0",0.0,"0.0",-94.30542728349022
"rostral_ACC_L_to_SPG_L","rostral_ACC_L -- SPG_L","-0.01187400898108201","0.003998932196815497",1.0,"1.0",0.0,"0.0",0.0,"0.0",-93.89734931593982
"MTG_L_pole_to_PoCG_L","MTG_L_pole -- PoCG_L","-0.0013899250803403689","0.00046923956336988306",1.0,"1.0",0.0,"0.0",0.0,"0.0",-93.66919104822847
"LG_L_to_SMG_L","LG_L -- SMG_L","-0.002102594784687031","0.0007130705537102986",1.0,"1.0",0.0,"0.0",0.0,"0.0",-93.24446902772605
"PSTG_L_to_PoCG_L","PSTG_L -- PoCG_L","-0.11102293970619832","0.037755078938391716",1.0,"1.0",0.0,"0.0",0.0,"0.0",-92.99023386284763
"PSTG_L_to_SMG_L","PSTG_L -- SMG_L","-0.13160515649519772","0.045130304634026584",1.0,"1.0",0.0,"0.0",0.0,"0.0",-92.21565192669868
"Amyg_L_to_IFG_opercularis_L","Amyg_L -- IFG_opercularis_L","-0.00039985073615023717","0.00013745288723451932",1.0,"1.0",0.0,"0.0",0.0,"0.0",-91.99072320484733
"AG_L_to_IFG_triangularis_L","AG_L -- IFG_triangularis_L","-0.05686111190214459","0.01971800980366639",1.0,"1.0",0.0,"0.0",0.0,"0.0",-91.19106121300942
"PSTG_L_to_PrCG_L","PSTG_L -- PrCG_L","-0.07094696393731963","0.02461767771305139",1.0,"1.0",0.0,"0.0",0.0,"0.0",-91.13532223911325
"Caud_L_to_STG_L_pole","Caud_L -- STG_L_pole","-0.01785577356301658","0.0062076856094316745",1.0,"1.0",0.0,"0.0",0.0,"0.0",-90.95968674309513
"PoCG_L_to_MFOG_L","PoCG_L -- MFOG_L","-0.0004665545457262567","0.00016334907518373657",1.0,"1.0",0.0,"0.0",0.0,"0.0",-90.32037772730777
"PSMG_L_to_PSTG_L","PSMG_L -- PSTG_L","-0.0972579626670517","0.0340645076393952",1.0,"1.0",0.0,"0.0",0.0,"0.0",-90.28654864801926
"PoCG_L_to_LFOG_L","PoCG_L -- LFOG_L","-0.00052787868180706","0.0001857417709781388",1.0,"1.0",0.0,"0.0",0.0,"0.0",-89.87202792171445
"Put_L_to_STG_L","Put_L -- STG_L","-0.12209163572297901","0.043453552849289374",1.0,"1.0",0.0,"0.0",0.0,"0.0",-88.85065243784919
"STG_L_pole_to_PoCG_L","STG_L_pole -- PoCG_L","-0.002655249514281184","0.0009466549259377105",1.0,"1.0",0.0,"0.0",0.0,"0.0",-88.69796153933312
"AG_L_to_PrCG_L","AG_L -- PrCG_L","-0.1289863978624782","0.046591184408610126",1.0,"1.0",0.0,"0.0",0.0,"0.0",-87.54677727203826
"ITG_L_to_SFG_pole_L","ITG_L -- SFG_pole_L","-0.0003492775068315433","0.00012796663960246406",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.31253117874557
"Caud_L_to_AG_L","Caud_L -- AG_L","-0.0008251500508029738","0.00030259340963128704",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.23299413958054
"IFG_opercularis_L_to_SFG_L","IFG_opercularis_L -- SFG_L","-0.1600591373103513","0.0592099140928485",1.0,"1.0",0.0,"0.0",0.0,"0.0",-85.48423722227307
"Put_L_to_MFG_DPFC_L","Put_L -- MFG_DPFC_L","-0.08614626729316738","0.03205754809133707",1.0,"1.0",0.0,"0.0",0.0,"0.0",-84.9779327451724
"IOG_L_to_AG_L","IOG_L -- AG_L","-0.0936798433214225","0.03511047232575044",1.0,"1.0",0.0,"0.0",0.0,"0.0",-84.37416420802211
"MOG_L_to_SFG_pole_L","MOG_L -- SFG_pole_L","-0.00039920560881723005","0.00015003373246291009",1.0,"1.0",0.0,"0.0",0.0,"0.0",-84.14101001511256
"SOG_L_to_IFG_opercularis_L","SOG_L -- IFG_opercularis_L","-0.0023744820866277378","0.0008936646726333391",1.0,"1.0",0.0,"0.0",0.0,"0.0",-84.02225003352751
"PSIG_L_to_SFG_pole_L","PSIG_L -- SFG_pole_L","-0.00019804737627808098","7.568328018431176e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-82.75021803150612
"PSTG_L_to_MTG_L","PSTG_L -- MTG_L","-0.11807761688848396","0.045143320844189726",1.0,"1.0",0.0,"0.0",0.0,"0.0",-82.71305767272368
"MOG_L_to_IFG_opercularis_L","MOG_L -- IFG_opercularis_L","-0.012927996826277176","0.0049537009683486895",1.0,"1.0",0.0,"0.0",0.0,"0.0",-82.52802463385665
"Caud_L_to_SPG_L","Caud_L -- SPG_L","-0.006330901273631996","0.002435490226848358",1.0,"1.0",0.0,"0.0",0.0,"0.0",-82.2013878177
"PSIG_L_to_LG_L","PSIG_L -- LG_L","-0.08749857810847894","0.03372194682232413",1.0,"1.0",0.0,"0.0",0.0,"0.0",-82.05184602976937
"PSMG_L_to_rostral_ACC_L","PSMG_L -- rostral_ACC_L","-0.0004008432138240297","0.0001549896471232552",1.0,"1.0",0.0,"0.0",0.0,"0.0",-81.78465877129118
"PSTG_L_to_PIns_L","PSTG_L -- PIns_L","-0.02456830124241473","0.00950946550031466",1.0,"1.0",0.0,"0.0",0.0,"0.0",-81.69942902112047
"IOG_L_to_SFG_pole_L","IOG_L -- SFG_pole_L","-0.00046305759958108027","0.00018194618282344824",1.0,"1.0",0.0,"0.0",0.0,"0.0",-80.48075973912279
"FuG_L_to_SMG_L","FuG_L -- SMG_L","-0.012372640565785237","0.0048778943685060475",1.0,"1.0",0.0,"0.0",0.0,"0.0",-80.21027497251595
"GP_L_to_dorsal_ACC_L","GP_L -- dorsal_ACC_L","-0.006198436238884636","0.0024497884834553374",1.0,"1.0",0.0,"0.0",0.0,"0.0",-80.01170949483871
"IOG_L_to_MFG_L","IOG_L -- MFG_L","-0.015261085615547449","0.006058959974161794",1.0,"1.0",0.0,"0.0",0.0,"0.0",-79.65028704227252
"MFG_DPFC_L_to_MFG_L","MFG_DPFC_L -- MFG_L","-0.15443753109344383","0.0618328965903121",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.98293326029865
"STG_L_pole_to_SMG_L","STG_L_pole -- SMG_L","-0.002442721113720055","0.000983270829308156",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.55986547850372
"Hippo_L_to_SFG_pole_L","Hippo_L -- SFG_pole_L","-0.0002076109430519259","8.50408818630532e-5",1.0,"1.0",0.0,"0.0",0.0,"0.0",-77.20092181979447
"PHG_L_to_RG_L","PHG_L -- RG_L","-0.0011125720600062006","0.00045592986222912153",1.0,"1.0",0.0,"0.0",0.0,"0.0",-77.16673247687088
"Thal_L_to_PoCG_L","Thal_L -- PoCG_L","-0.19669138043086556","0.08093895161149783",1.0,"1.0",0.0,"0.0",0.0,"0.0",-76.84714786889437
"SMG_L_to_IFG_orbitalis_L","SMG_L -- IFG_orbitalis_L","-0.008890435211359477","0.0036637898107469563",1.0,"1.0",0.0,"0.0",0.0,"0.0",-76.73481861756873
"Thal_L_to_Hippo_L","Thal_L -- Hippo_L","-0.035373790668115475","0.014631730742007429",1.0,"1.0",0.0,"0.0",0.0,"0.0",-76.45148066052175
"IFG_triangularis_L_to_IFG_orbitalis_L","IFG_triangularis_L -- IFG_orbitalis_L","-0.09106758822877725","0.03768660088349361",1.0,"1.0",0.0,"0.0",0.0,"0.0",-76.41469197807336
"IOG_L_to_SFG_PFC_L","IOG_L -- SFG_PFC_L","-0.005413924405972037","0.002241112786883501",1.0,"1.0",0.0,"0.0",0.0,"0.0",-76.39210441815081
"PSMG_L_to_MFG_L","PSMG_L -- MFG_L","-0.032986165973576335","0.013730653189638795",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.96974034094794
"Ins_L_to_SMG_L","Ins_L -- SMG_L","-0.007546612372802142","0.0031424344007980583",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.94266314804163
"PSTG_L_to_Ins_L","PSTG_L -- Ins_L","-0.005223036877180306","0.0021789909538785647",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.7997310890322
"MFG_DPFC_L_to_SFG_PFC_L","MFG_DPFC_L -- SFG_PFC_L","-0.10634371948472929","0.044397960747407726",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.74410237871278
"PSMG_L_to_IFG_opercularis_L","PSMG_L -- IFG_opercularis_L","-0.06461783506066661","0.0269799970198172",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.73741987840128
"SMG_L_to_MFG_L","SMG_L -- MFG_L","-0.039171066281932905","0.016365884891180002",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.6878034105494
"PSTG_L_to_MTG_L_pole","PSTG_L -- MTG_L_pole","-0.032996905666466424","0.0138217517297499",1.0,"1.0",0.0,"0.0",0.0,"0.0",-75.49359855680049
"STG_L_to_RG_L","STG_L -- RG_L","-0.050525244291850124","0.021371438890130646",1.0,"1.0",0.0,"0.0",0.0,"0.0",-74.76092373567406
"Caud_L_to_PoCG_L","Caud_L -- PoCG_L","-0.013939875318594388","0.005901392379860769",1.0,"1.0",0.0,"0.0",0.0,"0.0",-74.69721290852993
"MTG_L_pole_to_SMG_L","MTG_L_pole -- SMG_L","-0.0023712747584074055","0.0010075190012737247",1.0,"1.0",0.0,"0.0",0.0,"0.0",-74.426677662188
"Ins_L_to_IOG_L","Ins_L -- IOG_L","-0.005990076710129368","0.0025463490931574274",1.0,"1.0",0.0,"0.0",0.0,"0.0",-74.38997981085502
"Thal_L_to_rostral_ACC_L","Thal_L -- rostral_ACC_L","-0.00101387327778412","0.0004319213847656906",1.0,"1.0",0.0,"0.0",0.0,"0.0",-74.229916129707
"PHG_L_to_MFOG_L","PHG_L -- MFOG_L","-0.001191121383291962","0.000508718415169965",1.0,"1.0",0.0,"0.0",0.0,"0.0",-74.0420717751012
"Caud_L_to_PrCG_L","Caud_L -- PrCG_L","-0.0098988342592026","0.004247827883675226",1.0,"1.0",0.0,"0.0",0.0,"0.0",-73.69145666161623
"Hippo_L_to_SMG_L","Hippo_L -- SMG_L","-0.0006337111008328845","0.0002722500928180403",1.0,"1.0",0.0,"0.0",0.0,"0.0",-73.60770519567482
"rostral_ACC_L_to_AG_L","rostral_ACC_L -- AG_L","-0.0007337317742181647","0.0003156212446273294",1.0,"1.0",0.0,"0.0",0.0,"0.0",-73.514176807251
