"edge","edge_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x10_24","IFG_opercularis_L -- PrCG_L","-0.19938886977109754","0.027027932516782073",1.0,"1.0",0.0,"0.0",0.0,"0.0",-233.28568257000873
"x10_22","IFG_opercularis_L -- PoCG_L","-0.08266335535806783","0.011351767699388924",1.0,"1.0",0.0,"0.0",0.0,"0.0",-230.27645463309617
"x6_24","MFG_L -- PrCG_L","-0.2896303397546747","0.04303712857973427",1.0,"1.0",0.0,"0.0",0.0,"0.0",-212.81427998067443
"x22_28","PoCG_L -- SMG_L","-0.29567980630893087","0.04699925706371253",1.0,"1.0",0.0,"0.0",0.0,"0.0",-198.94392049349278
"x24_28","PrCG_L -- SMG_L","-0.22858442312547275","0.03674068482341908",1.0,"1.0",0.0,"0.0",0.0,"0.0",-196.74304335541527
"x10_28","IFG_opercularis_L -- SMG_L","-0.11939963187913903","0.019962404792541303",1.0,"1.0",0.0,"0.0",0.0,"0.0",-189.14293766090026
"x10_14","IFG_opercularis_L -- IFG_triangularis_L","-0.21763610552510562","0.03678472358504225",1.0,"1.0",0.0,"0.0",0.0,"0.0",-187.095546051063
"x22_183","PoCG_L -- PSTG_L","-0.10871058168574407","0.018418588311079353",1.0,"1.0",0.0,"0.0",0.0,"0.0",-186.6446212286248
"x28_30","SMG_L -- AG_L","-0.2094580115494185","0.03730671497667409",1.0,"1.0",0.0,"0.0",0.0,"0.0",-177.54562176813423
"x22_185","PoCG_L -- PSMG_L","-0.1694826799686629","0.031261725421506174",1.0,"1.0",0.0,"0.0",0.0,"0.0",-171.44008701505243
"x12_22","IFG_orbitalis_L -- PoCG_L","-0.010546171293636993","0.002072878414388916",1.0,"1.0",0.0,"0.0",0.0,"0.0",-160.8870141667661
"x28_58","SMG_L -- LG_L","-0.002049000427422941","0.0004088075845059652",1.0,"1.0",0.0,"0.0",0.0,"0.0",-158.49775109102652
"x14_22","IFG_triangularis_L -- PoCG_L","-0.07526801815219118","0.015220768821110123",1.0,"1.0",0.0,"0.0",0.0,"0.0",-156.3773651155569
"x22_30","PoCG_L -- AG_L","-0.16467696963211853","0.03394379964646861",1.0,"1.0",0.0,"0.0",0.0,"0.0",-153.41662030639884
"x28_183","SMG_L -- PSTG_L","-0.13062042431002255","0.026946829584628525",1.0,"1.0",0.0,"0.0",0.0,"0.0",-153.28632574754644
"x22_187","PoCG_L -- PSIG_L","-0.03802616835785431","0.007904992280486923",1.0,"1.0",0.0,"0.0",0.0,"0.0",-152.11817852962835
"x30_70","AG_L -- Ins_L","-0.004521419428890572","0.0009481891484150461",1.0,"1.0",0.0,"0.0",0.0,"0.0",-150.7925256910169
"x24_187","PrCG_L -- PSIG_L","-0.029940940325815874","0.0063004731418596464",1.0,"1.0",0.0,"0.0",0.0,"0.0",-150.2769150585029
"x30_185","AG_L -- PSMG_L","-0.1761315962297686","0.037754271716402395",1.0,"1.0",0.0,"0.0",0.0,"0.0",-147.5268854849119
"x24_183","PrCG_L -- PSTG_L","-0.06941655546718445","0.015205808418702695",1.0,"1.0",0.0,"0.0",0.0,"0.0",-144.36221774944914
"x8_22","MFG_DPFC_L -- PoCG_L","-0.005089505056993325","0.0011212582793373538",1.0,"1.0",0.0,"0.0",0.0,"0.0",-143.53899043274438
