"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x40","MTG_L_pole","-11.732108164256314","3.0820995717799344",1.0,"1.0",0.0,"0.0",0.0,"0.0",-120.37308558815047
"x36","STG_L_pole","-10.35554632385012","3.191824812393067",1.0,"1.0",0.0,"0.0",0.0,"0.0",-102.59683636646056
"x58","LG_L","-4.139988177984985","1.593761042213986",1.0,"1.0",0.0,"0.0",0.0,"0.0",-82.14400893132976
"x187","PSIG_L","-9.539058066830888","3.6915454619808714",1.0,"1.0",0.0,"0.0",0.0,"0.0",-81.7141507112898
"x16","LFOG_L","-7.877206110657347","3.396009132553587",1.0,"1.0",0.0,"0.0",0.0,"0.0",-73.35054746906076
"x8","MFG_DPFC_L","-5.014970833400588","2.17519922679148",1.0,"1.0",0.0,"0.0",0.0,"0.0",-72.90702404418856
"x38","MTG_L","-6.983202920759247","3.337282312278383",1.0,"1.0",0.0,"0.0",0.0,"0.0",-66.17008849234414
"x72","Amyg_L","-6.299507681398723","3.416955383245004",1.0,"1.0",1.0e-323,"2.0e-323",5.0e-324,"3.0e-323",-58.299831799465785
"x50","SOG_L","-5.269787868187371","3.3849280707343827",1.0,"1.0",2.185396649616294e-269,"3.7232683660129455e-269",1.092698324808147e-269,"5.584902549019418e-269",-49.23157036474276
"x12","IFG_orbitalis_L","-5.2100478105649355","3.4396764628439547",1.0,"1.0",5.0952871166516595e-261,"8.370828834499155e-261",2.5476435583258298e-261,"1.1719160368298816e-260",-47.898742738543746
"x56","Cu_L","-4.24158063487932","3.0176701446368006",1.0,"1.0",6.191554145398135e-239,"9.493716356277141e-239",3.0957770726990673e-239,"1.2945976849468827e-238",-44.448382502376
"x42","ITG_L","-3.587948507266648","2.8315341130397766",1.0,"1.0",4.203564224315505e-210,"6.237546913500427e-210",2.1017821121577525e-210,"8.056831429938051e-210",-40.07046695327742
"x52","MOG_L","-4.465745345897861","3.705946784653451",1.0,"1.0",6.525669706744253e-197,"9.380650203444865e-197",3.262834853372127e-197,"1.1545415635009064e-196",-38.10612392442726
"x44","PHG_L","-1.1997649826842551","1.026807446143029",1.0,"1.0",4.400054079816284e-189,"5.953014343280855e-189",2.200027039908142e-189,"7.228660273983894e-189",-36.94938146821969
"x4","SFG_pole_L","-0.07126658416301525","0.07996799344249907",1.0,"1.0",4.6950129916114084e-129,"5.837043178760129e-129",2.3475064958057042e-129,"7.199019920470826e-129",-28.181865933307563
"x2","SFG_PFC_L","-0.8578541165124411","1.2186059232629274",1.0,"1.0",1.7937128493818034e-89,"2.1156613095272553e-89",8.968564246909017e-90,"2.5784622209863425e-89",-22.261281161895884
"x48","FuG_L","-0.7069941673807129","1.5313275488966651",1.0,"1.0",6.654820638974437e-44,"7.288613080781526e-44",3.3274103194872184e-44,"9.003580864494827e-44",-14.599827861702234
"x18","MFOG_L","-0.0759091550576711","0.9550996414649696",0.9939415201382416,"1.0",0.012116959723516906,"0.012667730620040401",0.006058479861758453,"0.015482781868938268",-2.5133066207933976
"x60","rostral_ACC_L","0.0055660421980853305","1.5672192527264708",0.4553002609968892,"0.7756967409576631",0.9106005219937784,"0.9308360891491956",0.5446997390031107,"1.0",0.11230956273628509
"x46","ENT_L","0.3570663547776177","1.1002588295993863",7.31912153845877e-24,"1.2949215029580902e-23",1.463824307691754e-23,"1.565951584972574e-23",1.0,"1.0",10.262521204416492
"x78","Put_L","2.20280260873052","4.069803041636895",4.327852389796789e-58,"7.963248397226092e-58",8.655704779593578e-58,"9.711278533202552e-58",1.0,"1.0",17.11599654352669
"x54","IOG_L","2.198158495956375","3.468021431112578",1.1147547148956306e-75,"2.1366132035499586e-75",2.229509429791261e-75,"2.56393584425995e-75",1.0,"1.0",20.043669404436624
"x34","STG_L","1.9582150210209055","2.650146794525269",5.512615902424788e-97,"1.1025231804849577e-96",1.1025231804849577e-96,"1.3346333237449487e-96",1.0,"1.0",23.366326829792968
"x30","AG_L","3.268497580596028","3.442076999296714",5.367003436176161e-142,"1.1221916275641062e-141",1.0734006872352321e-141,"1.3715675448005743e-141",1.0,"1.0",30.02808154362918
"x80","GP_L","4.143527274133627","3.9202870913075767",2.592162180261818e-165,"5.678069537716363e-165",5.184324360523636e-165,"6.813683445259635e-165",1.0,"1.0",33.423531052978994
"x82","Thal_L","2.91944376008107","2.449382698700168",2.0651729355631722e-194,"4.7498977517952955e-194",4.1303458711263445e-194,"5.757451820357935e-194",1.0,"1.0",37.69150401658999
"x6","MFG_L","3.5628271267972234","2.4238818572825975",2.527703979123079e-252,"6.119704370508507e-252",5.055407958246158e-252,"8.018922968252527e-252",1.0,"1.0",46.48183902306088
"x185","PSMG_L","5.969443335887473","3.0482415011862103",0.0,"0.0",0.0,"0.0",1.0,"1.0",61.92763039730298
"x20","RG_L","0.6409489495320788","0.3256235548011478",0.0,"0.0",0.0,"0.0",1.0,"1.0",62.24545228773292
"x62","subcallosal_ACC_L","0.09746677496126534","0.049164012333153574",0.0,"0.0",0.0,"0.0",1.0,"1.0",62.69158891672133
"x76","Caud_L","4.707044558065448","2.3312307296445",0.0,"0.0",0.0,"0.0",1.0,"1.0",63.85031589583321
"x0","SFG_L","3.772596751356546","1.8533200548282895",0.0,"0.0",0.0,"0.0",1.0,"1.0",64.37095630923783
"x74","Hippo_L","3.590493622320581","1.7072364774561035",0.0,"0.0",0.0,"0.0",1.0,"1.0",66.50594642729189
"x32","PrCu_L","4.165035115881301","1.9689688881304046",0.0,"0.0",0.0,"0.0",1.0,"1.0",66.89286753166787
"x70","Ins_L","7.094522577184038","3.3536170935826304",0.0,"0.0",0.0,"0.0",1.0,"1.0",66.89747108672562
"x68","PCC_L","2.4479723600021956","0.9985704271475949",0.0,"0.0",0.0,"0.0",1.0,"1.0",77.52250713910253
"x66","dorsal_ACC_L","3.8594168887864186","1.497075792980652",0.0,"0.0",0.0,"0.0",1.0,"1.0",81.52257798776373
"x14","IFG_triangularis_L","7.806695850288886","2.795753495901778",0.0,"0.0",0.0,"0.0",1.0,"1.0",88.30156136184995
"x26","SPG_L","7.9998018204645325","2.585016170903608",0.0,"0.0",0.0,"0.0",1.0,"1.0",97.862422941
"x22","PoCG_L","6.864089107624825","2.1584304907478002",0.0,"0.0",0.0,"0.0",1.0,"1.0",100.56453397731087
"x183","PSTG_L","10.3398061884639","2.802005083123707",0.0,"0.0",0.0,"0.0",1.0,"1.0",116.69264383988478
"x181","PIns_L","14.667522987408729","3.75434881594992",0.0,"0.0",0.0,"0.0",1.0,"1.0",123.54414186565957
"x28","SMG_L","14.024949269193474","3.010280979770872",0.0,"0.0",0.0,"0.0",1.0,"1.0",147.3310433710448
"x24","PrCG_L","16.407661904592203","2.8537376199749804",0.0,"0.0",0.0,"0.0",1.0,"1.0",181.81623402694805
"x10","IFG_opercularis_L","15.741480247715872","2.2794572927662826",0.0,"0.0",0.0,"0.0",1.0,"1.0",218.3806271927273
"x64","subgenual_ACC_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
