"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"PSIG_L","PSIG_L","-32.92007445479052","17.734077966703662",1.0,"1.0",0.0,"0.0",0.0,"0.0",-58.70190500736472
"LG_L","LG_L","-11.05775298310691","6.143850124613179",1.0,"1.0",9.13001634e-316,"6.999679193e-315",4.56500817e-316,"1.049951879e-314",-56.91493854977595
"STG_L_pole","STG_L_pole","-18.251383509556238","11.129656093091317",1.0,"1.0",1.3421537506017424e-285,"8.819867503954307e-285",6.710768753008712e-286,"1.0289845421280026e-284",-51.8577949369542
"LFOG_L","LFOG_L","-17.368085711217798","11.421433041353502",1.0,"1.0",3.2890292692027e-262,"1.3754122398484018e-261",1.64451463460135e-262,"1.8911918297915526e-261",-48.087406585159165
"SOG_L","SOG_L","-15.337470926212296","10.698543720665329",1.0,"1.0",1.156539974401761e-244,"3.8000599158915e-244",5.782699872008805e-245,"5.3200838822481006e-244",-45.334526772796075
"MTG_L_pole","MTG_L_pole","-16.144772995791953","11.678619390360176",1.0,"1.0",3.5886049458985e-234,"1.1005055167422068e-233",1.79430247294925e-234,"1.3756318959277584e-233",-43.71600209458326
"MOG_L","MOG_L","-15.50180439549293","11.453090298374772",1.0,"1.0",3.4463914366938425e-228,"9.908375380494797e-228",1.7231957183469212e-228,"1.132385757770834e-227",-42.80155700782653
"Amyg_L","Amyg_L","-9.382365398761516","10.477457022014974",1.0,"1.0",5.5555648634242545e-130,"1.0648165988229821e-129",2.7777824317121273e-130,"1.5972248982344732e-129",-28.31760076676927
"SFG_PFC_L","SFG_PFC_L","-6.127253998876504","7.032238380282491",1.0,"1.0",9.071904438077753e-125,"1.6692304166063068e-124",4.5359522190388766e-125,"2.31837557861987e-124",-27.553216189531646
"PoCG_L","PoCG_L","-9.233966146552524","13.23954272965103",1.0,"1.0",3.843198823646385e-88,"6.313826638847632e-88",1.9215994118231924e-88,"8.839357294386684e-88",-22.055417967417828
"SFG_pole_L","SFG_pole_L","-0.3077025444514646","0.4908357816497262",1.0,"1.0",5.142046268128706e-74,"7.884470944464017e-74",2.571023134064353e-74,"1.0751551287905476e-73",-19.82416357310769
"rostral_ACC_L","rostral_ACC_L","-5.435306595973058","8.75387676052186",1.0,"1.0",7.629685582741692e-73,"1.1321468929229607e-72",3.814842791370846e-73,"1.4623564033588245e-72",-19.634670552052395
"STG_L","STG_L","-5.558767863478523","12.740263551280933",1.0,"1.0",9.11276242357029e-40,"1.2702638529825254e-39",4.556381211785145e-40,"1.6122579672470514e-39",-13.797491207293493
"MFG_DPFC_L","MFG_DPFC_L","-4.0161407660235255","9.46795743328702",1.0,"1.0",7.628364874370334e-38,"1.032072894767751e-37",3.814182437185167e-38,"1.2532313722179834e-37",-13.413824802208227
"Ins_L","Ins_L","-5.442356941333274","14.395566211484459",1.0,"1.0",6.963001807367906e-31,"8.65670494970064e-31",3.481500903683953e-31,"1.0676602771297457e-30",-11.955239218385572
"IFG_triangularis_L","IFG_triangularis_L","-4.552961501450795","14.459379148005803",1.0,"1.0",2.4695068501350524e-22,"2.912751669390062e-22",1.2347534250675262e-22,"3.5499160970691376e-22",-9.957362827455995
"PHG_L","PHG_L","-2.0429928220761218","7.177776811789072",1.0,"1.0",1.10792564912845e-18,"1.2741144964977175e-18",5.53962824564225e-19,"1.4989582311737854e-18",-9.000712519403875
