"edge","edge_name","coef","pos_rank","neg_rank"
"x22_28","PoCG_L -- SMG_L",-0.46631434568001306,"101","101"
"x6_24","MFG_L -- PrCG_L",-0.3810527151194616,"101","101"
"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.30108542935232907,"101","101"
"x22_82","PoCG_L -- Thal_L",-0.29169597316228674,"101","101"
"x24_28","PrCG_L -- SMG_L",-0.2897651748638349,"101","101"
"x10_24","IFG_opercularis_L -- PrCG_L",-0.2779238080460087,"101","101"
"x6_10","MFG_L -- IFG_opercularis_L",-0.2524887167304982,"101","101"
"x58_78","LG_L -- Put_L",-0.24815916095583102,"101","101"
"x34_183","STG_L -- PSTG_L",-0.24138806332483764,"101","101"
"x28_30","SMG_L -- AG_L",-0.2388298473443404,"101","101"
"x6_8","MFG_L -- MFG_DPFC_L",-0.23055313430487462,"101","101"
"x22_30","PoCG_L -- AG_L",-0.22163577969564802,"101","101"
"x22_185","PoCG_L -- PSMG_L",-0.22135663216829493,"101","101"
"x0_10","SFG_L -- IFG_opercularis_L",-0.21788467610986215,"101","101"
"x12_78","IFG_orbitalis_L -- Put_L",-0.20834793242285962,"101","101"
"x28_185","SMG_L -- PSMG_L",-0.18487730475801034,"101","101"
"x30_185","AG_L -- PSMG_L",-0.17980166127234615,"101","101"
"x28_183","SMG_L -- PSTG_L",-0.1787314390721654,"101","101"
"x0_6","SFG_L -- MFG_L",-0.1704356050934176,"101","101"
"x38_183","MTG_L -- PSTG_L",-0.17035459881284165,"101","101"
"x78_82","Put_L -- Thal_L",-0.16879154120845327,"101","101"
"x34_78","STG_L -- Put_L",-0.16847466947019635,"101","101"
"x22_183","PoCG_L -- PSTG_L",-0.1615456741684878,"101","101"
"x24_185","PrCG_L -- PSMG_L",-0.16133002916588715,"101","101"
"x12_82","IFG_orbitalis_L -- Thal_L",-0.15980836713046453,"101","101"
"x10_28","IFG_opercularis_L -- SMG_L",-0.15264934143915032,"101","101"
"x24_30","PrCG_L -- AG_L",-0.15117753467577316,"101","101"
"x2_8","SFG_PFC_L -- MFG_DPFC_L",-0.14696905582946018,"101","101"
"x26_52","SPG_L -- MOG_L",-0.1458023370050277,"101","101"
"x0_24","SFG_L -- PrCG_L",-0.14335599710698202,"101","101"
"x183_185","PSTG_L -- PSMG_L",-0.14148441725245547,"101","101"
"x58_187","LG_L -- PSIG_L",-0.13490748013060377,"101","101"
"x10_30","IFG_opercularis_L -- AG_L",-0.13382684360514477,"101","101"
"x48_52","FuG_L -- MOG_L",-0.12985586355741519,"101","101"
"x20_78","RG_L -- Put_L",-0.12419875394952971,"101","101"
"x22_26","PoCG_L -- SPG_L",-0.12044443179698651,"101","101"
"x10_22","IFG_opercularis_L -- PoCG_L",-0.11442394780064977,"101","101"
"x30_183","AG_L -- PSTG_L",-0.11202624081623508,"101","101"
"x76_82","Caud_L -- Thal_L",-0.11124709824326381,"101","101"
"x12_76","IFG_orbitalis_L -- Caud_L",-0.11025917539964591,"101","101"
"x8_78","MFG_DPFC_L -- Put_L",-0.10879789265949356,"101","101"
"x12_58","IFG_orbitalis_L -- LG_L",-0.10767746712566453,"101","101"
"x52_54","MOG_L -- IOG_L",-0.1073744996404952,"101","101"
"x12_14","IFG_orbitalis_L -- IFG_triangularis_L",-0.1064456578394116,"101","101"
"x78_185","Put_L -- PSMG_L",-0.10103217962133836,"101","101"
"x50_82","SOG_L -- Thal_L",-0.10070746245840288,"101","101"
"x14_22","IFG_triangularis_L -- PoCG_L",-0.09977058627838989,"101","101"
"x24_183","PrCG_L -- PSTG_L",-0.09906044275598508,"101","101"
"x8_12","MFG_DPFC_L -- IFG_orbitalis_L",-0.09842966547172438,"101","101"
"x26_28","SPG_L -- SMG_L",-0.09449102367753,"101","101"
"x78_181","Put_L -- PIns_L",-0.0910693505435953,"101","101"
"x42_78","ITG_L -- Put_L",-0.09043461972856616,"101","101"
"x34_185","STG_L -- PSMG_L",-0.08824374752148208,"101","101"
"x30_54","AG_L -- IOG_L",-0.0876726815205435,"101","101"
"x6_30","MFG_L -- AG_L",-0.08758941999840661,"101","101"
"x50_68","SOG_L -- PCC_L",-0.08742706077625492,"101","101"
"x48_56","FuG_L -- Cu_L",-0.08708908112094678,"101","101"
"x52_82","MOG_L -- Thal_L",-0.08476384444856747,"101","101"
"x14_28","IFG_triangularis_L -- SMG_L",-0.08356696015186305,"101","101"
"x26_183","SPG_L -- PSTG_L",-0.07750692185942303,"101","101"
"x26_82","SPG_L -- Thal_L",-0.07604097925026021,"101","101"
"x38_187","MTG_L -- PSIG_L",-0.0744219046517871,"101","101"
"x56_66","Cu_L -- dorsal_ACC_L",-0.07403114475171868,"101","101"
"x10_70","IFG_opercularis_L -- Ins_L",-0.07310315970737859,"101","101"
"x20_34","RG_L -- STG_L",-0.07186233365151262,"101","101"
"x38_78","MTG_L -- Put_L",-0.0701223453817028,"101","101"
