"edge","edge_name","coef","pos_rank","neg_rank"
"x22_28","PoCG_L -- SMG_L",-0.7361129447733019,"101","99"
"x6_24","MFG_L -- PrCG_L",-0.6466669239919487,"101","100"
"x28_30","SMG_L -- AG_L",-0.5057369505534689,"101","101"
"x24_28","PrCG_L -- SMG_L",-0.44905628629648925,"101","101"
"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.4358095997736581,"101","101"
"x50_68","SOG_L -- PCC_L",-0.43447983004788726,"101","101"
"x10_24","IFG_opercularis_L -- PrCG_L",-0.40395737923467806,"101","101"
"x26_28","SPG_L -- SMG_L",-0.3977496061570537,"101","101"
"x6_10","MFG_L -- IFG_opercularis_L",-0.3722020173401566,"101","101"
"x12_78","IFG_orbitalis_L -- Put_L",-0.3662601582022868,"101","101"
"x22_30","PoCG_L -- AG_L",-0.3636734738155392,"101","101"
"x78_82","Put_L -- Thal_L",-0.3611836585354304,"101","101"
"x30_185","AG_L -- PSMG_L",-0.32833914842150835,"101","101"
"x58_78","LG_L -- Put_L",-0.30693639780129894,"101","101"
"x26_183","SPG_L -- PSTG_L",-0.29360614064723556,"101","101"
"x38_78","MTG_L -- Put_L",-0.2908848226481818,"101","101"
"x34_78","STG_L -- Put_L",-0.2876864429865231,"101","101"
"x50_82","SOG_L -- Thal_L",-0.28147880025770966,"101","101"
"x22_185","PoCG_L -- PSMG_L",-0.27517773522566397,"101","101"
"x24_30","PrCG_L -- AG_L",-0.27355505082100107,"101","101"
"x24_185","PrCG_L -- PSMG_L",-0.27267926417863514,"101","101"
"x52_82","MOG_L -- Thal_L",-0.27209842611400265,"101","101"
"x0_24","SFG_L -- PrCG_L",-0.2688965624007602,"101","101"
"x0_10","SFG_L -- IFG_opercularis_L",-0.2635021949270029,"101","101"
"x10_28","IFG_opercularis_L -- SMG_L",-0.25454209863454985,"101","101"
"x0_82","SFG_L -- Thal_L",-0.24785305314774922,"101","101"
"x26_82","SPG_L -- Thal_L",-0.2469786225750994,"101","101"
"x34_183","STG_L -- PSTG_L",-0.24454219555690265,"101","101"
"x52_54","MOG_L -- IOG_L",-0.24419814235384846,"101","101"
"x28_185","SMG_L -- PSMG_L",-0.24137901950116777,"101","101"
"x68_183","PCC_L -- PSTG_L",-0.23604627921059618,"101","101"
"x36_78","STG_L_pole -- Put_L",-0.21293115806915647,"101","101"
"x6_14","MFG_L -- IFG_triangularis_L",-0.21174532006518954,"101","101"
"x10_30","IFG_opercularis_L -- AG_L",-0.2114891401709609,"101","101"
"x30_54","AG_L -- IOG_L",-0.20752477800709168,"101","101"
"x0_6","SFG_L -- MFG_L",-0.2043091049765173,"101","101"
"x6_30","MFG_L -- AG_L",-0.1996407549720001,"101","101"
"x28_183","SMG_L -- PSTG_L",-0.19954624365048357,"101","101"
"x6_8","MFG_L -- MFG_DPFC_L",-0.19928082841155814,"101","101"
"x2_8","SFG_PFC_L -- MFG_DPFC_L",-0.1984883913514182,"101","101"
"x82_185","Thal_L -- PSMG_L",-0.19825393106741648,"101","101"
"x12_14","IFG_orbitalis_L -- IFG_triangularis_L",-0.19507993315930683,"101","101"
"x34_52","STG_L -- MOG_L",-0.1949726329883013,"101","101"
"x58_187","LG_L -- PSIG_L",-0.194372692579149,"101","101"
"x24_82","PrCG_L -- Thal_L",-0.19305476692678203,"101","101"
"x78_185","Put_L -- PSMG_L",-0.1924470713647558,"101","101"
"x183_185","PSTG_L -- PSMG_L",-0.18593631556977613,"101","101"
"x26_30","SPG_L -- AG_L",-0.18562976070730883,"101","101"
"x24_183","PrCG_L -- PSTG_L",-0.18538870113171527,"101","101"
"x22_82","PoCG_L -- Thal_L",-0.18202141263683413,"101","101"
"x10_185","IFG_opercularis_L -- PSMG_L",-0.18013527546014516,"101","101"
"x22_183","PoCG_L -- PSTG_L",-0.17275702102195148,"101","101"
"x8_12","MFG_DPFC_L -- IFG_orbitalis_L",-0.16911929372797038,"101","101"
"x10_22","IFG_opercularis_L -- PoCG_L",-0.16782694328712403,"101","101"
"x42_187","ITG_L -- PSIG_L",-0.16522950275498194,"101","101"
"x56_68","Cu_L -- PCC_L",-0.1641635007571975,"101","101"
"x26_185","SPG_L -- PSMG_L",-0.15297466418449437,"101","101"
"x14_78","IFG_triangularis_L -- Put_L",-0.1491749795805371,"101","101"
"x14_28","IFG_triangularis_L -- SMG_L",-0.14774192765742605,"101","101"
"x10_183","IFG_opercularis_L -- PSTG_L",-0.14422376886395216,"101","101"
"x14_22","IFG_triangularis_L -- PoCG_L",-0.1431672011274669,"101","101"
"x30_52","AG_L -- MOG_L",-0.1418001778573497,"101","101"
"x50_183","SOG_L -- PSTG_L",-0.14079796739514425,"101","101"
"x38_183","MTG_L -- PSTG_L",-0.13915070193512383,"101","101"
"x14_24","IFG_triangularis_L -- PrCG_L",-0.13657284150429896,"101","101"
"x80_82","GP_L -- Thal_L",-0.13495367025405877,"101","101"
"x70_78","Ins_L -- Put_L",-0.1329635371146929,"101","101"
"x42_78","ITG_L -- Put_L",-0.13229054421274675,"101","101"
"x12_70","IFG_orbitalis_L -- Ins_L",-0.1292459610756323,"101","101"
"x30_68","AG_L -- PCC_L",-0.12874975632212066,"101","101"
"x28_181","SMG_L -- PIns_L",-0.12794492334542007,"101","101"
"x12_82","IFG_orbitalis_L -- Thal_L",-0.1259627924061898,"101","101"
"x38_187","MTG_L -- PSIG_L",-0.12427285882444146,"101","101"
"x6_28","MFG_L -- SMG_L",-0.11960432132780094,"101","101"
"x78_181","Put_L -- PIns_L",-0.11774805503617888,"101","101"
"x14_183","IFG_triangularis_L -- PSTG_L",-0.11741856737165644,"101","101"
"x38_54","MTG_L -- IOG_L",-0.1163937834123191,"101","101"
"x6_12","MFG_L -- IFG_orbitalis_L",-0.11341995638379958,"101","101"
"x28_54","SMG_L -- IOG_L",-0.11229031087326145,"101","101"
"x30_183","AG_L -- PSTG_L",-0.11034765202036848,"101","101"
"x8_78","MFG_DPFC_L -- Put_L",-0.11021649552837424,"101","101"
"x74_82","Hippo_L -- Thal_L",-0.10882829245501531,"101","101"
"x0_78","SFG_L -- Put_L",-0.10745728841344937,"101","101"
"x34_50","STG_L -- SOG_L",-0.1073120739065737,"101","101"
"x34_185","STG_L -- PSMG_L",-0.10704641549811415,"101","101"
"x28_52","SMG_L -- MOG_L",-0.10685786470645703,"101","101"
"x22_54","PoCG_L -- IOG_L",-0.1063680808409497,"101","101"
"x14_185","IFG_triangularis_L -- PSMG_L",-0.1056925233616591,"101","101"
"x0_14","SFG_L -- IFG_triangularis_L",-0.10235095989772237,"101","101"
"x28_68","SMG_L -- PCC_L",-0.1019607187403534,"101","101"
"x68_82","PCC_L -- Thal_L",-0.10142060974645091,"101","101"
"x54_185","IOG_L -- PSMG_L",-0.10043562799368967,"101","101"
"x76_82","Caud_L -- Thal_L",-0.09939364864292483,"101","101"
"x18_78","MFOG_L -- Put_L",-0.09338417128654733,"101","101"
"x50_54","SOG_L -- IOG_L",-0.0914887649830823,"101","101"
"x58_82","LG_L -- Thal_L",-0.09126353881963707,"101","101"
"x6_185","MFG_L -- PSMG_L",-0.09116746162335794,"101","101"
"x12_58","IFG_orbitalis_L -- LG_L",-0.09106492526134982,"101","101"
"x28_187","SMG_L -- PSIG_L",-0.09046573699321649,"101","101"
"x52_78","MOG_L -- Put_L",-0.08841036164725338,"101","101"
"x6_22","MFG_L -- PoCG_L",-0.08758288226016601,"101","101"
"x30_82","AG_L -- Thal_L",-0.08691417318116176,"101","101"
"x74_78","Hippo_L -- Put_L",-0.08561513822847981,"101","101"
"x58_74","LG_L -- Hippo_L",-0.08528401225875448,"101","101"
"x54_187","IOG_L -- PSIG_L",-0.08507510391204258,"101","101"
"x14_30","IFG_triangularis_L -- AG_L",-0.08478226036301134,"101","101"
"x22_26","PoCG_L -- SPG_L",-0.08441184968989841,"101","101"
"x8_14","MFG_DPFC_L -- IFG_triangularis_L",-0.0827306108981813,"101","101"
"x26_34","SPG_L -- STG_L",-0.0820919350108363,"101","101"
"x10_54","IFG_opercularis_L -- IOG_L",-0.08127386899107669,"101","101"
"x68_185","PCC_L -- PSMG_L",-0.07999265418049366,"101","101"
"x28_32","SMG_L -- PrCu_L",-0.0794626289527999,"101","101"
