"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x116","ACR_L","-6.870985425153694","2.5244968130806926",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.06849333586997
"x156","UNC_L","-8.685249595873369","3.3956151419678515",1.0,"1.0",0.0,"0.0",0.0,"0.0",-80.88422751613713
"x187","PSIG_L","-6.8404603731970255","2.7715312629327795",1.0,"1.0",0.0,"0.0",0.0,"0.0",-78.04867768490567
"x119","SCR_R","-4.0564979314132765","1.6475051607114723",1.0,"1.0",0.0,"0.0",0.0,"0.0",-77.86180640240177
"x155","SLF_R","-7.84295779301167","3.5507926572037154",1.0,"1.0",0.0,"0.0",0.0,"0.0",-69.8480948138938
"x121","PCR_R","-1.6876746792318151","0.7705196723684162",1.0,"1.0",0.0,"0.0",0.0,"0.0",-69.26359088746045
"x60","rostral_ACC_L","-4.820007081829823","2.242753902891462",1.0,"1.0",0.0,"0.0",0.0,"0.0",-67.96198502685864
"x25","PrCG_R","-3.770284911830148","1.8127776360978793",1.0,"1.0",0.0,"0.0",0.0,"0.0",-65.77027160824169
"x7","MFG_R","-0.1487488890218527","0.07351884660055757",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.98159254107542
"x137","EC_R","-0.7021355316657915","0.34772995427338466",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.85263848887596
"x164","OlfactoryRadiation_L","-0.862582455085026","0.4292596820812185",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.54487368912672
"x23","PoCG_R","-4.579585836469425","2.2804039329359194",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.5059507411301
"x182","PIns_R","-1.9248472385411464","0.9598951655683035",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962852
"x11","IFG_opercularis_R","-1.897708929966096","0.9463616598015643",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962842
"x71","Ins_R","-0.5782949308754383","0.2883878249168002",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962841
"x53","MOG_R","-0.9806885354324737","0.48905604831443944",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962834
"x29","SMG_R","-7.494526412645761","3.7374184962205104",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962829
"x37","STG_R_pole","-0.07190305206466244","0.035857075140563376",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962825
"x35","STG_R","-2.0273327912202266","1.0110033182504954",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962815
"x15","IFG_triangularis_R","-0.1463786673294332","0.07299705259641631",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962814
"x186","PSMG_R","-0.06814790575915128","0.033984434697993164",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.41214790962814
"x55","IOG_R","-0.02986867704284002","0.014895103424972609",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.4121479096281
"x27","SPG_R","-3.3279275587974193","1.6595922580704623",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.412147909628004
"x31","AG_R","-3.771037576344312","1.880565203425093",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.412147909627784
"x184","PSTG_R","-0.7847338078048601","0.3924838188823156",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.226713311823325
"x8","MFG_DPFC_L","-4.446741436491288","2.228440715887438",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.10166119703824
"x61","rostral_ACC_R","-0.10412496948992013","0.05371161918489772",1.0,"1.0",0.0,"0.0",0.0,"0.0",-61.30369366639222
"x95","cerebellum_L","-0.12856527144726565","0.07049925992818455",1.0,"1.0",3.835e-320,"1.51e-319",1.9175e-320,"1.2943e-319",-57.668560802669575
"x40","MTG_L_pole","-7.288146350915723","4.046245545579423",1.0,"1.0",5.03302954e-316,"1.941311396e-315",2.51651477e-316,"1.64007342e-315",-56.95932718348691
"x38","MTG_L","-7.004115738458699","3.89030619458661",1.0,"1.0",7.09656003e-316,"2.68249969e-315",3.54828e-316,"2.23541641e-315",-56.93371580823672
"x133","PLIC_R","-3.194201835769101","1.7790492678298766",1.0,"1.0",5.799756005e-315,"1.9930070635e-314",2.899878e-315,"1.5659341214e-314",-56.777253390193174
"x131","ALIC_R","-0.008516534484780777","0.004743386679554966",1.0,"1.0",5.799756005e-315,"1.9930070635e-314",2.899878e-315,"1.5659341214e-314",-56.77725339019304
"x81","GP_R","-0.1378616515191099","0.07678371086335463",1.0,"1.0",5.799756005e-315,"1.9930070635e-314",2.899878e-315,"1.5659341214e-314",-56.777253390192904
"x79","Put_R","-0.8168792588283019","0.4549707632905411",1.0,"1.0",5.799756005e-315,"1.9930070635e-314",2.899878e-315,"1.5659341214e-314",-56.77725339019268
"x135","RLIC_R","-0.18270202093211976","0.10175809585059205",1.0,"1.0",5.799756005e-315,"1.9930070635e-314",2.899878e-315,"1.5659341214e-314",-56.77725339019268
"x144","Fx_L","-0.5728623090178818","0.3345872273427962",1.0,"1.0",2.1129513895762654e-299,"7.006101975963407e-299",1.0564756947881327e-299,"5.546497397637697e-299",-54.1428223828678
"x150","SS_L","-4.536599909816551","2.6752028125241054",1.0,"1.0",2.6498220785927834e-296,"8.634765049207519e-296",1.3249110392963917e-296,"6.767788822351839e-296",-53.62579794239617
"x162","LenticularFasc_L","-3.9668835908986657","2.436932240856637",1.0,"1.0",2.889058525120308e-283,"9.254780699114207e-283",1.444529262560154e-283,"7.18463238483866e-283",-51.47614344655612
"x2","SFG_PFC_L","-2.620746070168838","1.6174253481538488",1.0,"1.0",8.208833052463735e-282,"2.5857824115260765e-281",4.104416526231867e-282,"1.989063393481597e-281",-51.239006239938576
"x92","Snigra_L","-2.4927906740819763","1.5506003105351938",1.0,"1.0",2.4039864789396774e-279,"7.328281363225173e-279",1.2019932394698387e-279,"5.540895664877569e-279",-50.83770592954871
"x98","Midbrain_L","-0.010496236949736584","0.006529015228968767",1.0,"1.0",2.403986478941591e-279,"7.328281363225173e-279",1.2019932394707956e-279,"5.540895664877569e-279",-50.837705929548655
"x124","BCC_L","-3.402409273211519","2.2795807322170396",1.0,"1.0",1.374444280410768e-256,"3.820146602906399e-256",6.87222140205384e-257,"3.092499630924228e-256",-47.1988672450409
"x126","SCC_L","-1.803954998203994","1.2109679690603659",1.0,"1.0",5.204552766944066e-256,"1.425594888336853e-255",2.602276383472033e-256,"1.1437912476191028e-255",-47.107823960001106
"x96","CP_L","-1.6224577724576132","1.1736514283813289",1.0,"1.0",3.6222126533546916e-234,"9.779974164057668e-234",1.8111063266773458e-234,"7.779524903227691e-234",-43.71538128220356
"x86","Mynert_L","-1.1020062080623299","0.8102257679727572",1.0,"1.0",1.461398819510973e-229,"3.89020249137428e-229",7.306994097554865e-230,"3.0689375209730433e-229",-43.010846493338704
