"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x116","ACR_L","-6.87583521641511","2.5203373141975303",1.0,"1.0",0.0,"0.0",0.0,"0.0",-86.27138906123577
"x156","UNC_L","-8.679892538131217","3.3991383871098484",1.0,"1.0",0.0,"0.0",0.0,"0.0",-80.75055246377507
"x187","PSIG_L","-6.8259825847001965","2.7798039415218514",1.0,"1.0",0.0,"0.0",0.0,"0.0",-77.65170742393583
"x60","rostral_ACC_L","-4.819328969652789","2.2425749106682598",1.0,"1.0",0.0,"0.0",0.0,"0.0",-67.95784731754605
"x164","OlfactoryRadiation_L","-0.8616990149609551","0.42947861059947867",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.44743317942163
"x8","MFG_DPFC_L","-4.457271056222296","2.224688001093722",1.0,"1.0",0.0,"0.0",0.0,"0.0",-63.357777267991295
"x95","cerebellum_L","-0.12850339105625794","0.07051780470526335",1.0,"1.0",6.7944e-320,"2.68945e-319",3.397e-320,"4.61047e-319",-57.62564567792837
"x40","MTG_L_pole","-7.281901925879692","4.04912608313403",1.0,"1.0",1.66801462e-315,"6.33845556e-315",8.3400731e-316,"9.903836816e-315",-56.870038894721716
"x38","MTG_L","-6.981796600893863","3.8897850295570886",1.0,"1.0",7.323269745e-315,"2.675810099e-314",3.661634873e-315,"3.8650590323e-314",-56.75989611528776
"x144","Fx_L","-0.5713941026122418","0.3348777295144449",1.0,"1.0",2.7259597662804613e-298,"9.24879206416585e-298",1.3629798831402306e-298,"1.294830888983219e-297",-53.95721024693313
"x150","SS_L","-4.537044319605458","2.67569665769729",1.0,"1.0",2.8256602726242466e-296,"9.256473306872533e-296",1.4128301363121233e-296,"1.2201714813604702e-295",-53.62115265872322
"x162","LenticularFasc_L","-3.9679466033656645","2.4374677269160134",1.0,"1.0",2.789695976691487e-283,"8.834037259523042e-283",1.3948479883457435e-283,"1.1042546574403803e-282",-51.47862579678206
"x2","SFG_PFC_L","-2.6196719192676294","1.615872564936412",1.0,"1.0",5.510183941178108e-282,"1.6886047561674847e-281",2.755091970589054e-282,"2.0133364400458473e-281",-51.26722346199649
"x98","Midbrain_L","-0.010500361726614374","0.006530272608637869",1.0,"1.0",2.080740207806385e-279,"5.990009689142317e-279",1.0403701039031925e-279,"6.589010658056549e-279",-50.847891507374385
"x92","Snigra_L","-2.493770282810595","1.5508989303479845",1.0,"1.0",2.080740207807331e-279,"5.990009689142317e-279",1.0403701039036656e-279,"6.589010658056549e-279",-50.84789150737436
