"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x10_24","IFG_opercularis_L -- PrCG_L","-0.28524531289130084","0.034021471336253245",1.0,"1.0",0.0,"0.0",0.0,"0.0",-265.13400073403153
"x24_28","PrCG_L -- SMG_L","-0.3577387776836354","0.04386190577059539",1.0,"1.0",0.0,"0.0",0.0,"0.0",-257.9161404343937
"x6_24","MFG_L -- PrCG_L","-0.4278469743406966","0.05250064669665723",1.0,"1.0",0.0,"0.0",0.0,"0.0",-257.70557394188506
"x22_28","PoCG_L -- SMG_L","-0.4940313374361065","0.06172941960666318",1.0,"1.0",0.0,"0.0",0.0,"0.0",-253.08260984016644
"x28_30","SMG_L -- AG_L","-0.41029453184666337","0.057547340126656986",1.0,"1.0",0.0,"0.0",0.0,"0.0",-225.46050422006167
"x10_28","IFG_opercularis_L -- SMG_L","-0.19384180576959692","0.028361376567305318",1.0,"1.0",0.0,"0.0",0.0,"0.0",-216.13253169753855
"x10_22","IFG_opercularis_L -- PoCG_L","-0.11121356389082514","0.016447340681768185",1.0,"1.0",0.0,"0.0",0.0,"0.0",-213.82676713780853
"x24_183","PrCG_L -- PSTG_L","-0.11765388345945314","0.019606729892163745",1.0,"1.0",0.0,"0.0",0.0,"0.0",-189.75843975112963
"x10_26","IFG_opercularis_L -- SPG_L","-0.011541964883462737","0.0019236952027614103",1.0,"1.0",0.0,"0.0",0.0,"0.0",-189.7332677912229
"x8_26","MFG_DPFC_L -- SPG_L","-0.00554300813703789","0.0009264827125010021",1.0,"1.0",0.0,"0.0",0.0,"0.0",-189.19436450755694
"x22_30","PoCG_L -- AG_L","-0.26607042589203056","0.04499398696308913",1.0,"1.0",0.0,"0.0",0.0,"0.0",-187.00022394549933
"x14_24","IFG_triangularis_L -- PrCG_L","-0.11434971176634853","0.0193564721648679",1.0,"1.0",0.0,"0.0",0.0,"0.0",-186.8137622834667
"x8_24","MFG_DPFC_L -- PrCG_L","-0.01667776586955479","0.002884326183131767",1.0,"1.0",0.0,"0.0",0.0,"0.0",-182.84938346864644
"x10_14","IFG_opercularis_L -- IFG_triangularis_L","-0.29568704797784007","0.05134642040229216",1.0,"1.0",0.0,"0.0",0.0,"0.0",-182.10510857339492
"x8_22","MFG_DPFC_L -- PoCG_L","-0.007186321410072508","0.0012518102214129415",1.0,"1.0",0.0,"0.0",0.0,"0.0",-181.5382496894116
"x28_58","SMG_L -- LG_L","-0.0029225048053022054","0.0005158097404502834",1.0,"1.0",0.0,"0.0",0.0,"0.0",-179.17016552409746
"x10_50","IFG_opercularis_L -- SOG_L","-0.004676374719122024","0.0008261296679470634",1.0,"1.0",0.0,"0.0",0.0,"0.0",-179.00331967987543
"x34_78","STG_L -- Put_L","-0.20529290025296665","0.037052600834332754",1.0,"1.0",0.0,"0.0",0.0,"0.0",-175.20852454157352
"x22_185","PoCG_L -- PSMG_L","-0.20189875756998754","0.03646526758644357",1.0,"1.0",0.0,"0.0",0.0,"0.0",-175.08713714106372
"x52_82","MOG_L -- Thal_L","-0.18519330113478175","0.03400112489106703",1.0,"1.0",0.0,"0.0",0.0,"0.0",-172.23919528180565
"x30_70","AG_L -- Ins_L","-0.005722952354848638","0.0010544955722084598",1.0,"1.0",0.0,"0.0",0.0,"0.0",-171.62295280238712
"x30_181","AG_L -- PIns_L","-0.045027230541763406","0.008391875040876282",1.0,"1.0",0.0,"0.0",0.0,"0.0",-169.6743630570094
"x0_183","SFG_L -- PSTG_L","-0.0056060701213975295","0.0010492387557496177",1.0,"1.0",0.0,"0.0",0.0,"0.0",-168.96011712384083
"x22_70","PoCG_L -- Ins_L","-0.025115093612197582","0.004764045311841238",1.0,"1.0",0.0,"0.0",0.0,"0.0",-166.70895061700176
"x22_183","PoCG_L -- PSTG_L","-0.11066389739232493","0.021149462581645385",1.0,"1.0",0.0,"0.0",0.0,"0.0",-165.4651834106744
"x10_30","IFG_opercularis_L -- AG_L","-0.16882021763459684","0.03238263478028678",1.0,"1.0",0.0,"0.0",0.0,"0.0",-164.85885303429336
"x38_78","MTG_L -- Put_L","-0.20390770573190742","0.03926548396246032",1.0,"1.0",0.0,"0.0",0.0,"0.0",-164.21872787526837
"x6_22","MFG_L -- PoCG_L","-0.06653773828948843","0.013162727478535185",1.0,"1.0",0.0,"0.0",0.0,"0.0",-159.85349821615773
"x14_22","IFG_triangularis_L -- PoCG_L","-0.08956720721427722","0.01795295127371898",1.0,"1.0",0.0,"0.0",0.0,"0.0",-157.76591499582904
"x6_28","MFG_L -- SMG_L","-0.09000562488989386","0.018292732435131936",1.0,"1.0",0.0,"0.0",0.0,"0.0",-155.59336358748504
"x30_185","AG_L -- PSMG_L","-0.28729707437865504","0.05967513833278563",1.0,"1.0",0.0,"0.0",0.0,"0.0",-152.24315276370552
"x24_30","PrCG_L -- AG_L","-0.2471071991365824","0.05186708780111935",1.0,"1.0",0.0,"0.0",0.0,"0.0",-150.6584635121021
"x24_187","PrCG_L -- PSIG_L","-0.045334057675362395","0.00952748497847859",1.0,"1.0",0.0,"0.0",0.0,"0.0",-150.4687524099102
"x12_22","IFG_orbitalis_L -- PoCG_L","-0.014276066391694538","0.003010475735529137",1.0,"1.0",0.0,"0.0",0.0,"0.0",-149.95930806797
"x28_185","SMG_L -- PSMG_L","-0.21594173886429185","0.0462520420463116",1.0,"1.0",0.0,"0.0",0.0,"0.0",-147.6405595291808
"x36_78","STG_L_pole -- Put_L","-0.18010163103424437","0.03887434419892753",1.0,"1.0",0.0,"0.0",0.0,"0.0",-146.50571633185038
"x8_28","MFG_DPFC_L -- SMG_L","-0.008685800143867531","0.0018820925110911344",1.0,"1.0",0.0,"0.0",0.0,"0.0",-145.93815975451585
