"edge","edge_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x10_24","IFG_opercularis_L -- PrCG_L","-0.28524566532588075","0.03402230192633434",1.0,"1.0",0.0,"0.0",0.0,"0.0",-265.1278555674982
"x24_28","PrCG_L -- SMG_L","-0.35773925155268543","0.043861464869947464",1.0,"1.0",0.0,"0.0",0.0,"0.0",-257.9190746831453
"x6_24","MFG_L -- PrCG_L","-0.4278472954503215","0.052498717410877055",1.0,"1.0",0.0,"0.0",0.0,"0.0",-257.71523783659023
"x22_28","PoCG_L -- SMG_L","-0.49403098794106615","0.06173094584429224",1.0,"1.0",0.0,"0.0",0.0,"0.0",-253.0761735835929
"x28_30","SMG_L -- AG_L","-0.4102972463854776","0.05754711726870499",1.0,"1.0",0.0,"0.0",0.0,"0.0",-225.46286901133507
"x10_28","IFG_opercularis_L -- SMG_L","-0.1938431081661655","0.028360571508028596",1.0,"1.0",0.0,"0.0",0.0,"0.0",-216.1401191643609
"x10_22","IFG_opercularis_L -- PoCG_L","-0.11121365957010217","0.01644706226214991",1.0,"1.0",0.0,"0.0",0.0,"0.0",-213.83057080865802
"x24_183","PrCG_L -- PSTG_L","-0.11765327704291907","0.01960684887436604",1.0,"1.0",0.0,"0.0",0.0,"0.0",-189.75631016610973
"x10_26","IFG_opercularis_L -- SPG_L","-0.011542092956812305","0.0019237448362448705",1.0,"1.0",0.0,"0.0",0.0,"0.0",-189.7304778743973
"x8_26","MFG_DPFC_L -- SPG_L","-0.005543003582614665","0.0009264794992839209",1.0,"1.0",0.0,"0.0",0.0,"0.0",-189.19486521918182
"x22_30","PoCG_L -- AG_L","-0.26607108839275034","0.044995558978117606",1.0,"1.0",0.0,"0.0",0.0,"0.0",-186.9941563011293
"x14_24","IFG_triangularis_L -- PrCG_L","-0.1143508544233077","0.019358346898404814",1.0,"1.0",0.0,"0.0",0.0,"0.0",-186.7975371356684
"x8_24","MFG_DPFC_L -- PrCG_L","-0.01667786066200684","0.0028844212906725115",1.0,"1.0",0.0,"0.0",0.0,"0.0",-182.8443936446217
"x10_14","IFG_opercularis_L -- IFG_triangularis_L","-0.2956883667483572","0.05134466860904894",1.0,"1.0",0.0,"0.0",0.0,"0.0",-182.11213391203236
"x8_22","MFG_DPFC_L -- PoCG_L","-0.007186331645813359","0.00125181611750521",1.0,"1.0",0.0,"0.0",0.0,"0.0",-181.53765320905504
"x28_58","SMG_L -- LG_L","-0.0029225137669623585","0.0005157989337694776",1.0,"1.0",0.0,"0.0",0.0,"0.0",-179.17446880434954
"x10_50","IFG_opercularis_L -- SOG_L","-0.004676390010743937","0.0008261328860392441",1.0,"1.0",0.0,"0.0",0.0,"0.0",-179.00320772979902
"x34_78","STG_L -- Put_L","-0.20529170960136042","0.037053763129751324",1.0,"1.0",0.0,"0.0",0.0,"0.0",-175.2020124965141
"x22_185","PoCG_L -- PSMG_L","-0.20189853385558953","0.03646482014895122",1.0,"1.0",0.0,"0.0",0.0,"0.0",-175.08909152007513
"x52_82","MOG_L -- Thal_L","-0.18519308739732904","0.03399933067634938",1.0,"1.0",0.0,"0.0",0.0,"0.0",-172.2480859017502
"x30_70","AG_L -- Ins_L","-0.005722991750253343","0.0010544933358079462",1.0,"1.0",0.0,"0.0",0.0,"0.0",-171.62449819834794
"x30_181","AG_L -- PIns_L","-0.04502727759933371","0.008391989104640703",1.0,"1.0",0.0,"0.0",0.0,"0.0",-169.6722341689329
"x0_183","SFG_L -- PSTG_L","-0.005606060630885214","0.0010492550675220075",1.0,"1.0",0.0,"0.0",0.0,"0.0",-168.95720443328648
"x22_70","PoCG_L -- Ins_L","-0.025115092118970582","0.004764132446677341",1.0,"1.0",0.0,"0.0",0.0,"0.0",-166.70589163884873
"x22_183","PoCG_L -- PSTG_L","-0.11066328256412238","0.021149318965778176",1.0,"1.0",0.0,"0.0",0.0,"0.0",-165.4653877128043
"x10_30","IFG_opercularis_L -- AG_L","-0.1688223168573065","0.032381571052022426",1.0,"1.0",0.0,"0.0",0.0,"0.0",-164.86631864712598
"x38_78","MTG_L -- Put_L","-0.2039060487969763","0.03926601973012563",1.0,"1.0",0.0,"0.0",0.0,"0.0",-164.21515277474714
"x6_22","MFG_L -- PoCG_L","-0.06653792492390075","0.013162432668589193",1.0,"1.0",0.0,"0.0",0.0,"0.0",-159.85752697746938
"x14_22","IFG_triangularis_L -- PoCG_L","-0.0895676904291907","0.01795292225247275",1.0,"1.0",0.0,"0.0",0.0,"0.0",-157.76702117567243
"x6_28","MFG_L -- SMG_L","-0.09000596515088624","0.018292305840034065",1.0,"1.0",0.0,"0.0",0.0,"0.0",-155.59758040761645
"x30_185","AG_L -- PSMG_L","-0.2872989422100019","0.0596768736910757",1.0,"1.0",0.0,"0.0",0.0,"0.0",-152.23971541199526
"x24_30","PrCG_L -- AG_L","-0.2471090716334101","0.051868475235500505",1.0,"1.0",0.0,"0.0",0.0,"0.0",-150.65557514527546
"x24_187","PrCG_L -- PSIG_L","-0.04533412372704395","0.009527850814981314",1.0,"1.0",0.0,"0.0",0.0,"0.0",-150.46319415489452
"x12_22","IFG_orbitalis_L -- PoCG_L","-0.014276163757405027","0.003010472275518516",1.0,"1.0",0.0,"0.0",0.0,"0.0",-149.96050317444525
"x28_185","SMG_L -- PSMG_L","-0.21594179887650214","0.04625072419568655",1.0,"1.0",0.0,"0.0",0.0,"0.0",-147.64480737523712
"x36_78","STG_L_pole -- Put_L","-0.1800997960060273","0.03887445378689178",1.0,"1.0",0.0,"0.0",0.0,"0.0",-146.50381060859635
"x8_28","MFG_DPFC_L -- SMG_L","-0.00868592277804163","0.001882164846744897",1.0,"1.0",0.0,"0.0",0.0,"0.0",-145.93461144730193
"x24_185","PrCG_L -- PSMG_L","-0.20655990215105996","0.04485625826751072",1.0,"1.0",0.0,"0.0",0.0,"0.0",-145.62065345784185
"x6_10","MFG_L -- IFG_opercularis_L","-0.33740938005862536","0.07400617272897282",1.0,"1.0",0.0,"0.0",0.0,"0.0",-144.17474996284173
"x54_70","IOG_L -- Ins_L","-0.01076245063565458","0.0023798966321116905",1.0,"1.0",0.0,"0.0",0.0,"0.0",-143.0056110613388
"x4_54","SFG_pole_L -- IOG_L","-0.0007277258982432673","0.000161000030265314",1.0,"1.0",0.0,"0.0",0.0,"0.0",-142.9360818720566
"x6_14","MFG_L -- IFG_triangularis_L","-0.16021325701192188","0.035887280807580024",1.0,"1.0",0.0,"0.0",0.0,"0.0",-141.17503252143987
"x22_38","PoCG_L -- MTG_L","-0.014806753248101549","0.0033168144193978823",1.0,"1.0",0.0,"0.0",0.0,"0.0",-141.1687815340514
"x38_62","MTG_L -- subcallosal_ACC_L","-0.0016642681965684824","0.0003739671211333155",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.73103866960182
"x28_38","SMG_L -- MTG_L","-0.02106498547978759","0.004734698008463681",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.69183055693628
"x4_42","SFG_pole_L -- ITG_L","-0.0006365070631721856","0.0001430849147401562",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.67255587803052
"x10_187","IFG_opercularis_L -- PSIG_L","-0.04086228648800858","0.00920575244549246",1.0,"1.0",0.0,"0.0",0.0,"0.0",-140.3664681073414
"x58_78","LG_L -- Put_L","-0.19261243079641555","0.04364899348316268",1.0,"1.0",0.0,"0.0",0.0,"0.0",-139.54365000723027
"x14_28","IFG_triangularis_L -- SMG_L","-0.12444803684647211","0.028251384613956484",1.0,"1.0",0.0,"0.0",0.0,"0.0",-139.29910061009807
"x48_62","FuG_L -- subcallosal_ACC_L","-0.0005263772988973346","0.00012042946140197953",1.0,"1.0",0.0,"0.0",0.0,"0.0",-138.2179371845513
"x78_185","Put_L -- PSMG_L","-0.1381371253326662","0.03180087697274542",1.0,"1.0",0.0,"0.0",0.0,"0.0",-137.363490275362
"x8_42","MFG_DPFC_L -- ITG_L","-0.011140755378783139","0.0025716928745366154",1.0,"1.0",0.0,"0.0",0.0,"0.0",-136.9921043082356
"x6_30","MFG_L -- AG_L","-0.1446897661773026","0.03395174376850951",1.0,"1.0",0.0,"0.0",0.0,"0.0",-134.76457007838593
"x4_58","SFG_pole_L -- LG_L","-0.0011584930442423665","0.00027255679865521463",1.0,"1.0",0.0,"0.0",0.0,"0.0",-134.41149482763058
