"lesion","lesion_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x8","MFG_DPFC_L","-7.126597455514386","2.304905389133637",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.77529278569149
"x187","PSIG_L","-6.997671192194194","2.578612328932112",1.0,"1.0",0.0,"0.0",0.0,"0.0",-85.81584380093187
"x38","MTG_L","-9.489304985238068","3.654799044157833",1.0,"1.0",0.0,"0.0",0.0,"0.0",-82.105245193467
"x40","MTG_L_pole","-9.111630501207431","4.068617939236653",1.0,"1.0",0.0,"0.0",0.0,"0.0",-70.81890217267001
"x2","SFG_PFC_L","-3.8739085378336924","1.739675947871355",1.0,"1.0",0.0,"0.0",0.0,"0.0",-70.41756507421071
"x60","rostral_ACC_L","-4.5327529621897105","2.3629495689195594",1.0,"1.0",0.0,"0.0",0.0,"0.0",-60.660725137475524
"x4","SFG_pole_L","-0.07659868709311941","0.08620289831420891",1.0,"1.0",1.7118864773748634e-128,"2.812384927115847e-128",8.559432386874317e-129,"5.624769854231694e-128",-28.09955601607343
"x18","MFOG_L","-0.7520690227833778","0.8639403743129855",1.0,"1.0",1.3479619990549893e-124,"2.138146619190673e-124",6.739809995274947e-125,"3.8753907472830944e-124",-27.52795378435404
"x36","STG_L_pole","-3.125233700052489","3.629004446219751",1.0,"1.0",1.3684569868978847e-122,"2.0983007132434234e-122",6.842284934489424e-123,"3.497167855405705e-122",-27.23296942437227
"x16","LFOG_L","-2.938055457112993","3.5890026283033274",1.0,"1.0",1.7620189454613957e-113,"2.614608757781426e-113",8.810094727306979e-114,"4.05264357456121e-113",-25.887267574268776
"x42","ITG_L","-2.04099706385514","2.7371044211235036",1.0,"1.0",4.298897634553384e-98,"5.8161556232192846e-98",2.149448817276692e-98,"8.988604144975256e-98",-23.580391634635184
"x20","RG_L","-0.2759752504132789","0.4245897945881123",1.0,"1.0",1.426240336824247e-78,"1.8224182081643155e-78",7.131201684121235e-79,"2.7336273122464736e-78",-20.55420031910773
"x62","subcallosal_ACC_L","-0.028900227099729833","0.06294510834722238",1.0,"1.0",1.7630802597291867e-43,"2.079530562757502e-43",8.815401298645933e-44,"3.1192958441362534e-43",-14.519085744857772
"x185","PSMG_L","-0.778152921751182","3.526234720593276",0.9999999999972835,"1.0",5.4329301860486135e-12,"5.950352108529434e-12",2.7164650930243068e-12,"8.92552816279415e-12",-6.97836586509053
"x48","FuG_L","-0.26001324983735735","1.221179634860206",0.9999999999860156,"1.0",2.7968590571985815e-11,"2.9919887588635984e-11",1.3984295285992907e-11,"4.288517221037825e-11",-6.733113358892359
"x12","IFG_orbitalis_L","-0.3820322123121779","4.194927817232757",0.997968432829422,"1.0",0.004063134341156069,"0.004247822265754072",0.0020315671705780345,"0.0058407556154118495",-2.879887290304886
"x72","Amyg_L","0.16190209339598507","3.8080063326322695",0.08954897878793161,"0.14204320773258117",0.17909795757586322,"0.18307791218866018",0.9104510212120684,"1.0",1.3444814119484785
"x82","Thal_L","0.8584732393882356","2.156473519141211",3.8788074009666505e-34,"6.3723264444452114e-34",7.757614801933301e-34,"8.703665387534925e-34",1.0,"1.0",12.588750674067663
"x0","SFG_L","1.3944413857581304","3.246766052004076",5.56364025242635e-39,"9.478794504133781e-39",1.11272805048527e-38,"1.2796372580580605e-38",1.0,"1.0",13.581547829340298
"x66","dorsal_ACC_L","1.0966780472335187","2.3466960485866686",3.818542183558205e-45,"6.755882324756823e-45",7.63708436711641e-45,"9.244891602298812e-45",1.0,"1.0",14.778226141609995
"x50","SOG_L","1.6165518841647037","3.2097523169416697",2.306682149148366e-51,"4.244295154432994e-51",4.613364298296732e-51,"5.735533992477018e-51",1.0,"1.0",15.926418629920855
"x30","AG_L","2.8198408007069014","4.077382166669585",3.024288104070386e-87,"5.79655219946824e-87",6.048576208140772e-87,"7.949557302127871e-87",1.0,"1.0",21.869717394163892
"x58","LG_L","1.2101748409489768","1.6071281453529886",6.355298288316643e-100,"1.2710596576633286e-99",1.2710596576633286e-99,"1.7717801288640339e-99",1.0,"1.0",23.81209535466278
"x6","MFG_L","2.4997434389276294","3.1070311646042943",8.728722646815677e-111,"1.825096553425096e-110",1.7457445293631353e-110,"2.509507760959507e-110",1.0,"1.0",25.441916782576182
"x52","MOG_L","3.366045500339521","3.5421672033557754",3.7693328778219034e-142,"8.25663392284798e-142",7.538665755643807e-142,"1.2843652768874633e-141",1.0,"1.0",30.050446175295473
"x68","PCC_L","1.1988811142669462","1.207275891261198",1.943759828133226e-151,"4.4706476047064194e-151",3.887519656266452e-151,"6.87791939185603e-151",1.0,"1.0",31.402888041470057
"x32","PrCu_L","2.571734839695406","2.2279833977828405",2.411654236735091e-186,"5.838741836306009e-186",4.823308473470182e-186,"8.874887591185135e-186",1.0,"1.0",36.50179637576528
"x80","GP_L","4.597252390621199","3.968225048634444",2.976405096138893e-187,"7.606368579021614e-187",5.952810192277786e-187,"1.1409552868532422e-186",1.0,"1.0",36.63549409330974
"x76","Caud_L","3.6684281694380414","2.4823474606545637",6.3790239510310065e-254,"1.7260888338083902e-253",1.2758047902062013e-253,"2.5516095804124026e-253",1.0,"1.0",46.73233152093612
"x74","Hippo_L","3.135067948163287","1.7594640724845443",9.57939604954e-313,"2.75407636424e-312",1.91587920991e-312,"4.00592925708e-312",1.0,"1.0",56.34644941392384
"x56","Cu_L","5.735752042436156","2.98866098444638",0.0,"0.0",0.0,"0.0",1.0,"1.0",60.68952163679716
"x44","PHG_L","2.7167037503648763","1.3419024799881942",0.0,"0.0",0.0,"0.0",1.0,"1.0",64.02083390702194
"x78","Put_L","7.344681442145161","3.5985146462782014",0.0,"0.0",0.0,"0.0",1.0,"1.0",64.54308048897495
"x54","IOG_L","6.308063689245183","3.046128244521826",0.0,"0.0",0.0,"0.0",1.0,"1.0",65.48591287741642
"x34","STG_L","6.315812565774019","2.9340807455486764",0.0,"0.0",0.0,"0.0",1.0,"1.0",68.07022271918785
"x46","ENT_L","2.750444947795348","1.2473037025276044",0.0,"0.0",0.0,"0.0",1.0,"1.0",69.73177900707564
"x26","SPG_L","7.881410006609361","3.4985579725860143",0.0,"0.0",0.0,"0.0",1.0,"1.0",71.23851309545664
"x14","IFG_triangularis_L","7.33411061954663","3.2362407414428587",0.0,"0.0",0.0,"0.0",1.0,"1.0",71.66492242803835
"x183","PSTG_L","13.361709412316047","5.015683279196634",0.0,"0.0",0.0,"0.0",1.0,"1.0",84.24263021447473
"x70","Ins_L","12.736394293956774","3.4258802154184442",0.0,"0.0",0.0,"0.0",1.0,"1.0",117.56399119154878
"x181","PIns_L","15.26444062625519","3.773858611616717",0.0,"0.0",0.0,"0.0",1.0,"1.0",127.90728152556417
"x22","PoCG_L","16.702283824518794","3.0029540264151313",0.0,"0.0",0.0,"0.0",1.0,"1.0",175.88434104374116
"x28","SMG_L","22.863854648551076","4.065219721228072",0.0,"0.0",0.0,"0.0",1.0,"1.0",177.85473292599343
"x10","IFG_opercularis_L","20.416494987694406","3.2896829750057286",0.0,"0.0",0.0,"0.0",1.0,"1.0",196.25789624428256
"x24","PrCG_L","19.758942593425864","3.1563578538892645",0.0,"0.0",0.0,"0.0",1.0,"1.0",197.96000847859563
"x64","subgenual_ACC_L","0.0","0.0",NaN,"1.0",1.0,"1.0",NaN,"1.0",NaN
