"edge","edge_name","coef","pos_rank","neg_rank"
"x6_24","MFG_L -- PrCG_L",-0.16609086611908794,"101","101"
"x20_76","RG_L -- Caud_L",-0.16105731444374458,"101","101"
"x0_6","SFG_L -- MFG_L",-0.14325406771162816,"101","101"
"x28_30","SMG_L -- AG_L",-0.11861650823424004,"101","101"
"x42_48","ITG_L -- FuG_L",-0.11317562477311262,"101","101"
"x28_82","SMG_L -- Thal_L",-0.11117408163545868,"101","101"
"x26_52","SPG_L -- MOG_L",-0.10778438829238743,"101","101"
"x48_52","FuG_L -- MOG_L",-0.10587419649715407,"101","101"
"x78_82","Put_L -- Thal_L",-0.10063491857601621,"101","101"
"x26_82","SPG_L -- Thal_L",-0.10014363854723585,"101","101"
"x22_28","PoCG_L -- SMG_L",-0.09870402038433719,"101","101"
"x26_30","SPG_L -- AG_L",-0.09101280581500648,"101","101"
"x22_26","PoCG_L -- SPG_L",-0.07733845867049549,"101","101"
"x24_82","PrCG_L -- Thal_L",-0.07623707685974566,"101","101"
"x2_14","SFG_PFC_L -- IFG_triangularis_L",-0.07307674839244409,"101","101"
"x34_187","STG_L -- PSIG_L",-0.07038291077251248,"101","101"
"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.06940829847751713,"101","101"
"x80_82","GP_L -- Thal_L",-0.0691017956693336,"101","101"
"x22_30","PoCG_L -- AG_L",-0.06772437765095483,"101","101"
"x30_52","AG_L -- MOG_L",-0.06769884041028855,"101","101"
"x6_10","MFG_L -- IFG_opercularis_L",-0.06632056059443,"101","101"
"x56_66","Cu_L -- dorsal_ACC_L",-0.06555863753352294,"101","101"
"x183_185","PSTG_L -- PSMG_L",-0.06360234261273152,"101","101"
"x181_185","PIns_L -- PSMG_L",-0.06244550714108017,"101","101"
"x12_181","IFG_orbitalis_L -- PIns_L",-0.061126376546945034,"101","101"
"x24_28","PrCG_L -- SMG_L",-0.0570183967669705,"101","101"
"x181_187","PIns_L -- PSIG_L",-0.05658097404000151,"101","101"
"x36_185","STG_L_pole -- PSMG_L",-0.05382614628599439,"101","101"
"x34_183","STG_L -- PSTG_L",-0.05204137701878566,"101","101"
"x2_181","SFG_PFC_L -- PIns_L",-0.051576353295514535,"101","101"
"x48_181","FuG_L -- PIns_L",-0.05095437523058674,"101","101"
"x50_185","SOG_L -- PSMG_L",-0.050368694010592414,"101","101"
"x8_12","MFG_DPFC_L -- IFG_orbitalis_L",-0.0502500821926338,"101","101"
"x34_185","STG_L -- PSMG_L",-0.05021484584638133,"101","101"
"x8_181","MFG_DPFC_L -- PIns_L",-0.049977955558947615,"101","101"
"x48_68","FuG_L -- PCC_L",-0.04751992417378312,"101","101"
"x26_32","SPG_L -- PrCu_L",-0.04646080043752164,"101","101"
"x0_78","SFG_L -- Put_L",-0.04512917851408683,"101","101"
"x2_185","SFG_PFC_L -- PSMG_L",-0.04472325065440295,"101","101"
"x82_185","Thal_L -- PSMG_L",-0.044626007041277255,"101","101"
"x26_28","SPG_L -- SMG_L",-0.04414612935094349,"101","101"
"x48_50","FuG_L -- SOG_L",-0.0438314781879234,"101","101"
"x2_70","SFG_PFC_L -- Ins_L",-0.04185405856751324,"101","101"
"x8_185","MFG_DPFC_L -- PSMG_L",-0.0416293524545678,"101","101"
"x14_181","IFG_triangularis_L -- PIns_L",-0.041431587817528065,"101","101"
"x24_30","PrCG_L -- AG_L",-0.0413143993257905,"101","101"
"x36_187","STG_L_pole -- PSIG_L",-0.04095790400621552,"101","101"
"x2_82","SFG_PFC_L -- Thal_L",-0.04085554600151803,"101","101"
"x38_181","MTG_L -- PIns_L",-0.03994150085554196,"101","101"
"x50_82","SOG_L -- Thal_L",-0.03943199766132254,"101","101"
"x10_24","IFG_opercularis_L -- PrCG_L",-0.03942187948327721,"101","101"
"x46_74","ENT_L -- Hippo_L",-0.03849540276455202,"101","101"
"x12_185","IFG_orbitalis_L -- PSMG_L",-0.03807589852989637,"101","101"
"x34_50","STG_L -- SOG_L",-0.0367515924622162,"101","101"
"x34_42","STG_L -- ITG_L",-0.0361953357721513,"101","101"
"x12_34","IFG_orbitalis_L -- STG_L",-0.03574677553864225,"101","101"
"x24_26","PrCG_L -- SPG_L",-0.035253929308737574,"101","101"
"x8_34","MFG_DPFC_L -- STG_L",-0.03418617675416415,"101","101"
"x30_185","AG_L -- PSMG_L",-0.033995904764115736,"101","101"
"x50_187","SOG_L -- PSIG_L",-0.03281396846535809,"101","101"
"x26_185","SPG_L -- PSMG_L",-0.03237474605564077,"101","101"
"x28_183","SMG_L -- PSTG_L",-0.032079200434083785,"101","101"
"x2_34","SFG_PFC_L -- STG_L",-0.03153440570817804,"101","101"
"x42_54","ITG_L -- IOG_L",-0.031318175441221244,"101","101"
"x8_187","MFG_DPFC_L -- PSIG_L",-0.03002677995368516,"101","101"
"x36_181","STG_L_pole -- PIns_L",-0.02991178782493873,"101","101"
"x36_78","STG_L_pole -- Put_L",-0.02916411107081052,"101","101"
"x30_183","AG_L -- PSTG_L",-0.028400658859191404,"101","101"
"x2_76","SFG_PFC_L -- Caud_L",-0.028199629601066735,"101","101"
"x12_187","IFG_orbitalis_L -- PSIG_L",-0.028076907210850315,"101","101"
"x28_32","SMG_L -- PrCu_L",-0.027565501339078723,"101","101"
"x34_70","STG_L -- Ins_L",-0.027436554129294247,"101","101"
"x42_187","ITG_L -- PSIG_L",-0.027069605626486085,"101","101"
"x16_181","LFOG_L -- PIns_L",-0.027049616439890376,"101","101"
"x48_78","FuG_L -- Put_L",-0.026527423598015454,"101","101"
"x2_187","SFG_PFC_L -- PSIG_L",-0.02574510563957526,"101","101"
"x42_50","ITG_L -- SOG_L",-0.02548578318833813,"101","101"
"x78_187","Put_L -- PSIG_L",-0.02543599852900659,"101","101"
"x38_78","MTG_L -- Put_L",-0.02543412148109804,"101","101"
"x36_38","STG_L_pole -- MTG_L",-0.025363709006658314,"101","101"
"x44_68","PHG_L -- PCC_L",-0.025055512983115178,"101","101"
"x2_48","SFG_PFC_L -- FuG_L",-0.024898344922058488,"101","101"
"x8_82","MFG_DPFC_L -- Thal_L",-0.02466666430850106,"101","101"
"x32_66","PrCu_L -- dorsal_ACC_L",-0.02463987663008276,"101","101"
"x42_68","ITG_L -- PCC_L",-0.02449537300509852,"101","101"
"x16_34","LFOG_L -- STG_L",-0.024068823636723906,"101","101"
"x50_183","SOG_L -- PSTG_L",-0.023824296469919314,"101","101"
"x2_6","SFG_PFC_L -- MFG_L",-0.02382234789033366,"101","101"
"x48_80","FuG_L -- GP_L",-0.02352323381055556,"101","101"
"x34_181","STG_L -- PIns_L",-0.023044001915885546,"101","101"
"x0_10","SFG_L -- IFG_opercularis_L",-0.022013063409678013,"101","101"
"x82_181","Thal_L -- PIns_L",-0.02113572882308231,"101","101"
"x8_38","MFG_DPFC_L -- MTG_L",-0.02049869892396369,"101","101"
"x2_10","SFG_PFC_L -- IFG_opercularis_L",-0.019966778373593858,"101","101"
"x36_48","STG_L_pole -- FuG_L",-0.019623397119389083,"101","101"
"x8_48","MFG_DPFC_L -- FuG_L",-0.019506756918021322,"101","101"
"x80_187","GP_L -- PSIG_L",-0.019093128572027395,"101","101"
"x12_38","IFG_orbitalis_L -- MTG_L",-0.019050666256262366,"101","101"
"x70_181","Ins_L -- PIns_L",-0.018880935965036105,"101","101"
"x22_68","PoCG_L -- PCC_L",-0.018868058259508595,"101","101"
"x6_8","MFG_L -- MFG_DPFC_L",-0.018761326881857204,"101","101"
"x38_50","MTG_L -- SOG_L",-0.018726099595743277,"101","101"
"x0_32","SFG_L -- PrCu_L",-0.018549170360644646,"101","101"
"x26_42","SPG_L -- ITG_L",-0.018490022306882126,"101","101"
"x2_38","SFG_PFC_L -- MTG_L",-0.017927984375450685,"101","101"
"x82_187","Thal_L -- PSIG_L",-0.017924782636913158,"101","101"
"x58_187","LG_L -- PSIG_L",-0.017906289660894536,"101","101"
"x70_185","Ins_L -- PSMG_L",-0.017700596431050333,"101","101"
"x6_12","MFG_L -- IFG_orbitalis_L",-0.017469961125742926,"101","101"
"x26_78","SPG_L -- Put_L",-0.017231152848213936,"101","101"
"x32_58","PrCu_L -- LG_L",-0.017166310844657546,"101","101"
"x10_28","IFG_opercularis_L -- SMG_L",-0.017138988816111513,"101","101"
"x50_54","SOG_L -- IOG_L",-0.016790065536741432,"101","101"
"x8_16","MFG_DPFC_L -- LFOG_L",-0.01672571984316917,"101","101"
"x16_78","LFOG_L -- Put_L",-0.016689172790893637,"101","101"
"x38_80","MTG_L -- GP_L",-0.016490652834337434,"101","101"
"x14_185","IFG_triangularis_L -- PSMG_L",-0.016450017046781,"101","101"
"x26_183","SPG_L -- PSTG_L",-0.01643579238408761,"101","101"
"x28_185","SMG_L -- PSMG_L",-0.01623628369284934,"101","101"
"x12_14","IFG_orbitalis_L -- IFG_triangularis_L",-0.016131710813520616,"101","101"
"x12_78","IFG_orbitalis_L -- Put_L",-0.016023525960210866,"101","101"
"x6_26","MFG_L -- SPG_L",-0.015790018454398487,"101","101"
"x30_50","AG_L -- SOG_L",-0.015701536989072368,"101","101"
"x38_70","MTG_L -- Ins_L",-0.015560198901490793,"101","101"
"x20_36","RG_L -- STG_L_pole",-0.015296815814496273,"101","101"
"x2_12","SFG_PFC_L -- IFG_orbitalis_L",-0.015161842725183245,"101","101"
"x50_58","SOG_L -- LG_L",-0.015155094752866126,"101","101"
"x72_80","Amyg_L -- GP_L",-0.015030777082186102,"101","101"
"x30_32","AG_L -- PrCu_L",-0.015027138244838825,"101","101"
"x8_78","MFG_DPFC_L -- Put_L",-0.014848231972858004,"101","101"
"x20_34","RG_L -- STG_L",-0.014748444273659272,"101","101"
"x32_44","PrCu_L -- PHG_L",-0.014415450698490642,"101","101"
"x26_48","SPG_L -- FuG_L",-0.014170385462832336,"101","101"
"x40_181","MTG_L_pole -- PIns_L",-0.014141310694147806,"101","101"
"x68_187","PCC_L -- PSIG_L",-0.014070494280125686,"101","101"
"x70_187","Ins_L -- PSIG_L",-0.014040290147718007,"101","101"
"x32_48","PrCu_L -- FuG_L",-0.01387649695850036,"101","101"
"x16_185","LFOG_L -- PSMG_L",-0.013745789465032385,"101","101"
"x16_38","LFOG_L -- MTG_L",-0.013731779417072406,"101","101"
"x22_32","PoCG_L -- PrCu_L",-0.013483441377435946,"101","101"
"x22_52","PoCG_L -- MOG_L",-0.013406687860454475,"101","101"
"x181_183","PIns_L -- PSTG_L",-0.013365480185187848,"101","101"
"x0_82","SFG_L -- Thal_L",-0.012946113623128402,"101","101"
"x6_22","MFG_L -- PoCG_L",-0.012842593252700412,"101","101"
"x36_70","STG_L_pole -- Ins_L",-0.012724387955951169,"101","101"
"x20_181","RG_L -- PIns_L",-0.012670744422011085,"101","101"
"x58_66","LG_L -- dorsal_ACC_L",-0.012461046693964403,"101","101"
"x36_80","STG_L_pole -- GP_L",-0.012369126601584296,"101","101"
"x14_24","IFG_triangularis_L -- PrCG_L",-0.012316777552790379,"101","101"
"x0_66","SFG_L -- dorsal_ACC_L",-0.012216192599404888,"101","101"
"x40_187","MTG_L_pole -- PSIG_L",-0.01216845884558981,"101","101"
"x20_38","RG_L -- MTG_L",-0.01215563492326234,"101","101"
"x54_78","IOG_L -- Put_L",-0.012069611474365234,"101","101"
"x26_80","SPG_L -- GP_L",-0.01204269655796371,"101","101"
"x14_34","IFG_triangularis_L -- STG_L",-0.0119944077246282,"101","101"
"x26_74","SPG_L -- Hippo_L",-0.011901497527803577,"101","101"
"x22_185","PoCG_L -- PSMG_L",-0.011863695420754874,"101","101"
"x12_48","IFG_orbitalis_L -- FuG_L",-0.011789469270800185,"101","101"
"x18_64","MFOG_L -- subgenual_ACC_L",-0.011532555197545914,"101","101"
"x8_14","MFG_DPFC_L -- IFG_triangularis_L",-0.01122790666629405,"101","101"
"x34_40","STG_L -- MTG_L_pole",-0.011196612431649091,"101","101"
"x12_16","IFG_orbitalis_L -- LFOG_L",-0.011177207141392117,"101","101"
"x18_36","MFOG_L -- STG_L_pole",-0.011173772295176148,"101","101"
"x42_52","ITG_L -- MOG_L",-0.010453187653198111,"101","101"
"x16_187","LFOG_L -- PSIG_L",-0.010449450963508309,"101","101"
"x22_183","PoCG_L -- PSTG_L",-0.0103695496974942,"101","101"
"x50_80","SOG_L -- GP_L",-0.010184021883055297,"101","101"
"x52_54","MOG_L -- IOG_L",-0.009804901440766152,"101","101"
"x40_78","MTG_L_pole -- Put_L",-0.009749374759973936,"101","101"
"x14_187","IFG_triangularis_L -- PSIG_L",-0.009576955216683091,"101","101"
"x60_70","rostral_ACC_L -- Ins_L",-0.009571225335909069,"101","101"
"x52_82","MOG_L -- Thal_L",-0.009568892148355646,"101","101"
"x32_82","PrCu_L -- Thal_L",-0.00951254057210779,"101","101"
"x40_80","MTG_L_pole -- GP_L",-0.009507637113634611,"101","101"
"x12_42","IFG_orbitalis_L -- ITG_L",-0.009496601475682605,"101","101"
"x26_187","SPG_L -- PSIG_L",-0.009412809315021947,"101","101"
"x24_36","PrCG_L -- STG_L_pole",-0.0093839940949643,"101","101"
"x34_72","STG_L -- Amyg_L",-0.00925340129606036,"101","101"
"x20_70","RG_L -- Ins_L",-0.009243360114193433,"101","101"
"x34_80","STG_L -- GP_L",-0.009099039238781253,"101","101"
"x8_80","MFG_DPFC_L -- GP_L",-0.009027933930204122,"101","101"
"x24_185","PrCG_L -- PSMG_L",-0.008954483812751948,"101","101"
"x24_52","PrCG_L -- MOG_L",-0.00866680538816516,"101","101"
"x30_34","AG_L -- STG_L",-0.008502766649246667,"101","101"
"x22_70","PoCG_L -- Ins_L",-0.007973973824291191,"101","101"
"x54_181","IOG_L -- PIns_L",-0.007768116107918225,"101","101"
"x36_40","STG_L_pole -- MTG_L_pole",-0.0076120770448007335,"101","101"
"x18_34","MFOG_L -- STG_L",-0.007587384158172652,"101","101"
"x44_46","PHG_L -- ENT_L",-0.0075131825158201325,"101","101"
"x80_185","GP_L -- PSMG_L",-0.007049599757574056,"101","101"
"x16_36","LFOG_L -- STG_L_pole",-0.007023724103705627,"101","101"
"x8_36","MFG_DPFC_L -- STG_L_pole",-0.007022560679116476,"101","101"
"x36_50","STG_L_pole -- SOG_L",-0.006845496188379802,"101","101"
"x10_30","IFG_opercularis_L -- AG_L",-0.006676776312752319,"101","101"
"x8_70","MFG_DPFC_L -- Ins_L",-0.006565382074319673,"101","101"
"x18_181","MFOG_L -- PIns_L",-0.006237062887915669,"101","101"
"x20_185","RG_L -- PSMG_L",-0.006213115224474842,"101","101"
"x32_42","PrCu_L -- ITG_L",-0.0062073354667642145,"101","101"
"x26_38","SPG_L -- MTG_L",-0.0061709682367657274,"101","101"
"x42_80","ITG_L -- GP_L",-0.006108608048244559,"101","101"
"x2_36","SFG_PFC_L -- STG_L_pole",-0.006011786067755954,"101","101"
"x6_28","MFG_L -- SMG_L",-0.005933392841520483,"101","101"
"x14_70","IFG_triangularis_L -- Ins_L",-0.005810987336950876,"101","101"
"x50_181","SOG_L -- PIns_L",-0.005741659336457845,"101","101"
"x30_181","AG_L -- PIns_L",-0.005644582416938099,"101","101"
"x20_187","RG_L -- PSIG_L",-0.005625514219063278,"101","101"
"x14_38","IFG_triangularis_L -- MTG_L",-0.0056063674499290655,"101","101"
"x10_22","IFG_opercularis_L -- PoCG_L",-0.0056022882930068804,"101","101"
"x6_78","MFG_L -- Put_L",-0.005566091688776577,"101","101"
"x24_183","PrCG_L -- PSTG_L",-0.005560053555586169,"101","101"
"x10_181","IFG_opercularis_L -- PIns_L",-0.005430875347342263,"101","101"
"x18_38","MFOG_L -- MTG_L",-0.005395640068630281,"101","101"
"x18_72","MFOG_L -- Amyg_L",-0.005382562019449212,"101","101"
"x60_78","rostral_ACC_L -- Put_L",-0.00535673822399108,"101","101"
"x76_181","Caud_L -- PIns_L",-0.005286475714053559,"101","101"
"x32_187","PrCu_L -- PSIG_L",-0.0052807173424297875,"101","101"
"x30_66","AG_L -- dorsal_ACC_L",-0.005088453481947609,"101","101"
"x78_185","Put_L -- PSMG_L",-0.004892449415476839,"101","101"
"x12_36","IFG_orbitalis_L -- STG_L_pole",-0.004872016645637713,"101","101"
"x16_80","LFOG_L -- GP_L",-0.004819452185585248,"101","101"
"x48_56","FuG_L -- Cu_L",-0.004717026894534703,"101","101"
"x24_34","PrCG_L -- STG_L",-0.004716103308419159,"101","101"
"x0_80","SFG_L -- GP_L",-0.004667627374041044,"101","101"
"x44_56","PHG_L -- Cu_L",-0.004622683481894808,"101","101"
"x6_30","MFG_L -- AG_L",-0.004578918254299915,"101","101"
"x26_44","SPG_L -- PHG_L",-0.004317410866170683,"101","101"
"x18_185","MFOG_L -- PSMG_L",-0.004307995723562389,"101","101"
"x34_78","STG_L -- Put_L",-0.004285816470969785,"101","101"
