"edge","edge_name","coef","pos_rank","neg_rank"
"x26_52","SPG_L -- MOG_L",-0.0947233017979277,"101","101"
"x50_82","SOG_L -- Thal_L",-0.08337434771932642,"101","101"
"x36_38","STG_L_pole -- MTG_L",-0.08287656739780479,"101","101"
"x40_42","MTG_L_pole -- ITG_L",-0.07129824284927101,"101","101"
"x34_50","STG_L -- SOG_L",-0.06791893775374314,"101","101"
"x50_185","SOG_L -- PSMG_L",-0.06440927908119515,"101","101"
"x42_58","ITG_L -- LG_L",-0.06198596824002386,"101","101"
"x0_24","SFG_L -- PrCG_L",-0.060556822299918385,"101","101"
"x0_26","SFG_L -- SPG_L",-0.06040588941816391,"101","101"
"x34_183","STG_L -- PSTG_L",-0.05792649876836201,"101","101"
"x42_185","ITG_L -- PSMG_L",-0.05692258858319146,"101","101"
"x50_187","SOG_L -- PSIG_L",-0.05387908818614367,"101","101"
"x24_34","PrCG_L -- STG_L",-0.05227543836593134,"101","101"
"x0_22","SFG_L -- PoCG_L",-0.04973207601150295,"101","101"
"x6_26","MFG_L -- SPG_L",-0.049349930995637344,"101","101"
"x52_82","MOG_L -- Thal_L",-0.04882719068470601,"101","101"
"x183_185","PSTG_L -- PSMG_L",-0.048590177965436195,"101","101"
"x6_24","MFG_L -- PrCG_L",-0.04613099667667104,"101","101"
"x36_42","STG_L_pole -- ITG_L",-0.04426628260374791,"101","101"
"x26_66","SPG_L -- dorsal_ACC_L",-0.043291575190350276,"101","101"
"x34_36","STG_L -- STG_L_pole",-0.043253273356203055,"101","101"
"x32_52","PrCu_L -- MOG_L",-0.04316147339526336,"101","101"
"x42_50","ITG_L -- SOG_L",-0.042486516128777484,"101","101"
"x68_185","PCC_L -- PSMG_L",-0.04221642948390446,"101","101"
"x42_52","ITG_L -- MOG_L",-0.0413205180781392,"101","101"
"x26_183","SPG_L -- PSTG_L",-0.04014201576789454,"101","101"
"x78_82","Put_L -- Thal_L",-0.03928733364035533,"101","101"
"x26_185","SPG_L -- PSMG_L",-0.039235985989723686,"101","101"
"x50_183","SOG_L -- PSTG_L",-0.03904781092943454,"101","101"
"x52_187","MOG_L -- PSIG_L",-0.03883485095724694,"101","101"
"x82_185","Thal_L -- PSMG_L",-0.037092117486266785,"101","101"
"x58_82","LG_L -- Thal_L",-0.03609205414976443,"101","101"
"x52_185","MOG_L -- PSMG_L",-0.03206887260527409,"101","101"
"x38_80","MTG_L -- GP_L",-0.031052367306899212,"101","101"
"x32_82","PrCu_L -- Thal_L",-0.031009241517073877,"101","101"
"x58_183","LG_L -- PSTG_L",-0.029600229042414265,"101","101"
"x42_54","ITG_L -- IOG_L",-0.02958059018788574,"101","101"
"x28_82","SMG_L -- Thal_L",-0.028645329490707798,"101","101"
"x56_82","Cu_L -- Thal_L",-0.02737657572066926,"101","101"
"x42_68","ITG_L -- PCC_L",-0.026893564586799815,"101","101"
