"edge","edge_name","coef","pos_rank","neg_rank"
"x0_6","SFG_L -- MFG_L",-0.20819868020443114,"101","101"
"x22_34","PoCG_L -- STG_L",-0.19641851257078075,"101","101"
"x34_183","STG_L -- PSTG_L",-0.18827500870451602,"101","101"
"x78_82","Put_L -- Thal_L",-0.18178630148974337,"101","101"
"x20_76","RG_L -- Caud_L",-0.17764898014375238,"101","101"
"x22_82","PoCG_L -- Thal_L",-0.17430592251314134,"101","101"
"x6_8","MFG_L -- MFG_DPFC_L",-0.16780089266277334,"101","101"
"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.1509628609969857,"101","101"
"x2_8","SFG_PFC_L -- MFG_DPFC_L",-0.14159999437963752,"101","101"
"x6_24","MFG_L -- PrCG_L",-0.1254247950466174,"101","101"
"x38_183","MTG_L -- PSTG_L",-0.11901639031353634,"101","101"
"x34_78","STG_L -- Put_L",-0.11790089540774806,"101","101"
"x36_78","STG_L_pole -- Put_L",-0.11398627941804142,"101","101"
"x50_68","SOG_L -- PCC_L",-0.11233700338702479,"101","101"
"x14_78","IFG_triangularis_L -- Put_L",-0.11001130301913699,"101","101"
"x22_28","PoCG_L -- SMG_L",-0.10751941797378554,"101","101"
"x56_68","Cu_L -- PCC_L",-0.09999072386027578,"101","101"
"x8_12","MFG_DPFC_L -- IFG_orbitalis_L",-0.09839407559639542,"101","101"
"x183_185","PSTG_L -- PSMG_L",-0.09663081855287818,"101","101"
"x32_68","PrCu_L -- PCC_L",-0.09513727920106431,"101","101"
"x38_78","MTG_L -- Put_L",-0.09216922663498502,"101","101"
"x30_183","AG_L -- PSTG_L",-0.09154205116639685,"101","101"
"x10_24","IFG_opercularis_L -- PrCG_L",-0.09007141700733662,"101","101"
"x50_82","SOG_L -- Thal_L",-0.0815217510310599,"101","101"
"x42_187","ITG_L -- PSIG_L",-0.07398640176938219,"101","101"
"x48_52","FuG_L -- MOG_L",-0.07382443338276044,"101","101"
"x80_82","GP_L -- Thal_L",-0.07173481952479384,"101","101"
"x26_32","SPG_L -- PrCu_L",-0.06876244518281059,"101","101"
"x32_82","PrCu_L -- Thal_L",-0.06854003261820214,"101","101"
"x42_48","ITG_L -- FuG_L",-0.06819078895100368,"101","101"
"x12_14","IFG_orbitalis_L -- IFG_triangularis_L",-0.06502018735784629,"101","101"
"x56_66","Cu_L -- dorsal_ACC_L",-0.0649564828208727,"101","101"
"x20_78","RG_L -- Put_L",-0.06408641603498454,"101","101"
"x2_76","SFG_PFC_L -- Caud_L",-0.05932221251117926,"101","101"
"x26_52","SPG_L -- MOG_L",-0.057185897628845676,"101","101"
"x58_187","LG_L -- PSIG_L",-0.05410215074205296,"101","101"
"x26_28","SPG_L -- SMG_L",-0.0538657311391645,"101","101"
"x6_10","MFG_L -- IFG_opercularis_L",-0.05350729597147012,"101","101"
"x10_78","IFG_opercularis_L -- Put_L",-0.05081066045128052,"101","101"
"x24_28","PrCG_L -- SMG_L",-0.05071489917796311,"101","101"
"x8_78","MFG_DPFC_L -- Put_L",-0.049966090255494006,"101","101"
"x14_70","IFG_triangularis_L -- Ins_L",-0.048246305545993295,"101","101"
"x2_6","SFG_PFC_L -- MFG_L",-0.04412198429255659,"101","101"
"x50_185","SOG_L -- PSMG_L",-0.04369830832248316,"101","101"
"x38_50","MTG_L -- SOG_L",-0.043423603255444664,"101","101"
"x10_70","IFG_opercularis_L -- Ins_L",-0.04025881042390842,"101","101"
"x82_181","Thal_L -- PIns_L",-0.03643719623998449,"101","101"
"x30_185","AG_L -- PSMG_L",-0.03478439522821531,"101","101"
"x8_14","MFG_DPFC_L -- IFG_triangularis_L",-0.03427081489375724,"101","101"
"x34_70","STG_L -- Ins_L",-0.03392273554725766,"101","101"
"x34_185","STG_L -- PSMG_L",-0.03326385020100444,"101","101"
"x50_183","SOG_L -- PSTG_L",-0.0330732951816001,"101","101"
"x58_78","LG_L -- Put_L",-0.03249885131278008,"101","101"
"x28_183","SMG_L -- PSTG_L",-0.030669964754606958,"101","101"
"x28_68","SMG_L -- PCC_L",-0.03006357429968097,"101","101"
"x0_24","SFG_L -- PrCG_L",-0.028808613883174128,"101","101"
"x34_50","STG_L -- SOG_L",-0.028774952135302324,"101","101"
"x2_80","SFG_PFC_L -- GP_L",-0.028368481314854505,"101","101"
"x6_12","MFG_L -- IFG_orbitalis_L",-0.028183577343324988,"101","101"
"x10_82","IFG_opercularis_L -- Thal_L",-0.027959415797305792,"101","101"
"x50_54","SOG_L -- IOG_L",-0.027882362090961732,"101","101"
"x22_183","PoCG_L -- PSTG_L",-0.02723599828105262,"101","101"
"x12_34","IFG_orbitalis_L -- STG_L",-0.026759204354766936,"101","101"
"x40_78","MTG_L_pole -- Put_L",-0.026457383858252595,"101","101"
"x40_183","MTG_L_pole -- PSTG_L",-0.02604896397477721,"101","101"
"x12_78","IFG_orbitalis_L -- Put_L",-0.025192316554908778,"101","101"
"x44_46","PHG_L -- ENT_L",-0.02306259275341083,"101","101"
"x20_34","RG_L -- STG_L",-0.021521379437532268,"101","101"
"x44_68","PHG_L -- PCC_L",-0.021068935332434837,"101","101"
"x48_50","FuG_L -- SOG_L",-0.021025434919790826,"101","101"
"x14_24","IFG_triangularis_L -- PrCG_L",-0.021011421246993223,"101","101"
"x26_50","SPG_L -- SOG_L",-0.020085511275432726,"101","101"
"x34_187","STG_L -- PSIG_L",-0.019960008871585524,"101","101"
"x40_185","MTG_L_pole -- PSMG_L",-0.0195335410637479,"101","101"
"x10_12","IFG_opercularis_L -- IFG_orbitalis_L",-0.01939752371989142,"101","101"
"x48_56","FuG_L -- Cu_L",-0.019247647155415586,"101","101"
"x72_78","Amyg_L -- Put_L",-0.018052956768585014,"101","101"
"x34_42","STG_L -- ITG_L",-0.017724332042210064,"101","101"
"x78_185","Put_L -- PSMG_L",-0.017564411579174117,"101","101"
"x18_64","MFOG_L -- subgenual_ACC_L",-0.017388932244678447,"101","101"
"x2_14","SFG_PFC_L -- IFG_triangularis_L",-0.017194421067827665,"101","101"
"x24_183","PrCG_L -- PSTG_L",-0.017156199856388752,"101","101"
"x36_183","STG_L_pole -- PSTG_L",-0.01710968629512991,"101","101"
"x38_56","MTG_L -- Cu_L",-0.016459443670961416,"101","101"
"x32_50","PrCu_L -- SOG_L",-0.016256998143201473,"101","101"
"x30_187","AG_L -- PSIG_L",-0.015763555007579498,"101","101"
"x14_82","IFG_triangularis_L -- Thal_L",-0.015179297349267446,"101","101"
"x54_78","IOG_L -- Put_L",-0.015100604170815074,"101","101"
"x0_76","SFG_L -- Caud_L",-0.015098745252860334,"101","101"
"x32_44","PrCu_L -- PHG_L",-0.015053934372818599,"101","101"
"x40_187","MTG_L_pole -- PSIG_L",-0.014758444995806752,"101","101"
"x26_30","SPG_L -- AG_L",-0.014308815685789176,"101","101"
"x12_76","IFG_orbitalis_L -- Caud_L",-0.013857299638013255,"101","101"
"x28_66","SMG_L -- dorsal_ACC_L",-0.013427123584512729,"101","101"
"x24_36","PrCG_L -- STG_L_pole",-0.013112527966665325,"101","101"
"x40_42","MTG_L_pole -- ITG_L",-0.012961169136771923,"101","101"
"x36_70","STG_L_pole -- Ins_L",-0.012933474928266716,"101","101"
"x10_183","IFG_opercularis_L -- PSTG_L",-0.01283822225845321,"101","101"
"x46_74","ENT_L -- Hippo_L",-0.01254432633235548,"101","101"
"x183_187","PSTG_L -- PSIG_L",-0.011510756390974429,"101","101"
"x8_76","MFG_DPFC_L -- Caud_L",-0.011427394002670063,"101","101"
