"edge","edge_name","coef","pos_rank","neg_rank"
"x22_82","PoCG_L -- Thal_L",-0.3182265509435029,"101","101"
"x50_68","SOG_L -- PCC_L",-0.27475743734272656,"101","101"
"x6_24","MFG_L -- PrCG_L",-0.2227815258189753,"101","101"
"x20_76","RG_L -- Caud_L",-0.21484266944170047,"101","101"
"x22_28","PoCG_L -- SMG_L",-0.21135893997953736,"101","101"
"x12_78","IFG_orbitalis_L -- Put_L",-0.19683790596262132,"101","101"
"x32_68","PrCu_L -- PCC_L",-0.19331801640658833,"101","101"
"x34_183","STG_L -- PSTG_L",-0.19286302132563665,"101","101"
"x0_6","SFG_L -- MFG_L",-0.18966963164450665,"101","101"
"x14_78","IFG_triangularis_L -- Put_L",-0.18343386830612995,"101","101"
"x2_8","SFG_PFC_L -- MFG_DPFC_L",-0.17956534770321153,"101","101"
"x36_78","STG_L_pole -- Put_L",-0.17781267052226682,"101","101"
"x50_82","SOG_L -- Thal_L",-0.17084288334312703,"101","101"
"x34_78","STG_L -- Put_L",-0.15575090099054875,"101","101"
"x183_185","PSTG_L -- PSMG_L",-0.15366942127632835,"101","101"
"x38_78","MTG_L -- Put_L",-0.15231789979426844,"101","101"
"x10_14","IFG_opercularis_L -- IFG_triangularis_L",-0.1506092815915649,"101","101"
"x58_78","LG_L -- Put_L",-0.14964482000714902,"101","101"
"x30_183","AG_L -- PSTG_L",-0.14690680394969483,"101","101"
"x6_8","MFG_L -- MFG_DPFC_L",-0.14044695471826274,"101","101"
"x42_187","ITG_L -- PSIG_L",-0.13695778842872694,"101","101"
"x38_183","MTG_L -- PSTG_L",-0.12625070962583818,"101","101"
"x42_48","ITG_L -- FuG_L",-0.1257036632684877,"101","101"
"x10_24","IFG_opercularis_L -- PrCG_L",-0.11866943817390002,"101","101"
"x82_185","Thal_L -- PSMG_L",-0.11683976321549225,"101","101"
"x24_28","PrCG_L -- SMG_L",-0.10866620380619363,"101","101"
"x30_185","AG_L -- PSMG_L",-0.101904754497648,"101","101"
"x78_82","Put_L -- Thal_L",-0.09531694376919812,"101","101"
"x12_58","IFG_orbitalis_L -- LG_L",-0.0952272990945469,"101","101"
"x20_78","RG_L -- Put_L",-0.09429132302596933,"101","101"
"x6_10","MFG_L -- IFG_opercularis_L",-0.09290799074866347,"101","101"
"x24_30","PrCG_L -- AG_L",-0.08933059455303013,"101","101"
"x34_50","STG_L -- SOG_L",-0.08925140110344863,"101","101"
"x34_42","STG_L -- ITG_L",-0.08899325437402024,"101","101"
"x42_185","ITG_L -- PSMG_L",-0.08294900440382262,"101","101"
"x26_30","SPG_L -- AG_L",-0.08283942680592114,"101","101"
"x22_30","PoCG_L -- AG_L",-0.08103895741323434,"101","101"
"x32_50","PrCu_L -- SOG_L",-0.0808072361076228,"101","101"
"x34_185","STG_L -- PSMG_L",-0.0751147533007545,"101","101"
"x26_32","SPG_L -- PrCu_L",-0.07496130181862969,"101","101"
"x80_82","GP_L -- Thal_L",-0.07457818196822955,"101","101"
"x8_12","MFG_DPFC_L -- IFG_orbitalis_L",-0.07228142626914232,"101","101"
"x8_78","MFG_DPFC_L -- Put_L",-0.07184040397011314,"101","101"
"x28_30","SMG_L -- AG_L",-0.07034246962169259,"101","101"
"x50_54","SOG_L -- IOG_L",-0.06945540217547892,"101","101"
"x50_185","SOG_L -- PSMG_L",-0.06771427527737597,"101","101"
"x26_28","SPG_L -- SMG_L",-0.06731529914145873,"101","101"
"x78_185","Put_L -- PSMG_L",-0.0667059993243592,"101","101"
"x42_78","ITG_L -- Put_L",-0.06587951548094438,"101","101"
"x38_50","MTG_L -- SOG_L",-0.06505090727516964,"101","101"
"x12_185","IFG_orbitalis_L -- PSMG_L",-0.0637746817698687,"101","101"
"x52_82","MOG_L -- Thal_L",-0.060963438133407016,"101","101"
"x50_183","SOG_L -- PSTG_L",-0.0601771073337834,"101","101"
"x10_78","IFG_opercularis_L -- Put_L",-0.05821073917971463,"101","101"
"x52_54","MOG_L -- IOG_L",-0.057075038108014765,"101","101"
"x56_78","Cu_L -- Put_L",-0.056131344467071215,"101","101"
"x2_76","SFG_PFC_L -- Caud_L",-0.05503385089341229,"101","101"
"x42_54","ITG_L -- IOG_L",-0.053872334975946845,"101","101"
"x32_82","PrCu_L -- Thal_L",-0.05371716309206325,"101","101"
"x10_30","IFG_opercularis_L -- AG_L",-0.05148289092228327,"101","101"
"x58_82","LG_L -- Thal_L",-0.051126054767053314,"101","101"
"x34_38","STG_L -- MTG_L",-0.05027176214442558,"101","101"
"x40_42","MTG_L_pole -- ITG_L",-0.0501603862361179,"101","101"
"x82_181","Thal_L -- PIns_L",-0.04835306399944865,"101","101"
"x48_78","FuG_L -- Put_L",-0.047952283668322736,"101","101"
"x54_78","IOG_L -- Put_L",-0.04741152046202304,"101","101"
"x58_187","LG_L -- PSIG_L",-0.04725268151909558,"101","101"
"x56_82","Cu_L -- Thal_L",-0.04474674364165626,"101","101"
"x22_34","PoCG_L -- STG_L",-0.0433698297527124,"101","101"
"x24_183","PrCG_L -- PSTG_L",-0.04104340736275439,"101","101"
"x40_78","MTG_L_pole -- Put_L",-0.041005190618809514,"101","101"
"x12_34","IFG_orbitalis_L -- STG_L",-0.04086469032904384,"101","101"
"x12_48","IFG_orbitalis_L -- FuG_L",-0.03906422027258091,"101","101"
"x26_52","SPG_L -- MOG_L",-0.03885205530245044,"101","101"
"x24_185","PrCG_L -- PSMG_L",-0.03813036662043974,"101","101"
"x50_78","SOG_L -- Put_L",-0.03711346997874053,"101","101"
"x34_56","STG_L -- Cu_L",-0.03481811337209665,"101","101"
"x58_183","LG_L -- PSTG_L",-0.034601420429740376,"101","101"
"x38_56","MTG_L -- Cu_L",-0.034596900080736855,"101","101"
"x10_28","IFG_opercularis_L -- SMG_L",-0.03455172575069127,"101","101"
"x20_62","RG_L -- subcallosal_ACC_L",-0.03449536664210988,"101","101"
"x34_187","STG_L -- PSIG_L",-0.034389565550369906,"101","101"
"x22_68","PoCG_L -- PCC_L",-0.03193007042151104,"101","101"
"x10_82","IFG_opercularis_L -- Thal_L",-0.029361394579032033,"101","101"
"x10_185","IFG_opercularis_L -- PSMG_L",-0.029057791411240153,"101","101"
"x34_70","STG_L -- Ins_L",-0.028850118181748458,"101","101"
"x10_183","IFG_opercularis_L -- PSTG_L",-0.028613499159503845,"101","101"
"x0_66","SFG_L -- dorsal_ACC_L",-0.028391276886864585,"101","101"
"x40_185","MTG_L_pole -- PSMG_L",-0.02837300382653006,"101","101"
"x26_56","SPG_L -- Cu_L",-0.028318301997783558,"101","101"
"x48_52","FuG_L -- MOG_L",-0.026452766135994798,"101","101"
"x0_10","SFG_L -- IFG_opercularis_L",-0.026064837223194588,"101","101"
"x36_185","STG_L_pole -- PSMG_L",-0.026057196926661176,"101","101"
"x56_183","Cu_L -- PSTG_L",-0.025369289465067536,"101","101"
"x76_82","Caud_L -- Thal_L",-0.024603231345854515,"101","101"
"x12_54","IFG_orbitalis_L -- IOG_L",-0.024264014992956873,"101","101"
"x40_183","MTG_L_pole -- PSTG_L",-0.0242455394356102,"101","101"
"x22_185","PoCG_L -- PSMG_L",-0.023736512512411965,"101","101"
"x12_82","IFG_orbitalis_L -- Thal_L",-0.02360430176026322,"101","101"
"x8_20","MFG_DPFC_L -- RG_L",-0.023316766953934327,"101","101"
"x70_78","Ins_L -- Put_L",-0.022423390321317,"101","101"
"x44_68","PHG_L -- PCC_L",-0.02202573331004885,"101","101"
"x12_38","IFG_orbitalis_L -- MTG_L",-0.021412398286420328,"101","101"
"x2_80","SFG_PFC_L -- GP_L",-0.021412246587407018,"101","101"
"x36_38","STG_L_pole -- MTG_L",-0.021356170816974964,"101","101"
"x12_36","IFG_orbitalis_L -- STG_L_pole",-0.021275689942410764,"101","101"
