"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",0.4995004995004995,0.5014985014985015,0.0020771424633114653,-1.811200285511801e-5,"0.532984846822222","0.5663361383885401"
"AG_L_to_IFG_orbitalis_L",0.5264735264735265,0.4745254745254745,0.0003024438450421277,-1.6928575007211236e-5,"0.532984846822222","0.5663361383885401"
"AG_L_to_IFG_triangularis_L",0.4855144855144855,0.5154845154845155,0.0014327367542414044,-1.0589781750059223e-5,"0.532984846822222","0.5663361383885401"
"AG_L_to_LFOG_L",0.5174825174825175,0.4835164835164835,4.1443044650406164e-5,-8.487366769993887e-7,"0.532984846822222","0.5663361383885401"
"AG_L_to_MFG_DPFC_L",0.5164835164835165,0.48451548451548454,0.00011109689091925201,-2.8287096327689428e-6,"0.532984846822222","0.5663361383885401"
"AG_L_to_MFG_L",0.4965034965034965,0.5044955044955045,0.00252612506272587,-7.542140540397562e-5,"0.532984846822222","0.5663361383885401"
"AG_L_to_MFOG_L",0.4855144855144855,0.5154845154845155,3.151586359114054e-5,9.890836863298072e-7,"0.532984846822222","0.5663361383885401"
"AG_L_to_PoCG_L",0.5244755244755245,0.47652347652347654,0.0019323747686065102,-1.9686174093431166e-6,"0.532984846822222","0.5663361383885401"
"AG_L_to_PrCG_L",0.5024975024975025,0.4985014985014985,0.0021105152016341446,2.831506714462895e-5,"0.532984846822222","0.5663361383885401"
"AG_L_to_SFG_L",0.5094905094905094,0.4915084915084915,0.0009137795290013026,2.4816926910700552e-5,"0.532984846822222","0.5663361383885401"
"AG_L_to_SFG_PFC_L",0.5114885114885115,0.48951048951048953,0.00016165693016090073,2.994524684200411e-6,"0.532984846822222","0.5663361383885401"
"AG_L_to_SFG_pole_L",0.5104895104895105,0.4905094905094905,7.827960913135657e-6,-3.5444283717260595e-7,"0.532984846822222","0.5663361383885401"
"AG_L_to_SMG_L",0.5164835164835165,0.48451548451548454,0.0023291017217973286,-8.080480013838893e-5,"0.532984846822222","0.5663361383885401"
"AG_L_to_SPG_L",0.5604395604395604,0.4405594405594406,0.0035658840637903815,6.423203427725694e-5,"0.532984846822222","0.5672792057297079"
"Amyg_L_to_AG_L",0.5234765234765235,0.4775224775224775,0.0002587814593729942,-1.3968156053051302e-5,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_Cu_L",0.5044955044955045,0.4965034965034965,0.0005190867005406485,-4.173676054207419e-6,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_ENT_L",0.4915084915084915,0.5094905094905094,0.0011825564761199108,1.6457498883648766e-5,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_FuG_L",0.5134865134865135,0.4875124875124875,0.00040857326366582146,4.7681177355221905e-6,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_IFG_opercularis_L",0.5184815184815185,0.4825174825174825,1.1457127403657782e-5,-1.461129555327876e-7,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_IFG_orbitalis_L",0.5014985014985015,0.4995004995004995,1.905222179538837e-5,1.1605377458515304e-8,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_IFG_triangularis_L",0.4925074925074925,0.5084915084915085,1.5380479843229002e-5,-3.0346643859823524e-8,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_ITG_L",0.5534465534465535,0.44755244755244755,0.0019806495091152726,-8.242701683318444e-5,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_Ins_L",0.5124875124875125,0.4885114885114885,0.00010032532255539389,-4.210212778146276e-6,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_LFOG_L",0.5114885114885115,0.48951048951048953,6.305355320288214e-5,-5.105977119508308e-7,"0.532984846822222","0.5663361383885401"
"Amyg_L_to_LG_L",0.5204795204795205,0.4805194805194805,0.00044512456045032875,-1.6728333956178276e-5,"0.532984846822222","0.5663361383885401"
