"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L",0.22,0.8,0.22479365683835842,0.2393596060592119,"0.8866666666666666","0.9025"
"Amyg_L",0.9,0.12,0.14323206268103697,-0.11140583310561164,"0.8866666666666666","0.9243243243243243"
"Cu_L",0.74,0.28,0.30667255891508793,-0.13759562895870445,"0.8866666666666666","0.9025"
"ENT_L",0.74,0.28,0.42210456641856775,0.09139262336675197,"0.8866666666666666","0.9025"
"FuG_L",0.76,0.26,0.24740770883352053,-0.12483461631071943,"0.8866666666666666","0.9025"
"Hippo_L",0.52,0.5,0.6700290484276592,0.28224414541640974,"0.8866666666666666","0.9025"
"IFG_opercularis_L",0.12,0.9,0.17692622317410242,0.2106290848003246,"0.9","0.9025"
"IFG_orbitalis_L",0.64,0.38,0.2543275326978539,-0.06543624644151046,"0.8866666666666666","0.9025"
"IFG_triangularis_L",0.38,0.64,0.0996319155442213,0.007011949748959097,"0.8866666666666666","0.9025"
"ITG_L",0.88,0.14,0.8148296884534663,-0.5304044643784311,"0.8866666666666666","0.9243243243243243"
"Ins_L",0.68,0.34,0.2123902052693841,-0.14103255178969756,"0.8866666666666666","0.9025"
"LFOG_L",0.2,0.82,0.2347610951089403,0.21943654901129514,"0.8866666666666666","0.9025"
"LG_L",0.52,0.5,0.18274978504480408,0.08842632323927557,"0.8866666666666666","0.9025"
"MFG_DPFC_L",0.6,0.42,0.3955184699208313,-0.058211358390530446,"0.8866666666666666","0.9025"
"MFG_L",0.28,0.74,0.5384208005088612,0.029272648714536494,"0.8866666666666666","0.9025"
"MFOG_L",0.14,0.88,0.5529939288167162,0.2887781366178107,"0.9","0.9025"
"MTG_L",0.5,0.52,0.2822758040498937,-0.06829478437774272,"0.8866666666666666","0.9025"
"MTG_L_pole",0.36,0.66,0.5103786927973053,0.2538527280288353,"0.8866666666666666","0.9025"
"PCC_L",0.5,0.52,0.4284659183402649,0.05718213422031288,"0.8866666666666666","0.9025"
"PHG_L",0.62,0.4,0.5035631979998323,0.22836752283904155,"0.8866666666666666","0.9025"
"PIns_L",0.18,0.84,0.19170722534034365,0.1833224712093465,"0.8866666666666666","0.9025"
"PSIG_L",0.22,0.8,0.25225337384885216,0.1394422709492741,"0.8866666666666666","0.9025"
"PSMG_L",0.32,0.7,0.1754972731066705,0.08962916054091283,"0.8866666666666666","0.9025"
"PSTG_L",0.98,0.04,0.2269440665733182,-0.19578152093725942,"0.76","0.98"
"PoCG_L",0.68,0.34,0.43681040103428914,0.11704213232576222,"0.8866666666666666","0.9025"
"PrCG_L",0.84,0.18,0.2347381992989196,-0.10520524786379866,"0.8866666666666666","0.9243243243243243"
"PrCu_L",0.64,0.38,0.442627752770494,-0.17436193934198924,"0.8866666666666666","0.9025"
"SFG_L",0.72,0.3,0.3856028294436377,-0.14781234169943275,"0.8866666666666666","0.9025"
"SFG_PFC_L",0.26,0.76,0.7125685982399685,0.33970313277464026,"0.8866666666666666","0.9025"
"SFG_pole_L",0.42,0.6,0.0277208254490359,0.0078555206817421,"0.8866666666666666","0.9025"
"SMG_L",0.9,0.12,0.3611050353057816,-0.29942818473909355,"0.8866666666666666","0.9243243243243243"
"SPG_L",0.86,0.16,0.3140224583627318,-0.11903219830945512,"0.8866666666666666","0.9243243243243243"
"STG_L",0.28,0.74,0.3758700419516095,0.22580733719396126,"0.8866666666666666","0.9025"
"STG_L_pole",0.6,0.42,0.3552741361101327,-0.16104275907625246,"0.8866666666666666","0.9025"
"dorsal_ACC_L",0.36,0.66,0.5235567707553407,-0.019813046441781237,"0.8866666666666666","0.9025"
"rostral_ACC_L",0.28,0.74,0.3626161707214578,0.17639544777992197,"0.8866666666666666","0.9025"
"subcallosal_ACC_L",0.44,0.56,0.029956534233807095,0.006738944152456301,"0.8866666666666666","0.9025"
"subgenual_ACC_L",0.02,0.02,0.0,0.0,"0.76","0.76"
