"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",0.78,0.24,0.0033512353139261253,-0.0027715384529882667,"0.9209606986899563","0.988"
"AG_L_to_IFG_orbitalis_L",0.56,0.46,0.0003601008135208798,-7.923693280602982e-5,"0.9445297504798463","0.988"
"AG_L_to_IFG_triangularis_L",0.7,0.32,0.0017197785293881218,-0.0010984597568136174,"0.9295867768595042","0.988"
"AG_L_to_LFOG_L",0.86,0.16,3.9543903694377486e-5,-3.6176423025203924e-5,"0.9038571428571428","0.9960131795716639"
"AG_L_to_MFG_DPFC_L",0.84,0.18,0.00013295147275214523,-8.586114974065578e-5,"0.9038571428571428","0.9960131795716639"
"AG_L_to_MFG_L",0.78,0.24,0.0036301252092206244,-0.0025427713844495335,"0.9209606986899563","0.988"
"AG_L_to_MFOG_L",0.84,0.18,2.6165901046756618e-5,-2.487953339261275e-5,"0.9038571428571428","0.9960131795716639"
"AG_L_to_PoCG_L",0.86,0.16,0.0019101531539602022,-0.0017181372718437198,"0.9038571428571428","0.9960131795716639"
"AG_L_to_PrCG_L",0.7,0.32,0.0020010589873431183,-0.0006668457507203564,"0.9295867768595042","0.988"
"AG_L_to_SFG_L",0.84,0.18,0.0014340535072806322,-0.001296809312221468,"0.9038571428571428","0.9960131795716639"
"AG_L_to_SFG_PFC_L",0.86,0.16,0.00031225351648145295,-0.0003195007098605748,"0.9038571428571428","0.9960131795716639"
"AG_L_to_SFG_pole_L",0.4,0.62,1.6812379540466436e-5,9.099640549580537e-6,"0.9445297504798463","0.9809302325581394"
"AG_L_to_SMG_L",0.48,0.54,0.0027430353443584996,-0.0001883739309780944,"0.9445297504798463","0.9809302325581394"
"AG_L_to_SPG_L",0.28,0.74,0.0037060862547896663,0.001156536677044154,"0.9510420475319926","0.9809302325581394"
"Amyg_L_to_AG_L",0.32,0.7,0.0002561036815446054,0.00011420842968762305,"0.9445297504798463","0.9809302325581394"
"Amyg_L_to_Cu_L",0.96,0.06,0.0008598082403765658,-0.0008431309188007743,"0.7532142857142857","1.0"
"Amyg_L_to_ENT_L",0.02,1.0,0.0015688201860130594,0.00129250111974032,"1.0","0.8270588235294117"
"Amyg_L_to_FuG_L",0.06,0.96,0.00035938821908465453,0.0002479116654176733,"0.9809302325581394","0.9809302325581394"
"Amyg_L_to_IFG_opercularis_L",0.58,0.44,1.805849292449298e-5,3.992672622518952e-6,"0.9445297504798463","0.988"
"Amyg_L_to_IFG_orbitalis_L",0.86,0.16,2.2225096005271256e-5,-1.2316000837527363e-5,"0.9038571428571428","0.9960131795716639"
"Amyg_L_to_IFG_triangularis_L",0.76,0.26,2.052453107182855e-5,-3.828024671292659e-6,"0.9209606986899563","0.988"
"Amyg_L_to_ITG_L",0.92,0.1,0.0020459700205464324,-0.0016292351742971008,"0.8080459770114943","1.0"
"Amyg_L_to_Ins_L",0.34,0.68,0.00010331628949946029,4.316333076372926e-5,"0.9445297504798463","0.9809302325581394"
"Amyg_L_to_LFOG_L",0.14,0.88,8.16864774500228e-5,6.0353574598854774e-5,"0.963613707165109","0.9809302325581394"
"Amyg_L_to_LG_L",0.98,0.04,0.0006198486946186911,-0.0006314890823178017,"0.653953488372093","1.0"
"Amyg_L_to_MFG_DPFC_L",0.94,0.08,9.907365868128203e-6,-8.634132993897093e-6,"0.7811111111111112","1.0"
"Amyg_L_to_MFG_L",0.48,0.54,2.4988745694666645e-5,1.2373480069950074e-5,"0.9445297504798463","0.9809302325581394"
"Amyg_L_to_MFOG_L",0.34,0.68,0.00019276675696089919,4.582708119126282e-5,"0.9445297504798463","0.9809302325581394"
"Amyg_L_to_MTG_L",0.42,0.6,0.0009904584193856372,-3.176476670752116e-5,"0.9445297504798463","0.9809302325581394"
"Amyg_L_to_MTG_L_pole",0.1,0.92,0.0027213464095335533,0.002341081135116046,"0.9725714285714286","0.9809302325581394"
"Amyg_L_to_PCC_L",0.7,0.32,0.0003520747587923304,-0.00023037524319630777,"0.9295867768595042","0.988"
