"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",0.997002997002997,0.003996003996003996,0.002139185961446497,-0.0029985558324097917,"0.14045954045954046","1.0"
"AG_L_to_IFG_orbitalis_L",0.9170829170829171,0.08391608391608392,0.00012709350725886005,-0.00012676921921875523,"0.6554778554778555","1.0"
"AG_L_to_IFG_triangularis_L",0.98001998001998,0.02097902097902098,0.0009852134173427317,-0.0013137263549763232,"0.35114885114885114","1.0"
"AG_L_to_LFOG_L",0.968031968031968,0.03296703296703297,2.7422377004582025e-5,-3.0390673519418797e-5,"0.4291819291819292","1.0"
"AG_L_to_MFG_DPFC_L",0.981018981018981,0.01998001998001998,5.721002157518961e-5,-8.741912991753906e-5,"0.35114885114885114","1.0"
"AG_L_to_MFG_L",0.9140859140859141,0.08691308691308691,0.0013603797646146694,-0.0012499381648596525,"0.6649414415371863","1.0"
"AG_L_to_MFOG_L",0.984015984015984,0.016983016983016984,1.5423142323728782e-5,-2.2337041272071254e-5,"0.34111602683031256","1.0"
"AG_L_to_PoCG_L",0.8861138861138861,0.11488511488511488,0.0008730864188562012,-0.0008081205949215485,"0.714201053184104","1.0"
"AG_L_to_PrCG_L",0.977022977022977,0.023976023976023976,0.0013937556464011483,-0.002293214742832721,"0.38307147398056485","1.0"
"AG_L_to_SFG_L",0.5184815184815185,0.4825174825174825,0.0008925409141148457,0.000428286879211634,"1.0","0.8885518374569469"
"AG_L_to_SFG_PFC_L",0.7742257742257742,0.22677322677322678,8.133451811151858e-5,-2.408714748641784e-5,"0.8435004149289864","1.0"
"AG_L_to_SFG_pole_L",0.8181818181818182,0.18281718281718282,1.1064032645935437e-5,-7.1454714943575645e-6,"0.7879437635535196","1.0"
"AG_L_to_SMG_L",0.5914085914085914,0.4095904095904096,0.0010845578297663928,-4.806675583881142e-6,"1.0","0.9473215673215674"
"AG_L_to_SPG_L",0.5564435564435565,0.44455544455544455,0.0018621793872537202,4.401308012029256e-5,"1.0","0.9264352668607988"
"Amyg_L_to_AG_L",0.18181818181818182,0.8191808191808192,0.00014718668804283096,0.0001039797621094287,"1.0","0.6163625404131734"
"Amyg_L_to_Cu_L",0.3826173826173826,0.6183816183816184,0.0002313505158597303,2.1774959022463146e-5,"1.0","0.7681381118881119"
"Amyg_L_to_ENT_L",0.005994005994005994,0.995004995004995,0.0008070619122356292,0.0009309864536692835,"1.0","0.12393488864077098"
"Amyg_L_to_FuG_L",0.22377622377622378,0.7772227772227772,0.00018710313587366357,6.298901389371267e-5,"1.0","0.6267517343214555"
