"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",0.999000999000999,0.001998001998001998,0.0008709899644315523,-0.0015659547376377203,"0.05402290017674633","1.0"
"AG_L_to_IFG_orbitalis_L",0.977022977022977,0.023976023976023976,7.031113535710149e-5,-0.00010142958267507402,"0.2340992340992341","1.0"
"AG_L_to_IFG_triangularis_L",0.995004995004995,0.005994005994005994,0.00044189370706983997,-0.000793402083453081,"0.1108891108891109","1.0"
"AG_L_to_LFOG_L",0.971028971028971,0.029970029970029972,1.1319304476303556e-5,-1.368162231575999e-5,"0.2561321031909267","1.0"
"AG_L_to_MFG_DPFC_L",0.997002997002997,0.003996003996003996,3.5465426254858836e-5,-5.968493515944172e-5,"0.09061905836099383","1.0"
"AG_L_to_MFG_L",0.994005994005994,0.006993006993006993,0.0006186189854268951,-0.0010272682710567413,"0.1229020979020979","1.0"
"AG_L_to_MFOG_L",0.981018981018981,0.01998001998001998,9.111319237427947e-6,-1.2724489251289325e-5,"0.2065581477346183","1.0"
"AG_L_to_PoCG_L",0.9530469530469531,0.04795204795204795,0.0005342017992723204,-0.0006613782474166457,"0.31213231213231213","1.0"
"AG_L_to_PrCG_L",0.996003996003996,0.004995004995004995,0.0008818435368760603,-0.0015607271318440078,"0.10032824318538604","1.0"
"AG_L_to_SFG_L",0.7882117882117882,0.2127872127872128,0.0002573059037478299,-8.74114522856364e-5,"0.7056104273085405","1.0"
"AG_L_to_SFG_PFC_L",0.958041958041958,0.04295704295704296,3.688718069774987e-5,-4.5808685642419636e-5,"0.30477070099711606","1.0"
"AG_L_to_SFG_pole_L",0.8741258741258742,0.12687312687312688,2.502336202766931e-6,-1.4441737458887682e-6,"0.5405564132836861","1.0"
"AG_L_to_SMG_L",0.6733266733266733,0.3276723276723277,0.0006183174679286862,-0.0001916023332202291,"0.8659911517054374","1.0"
"AG_L_to_SPG_L",0.5684315684315684,0.4325674325674326,0.0008103809288186619,-0.00013376828056880317,"0.991112437858","0.9639711250288174"
"Amyg_L_to_AG_L",0.3706293706293706,0.6303696303696303,6.873207295022605e-5,3.0038476983333994e-5,"1.0","0.8085093918427252"
"Amyg_L_to_Cu_L",0.34865134865134867,0.6523476523476524,9.327779375992765e-5,4.332487795152258e-5,"1.0","0.7855830067368529"
"Amyg_L_to_ENT_L",0.003996003996003996,0.997002997002997,0.00035750829140839517,0.00046368553078416193,"1.0","0.08778721278721278"
"Amyg_L_to_FuG_L",0.028971028971028972,0.972027972027972,8.188167120531661e-5,0.00010765592063815764,"1.0","0.3039796024870652"
"Amyg_L_to_IFG_opercularis_L",0.988011988011988,0.012987012987012988,3.432713949287015e-6,-3.4763234571613813e-6,"0.15741155396327813","1.0"
"Amyg_L_to_IFG_orbitalis_L",0.938061938061938,0.06293706293706294,4.362379572541589e-6,-4.07768018715232e-6,"0.3799315438659701","1.0"
"Amyg_L_to_IFG_triangularis_L",0.7722277722277723,0.22877122877122877,3.595129659843537e-6,-1.6064799470145152e-6,"0.7343660905304741","1.0"
"Amyg_L_to_ITG_L",0.46653346653346656,0.5344655344655345,0.0005927229140165843,-3.2275908081036376e-5,"1.0","0.9098829347448132"
"Amyg_L_to_Ins_L",0.5744255744255744,0.42657342657342656,2.1418254717913537e-5,4.25622640217775e-6,"0.991112437858","0.9660793751702843"
"Amyg_L_to_LFOG_L",0.0939060939060939,0.9070929070929071,1.3321780036841903e-5,1.336303874294619e-5,"1.0","0.5253408009313522"
"Amyg_L_to_LG_L",0.6163836163836164,0.38461538461538464,8.664977910869122e-5,-1.570367496683125e-5,"0.9520585048754064","1.0"
"Amyg_L_to_MFG_DPFC_L",0.6593406593406593,0.34165834165834164,2.1257806248494144e-6,-1.0492311657131984e-7,"0.8895770895770895","1.0"
"Amyg_L_to_MFG_L",0.8551448551448552,0.14585414585414586,3.5872961461876035e-6,-2.559184604190783e-6,"0.5760419355924974","1.0"
"Amyg_L_to_MFOG_L",0.5084915084915085,0.4925074925074925,4.6056742994698726e-5,-8.355641605905451e-6,"1.0","0.9456865885437313"
"Amyg_L_to_MTG_L",0.015984015984015984,0.985014985014985,0.000235020299615343,0.000343337239176703,"1.0","0.22032869091692622"
"Amyg_L_to_MTG_L_pole",0.006993006993006993,0.994005994005994,0.000587698740282178,0.0007566329302847901,"1.0","0.12937062937062938"
"Amyg_L_to_PCC_L",0.44655344655344653,0.5544455544455544,5.9545749411973355e-5,2.7357893350008e-5,"1.0","0.8843016138790787"
"Amyg_L_to_PHG_L",0.13886113886113885,0.8621378621378621,0.0008857780098918975,0.0009821560157168938,"1.0","0.5650671167912548"
"Amyg_L_to_PoCG_L",0.8761238761238761,0.12487512487512488,4.0722826517481356e-5,-3.526231821316121e-5,"0.5385718575902626","1.0"
"Amyg_L_to_PrCG_L",0.9340659340659341,0.06693306693306693,7.503010313539686e-6,-7.853903643793711e-6,"0.38255240694265086","1.0"
"Amyg_L_to_PrCu_L",0.5024975024975025,0.4985014985014985,4.289882863942375e-5,1.377840038156496e-5,"1.0","0.942015318015318"
"Amyg_L_to_SFG_L",0.8161838161838162,0.1848151848151848,4.640816091510895e-6,-2.3846022450338457e-6,"0.6431934402231432","1.0"
"Amyg_L_to_SFG_PFC_L",0.964035964035964,0.03696303696303696,7.413830943809455e-6,-6.757911214186588e-6,"0.29528426119335205","1.0"
"Amyg_L_to_SFG_pole_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.033442747728462015","0.029262404262404264"
"Amyg_L_to_SMG_L",0.8291708291708292,0.17182817182817184,2.672103544714365e-5,-1.7718676862578802e-5,"0.6100767918949738","1.0"
"Amyg_L_to_SPG_L",0.46853146853146854,0.5324675324675324,6.98343053976954e-5,2.1904784510509224e-5,"1.0","0.9098829347448132"
"Amyg_L_to_STG_L",0.34765234765234765,0.6533466533466533,0.00031465549786285376,3.1397254527314736e-5,"1.0","0.7855830067368529"
"Amyg_L_to_STG_L_pole",0.01998001998001998,0.981018981018981,0.0005762949231319142,0.0008261195781721179,"1.0","0.24642024642024643"
