"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",0.999000999000999,0.001998001998001998,0.000915086432353767,-0.0015981633462222409,"0.06384524566342747","1.0"
"AG_L_to_IFG_orbitalis_L",0.977022977022977,0.023976023976023976,6.768476410501033e-5,-0.0001008565974905294,"0.2407877836449265","1.0"
"AG_L_to_IFG_triangularis_L",0.998001998001998,0.002997002997002997,0.0004574883260686945,-0.000806334798173952,"0.0810343502651195","1.0"
"AG_L_to_LFOG_L",0.967032967032967,0.03396603396603397,1.1950558491350986e-5,-1.3664442195649431e-5,"0.2713422940695668","1.0"
"AG_L_to_MFG_DPFC_L",0.996003996003996,0.004995004995004995,3.463983822385032e-5,-5.9001496026548286e-5,"0.09754134754134755","1.0"
"AG_L_to_MFG_L",0.986013986013986,0.014985014985014986,0.0005980642564197475,-0.0010041190731093505,"0.18811545597259885","1.0"
"AG_L_to_MFOG_L",0.974025974025974,0.026973026973026972,9.177664366990658e-6,-1.2394616779977888e-5,"0.2528271728271728","1.0"
"AG_L_to_PoCG_L",0.9530469530469531,0.04795204795204795,0.0005072649430914914,-0.0006346519734961549,"0.31802160104046895","1.0"
"AG_L_to_PrCG_L",0.996003996003996,0.004995004995004995,0.0008988672807509644,-0.0015609647557225993,"0.09754134754134755","1.0"
"AG_L_to_SFG_L",0.7582417582417582,0.24275724275724275,0.00027090939894549963,-7.047467913061403e-5,"0.7582329175249528","1.0"
"AG_L_to_SFG_PFC_L",0.955044955044955,0.04595404595404595,3.896691461761323e-5,-4.477184314980954e-5,"0.31672249319308143","1.0"
"AG_L_to_SFG_pole_L",0.8981018981018981,0.1028971028971029,2.4510372951692166e-6,-1.6315873427849325e-6,"0.48692640692640693","1.0"
"AG_L_to_SMG_L",0.6683316683316683,0.33266733266733267,0.0006071138070607939,-0.00018043961430095674,"0.8818324532610248","1.0"
"AG_L_to_SPG_L",0.5644355644355644,0.43656343656343655,0.0008301966397895552,-4.9245908065900035e-5,"1.0","0.9607704644024256"
"Amyg_L_to_AG_L",0.3786213786213786,0.6223776223776224,7.344295065083943e-5,2.8915200021118372e-5,"1.0","0.8233089986936141"
"Amyg_L_to_Cu_L",0.35664335664335667,0.6443556443556444,0.00010262470850582862,4.759739247052633e-5,"1.0","0.8058415943031327"
"Amyg_L_to_ENT_L",0.000999000999000999,1.0,0.0003559366220378008,0.00046768571718487954,"1.0","0.028091908091908094"
"Amyg_L_to_FuG_L",0.027972027972027972,0.973026973026973,8.396567999929532e-5,0.00010614347962179191,"1.0","0.30725524475524474"
"Amyg_L_to_IFG_opercularis_L",0.9760239760239761,0.024975024975024976,3.4870071861161687e-6,-3.4830490161086213e-6,"0.2472879233442614","1.0"
"Amyg_L_to_IFG_orbitalis_L",0.935064935064935,0.06593406593406594,4.98458105602318e-6,-3.9817081637029675e-6,"0.38887558722269466","1.0"
"Amyg_L_to_IFG_triangularis_L",0.7462537462537463,0.2547452547452547,4.0037514278128405e-6,-1.531497665353084e-6,"0.7816878773400512","1.0"
"Amyg_L_to_ITG_L",0.4695304695304695,0.5314685314685315,0.0005935585825437874,-4.96093489086209e-5,"1.0","0.9087423565445544"
"Amyg_L_to_Ins_L",0.5914085914085914,0.4095904095904096,2.3981874448173325e-5,3.659176908286535e-6,"0.9760747726849421","0.9875540136822797"
"Amyg_L_to_LFOG_L",0.11688311688311688,0.8841158841158842,1.4500335614431662e-5,1.2134179501334223e-5,"1.0","0.5367880527116196"
"Amyg_L_to_LG_L",0.6083916083916084,0.3926073926073926,0.00010520894365672103,-1.8275432004093865e-5,"0.955027671290647","1.0"
"Amyg_L_to_MFG_DPFC_L",0.6263736263736264,0.37462537462537465,2.0917094563790996e-6,-7.152605459514304e-8,"0.9372212294747506","1.0"
"Amyg_L_to_MFG_L",0.8411588411588412,0.15984015984015984,3.826703651250429e-6,-2.5058572537117087e-6,"0.6238495547006186","1.0"
"Amyg_L_to_MFOG_L",0.5344655344655345,0.46653346653346656,5.230618715696081e-5,-1.212236417377306e-5,"1.0","0.9512133436184069"
"Amyg_L_to_MTG_L",0.013986013986013986,0.987012987012987,0.00022731683395366362,0.00033567013149710687,"1.0","0.18908015061861216"
"Amyg_L_to_MTG_L_pole",0.001998001998001998,0.999000999000999,0.0005794507801428595,0.0007549656081659423,"1.0","0.048434324296393265"
"Amyg_L_to_PCC_L",0.4225774225774226,0.5784215784215784,5.685258058704464e-5,2.8637657408348357e-5,"1.0","0.8507835022120736"
"Amyg_L_to_PHG_L",0.12287712287712288,0.8781218781218781,0.000922960990643617,0.0009731550782225806,"1.0","0.5385718575902626"
"Amyg_L_to_PoCG_L",0.8731268731268731,0.12787212787212787,4.229444675741519e-5,-3.6298163542411036e-5,"0.5524170951000219","1.0"
"Amyg_L_to_PrCG_L",0.939060939060939,0.061938061938061936,7.659281104921501e-6,-7.984562548987428e-6,"0.3690038774784537","1.0"
"Amyg_L_to_PrCu_L",0.4755244755244755,0.5254745254745254,4.38007108423567e-5,1.5826175671070424e-5,"1.0","0.9108820334978373"
"Amyg_L_to_SFG_L",0.7872127872127872,0.2137862137862138,4.5825990031459716e-6,-2.186526796829705e-6,"0.7055948746089591","1.0"
"Amyg_L_to_SFG_PFC_L",0.954045954045954,0.04695304695304695,9.238862197712669e-6,-7.1000321172953385e-6,"0.3173845385383847","1.0"
"Amyg_L_to_SFG_pole_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"Amyg_L_to_SMG_L",0.8241758241758241,0.17682317682317683,2.67622525929239e-5,-1.8531075587856547e-5,"0.6309984431811844","1.0"
"Amyg_L_to_SPG_L",0.4695304695304695,0.5314685314685315,7.148515889007683e-5,2.250734746807405e-5,"1.0","0.9087423565445544"
"Amyg_L_to_STG_L",0.3906093906093906,0.6103896103896104,0.00031312693729575603,1.0725094947039646e-5,"1.0","0.8267288267288267"
"Amyg_L_to_STG_L_pole",0.016983016983016984,0.984015984015984,0.0005594106771951619,0.000815043290287765,"1.0","0.21319751676894536"
"Amyg_L_to_dorsal_ACC_L",0.4985014985014985,0.5024975024975025,4.090001632646483e-6,8.769783522608701e-7,"1.0","0.9332921720189626"
"Amyg_L_to_rostral_ACC_L",0.4855144855144855,0.5104895104895105,1.2911729746555851e-6,3.059945994140209e-7,"1.0","0.915058132216309"
"Amyg_L_to_subcallosal_ACC_L",0.975024975024975,0.025974025974025976,1.7497969204098238e-6,-2.226645464508704e-6,"0.25013342821562","1.0"
"Amyg_L_to_subgenual_ACC_L",0.991008991008991,0.00999000999000999,6.72588909082062e-5,-9.466978703656566e-5,"0.14942504304206433","1.0"
"Cu_L_to_AG_L",0.003996003996003996,0.997002997002997,0.0001736252308326478,0.00019866671922439048,"1.0","0.08262325909384732"
"Cu_L_to_ENT_L",0.012987012987012988,0.988011988011988,5.914338966525844e-6,5.341758661063839e-6,"1.0","0.18259740259740262"
"Cu_L_to_FuG_L",0.5094905094905094,0.4915084915084915,0.0004038391926548612,-0.0001207883706061195,"1.0","0.9363969363969364"
"Cu_L_to_IFG_opercularis_L",0.9440559440559441,0.056943056943056944,8.737391560692508e-6,-7.1621285453590345e-6,"0.3480953828779916","1.0"
"Cu_L_to_IFG_orbitalis_L",0.9460539460539461,0.054945054945054944,0.00010075177722804005,-9.168637697496736e-5,"0.3448783359497645","1.0"
"Cu_L_to_IFG_triangularis_L",0.8311688311688312,0.16983016983016982,5.346621262586039e-5,-3.842884308897051e-5,"0.6270515199086627","1.0"
"Cu_L_to_ITG_L",0.13586413586413587,0.8651348651348651,0.00029386897524420015,0.0001816364747469313,"1.0","0.5553051599563227"
"Cu_L_to_LFOG_L",0.5774225774225774,0.42357642357642356,1.674790697328633e-5,-2.922119283366367e-6,"0.9892831421070624","0.9774768500730039"
"Cu_L_to_MFG_DPFC_L",0.7582417582417582,0.24275724275724275,1.5569465692257068e-5,-6.85144777504783e-6,"0.7582329175249528","1.0"
"Cu_L_to_MFG_L",0.15084915084915085,0.8501498501498501,9.538676494216477e-6,8.807934433259593e-6,"1.0","0.5647342348373277"
"Cu_L_to_MFOG_L",0.994005994005994,0.006993006993006993,1.351284729474231e-5,-1.6280450898323724e-5,"0.12937062937062938","1.0"
"Cu_L_to_MTG_L",0.5204795204795205,0.4805194805194805,0.0004385519956457722,-7.285520905781467e-5,"1.0","0.9399984630753861"
"Cu_L_to_MTG_L_pole",0.3956043956043956,0.6053946053946054,5.955377641659551e-5,1.3613781662572034e-5,"1.0","0.8269659334748092"
"Cu_L_to_PHG_L",0.0919080919080919,0.9090909090909091,6.699742594466751e-5,5.493216689183673e-5,"1.0","0.5127887985030841"
"Cu_L_to_PoCG_L",0.001998001998001998,0.999000999000999,0.0001633821891864149,0.00023213889068782556,"1.0","0.048434324296393265"
"Cu_L_to_PrCG_L",0.000999000999000999,1.0,0.00016183203586576898,0.0002226312601678628,"1.0","0.028091908091908094"
"Cu_L_to_PrCu_L",0.000999000999000999,1.0,0.0012415137423115769,0.0018905567108708098,"1.0","0.028091908091908094"
"Cu_L_to_SFG_L",0.000999000999000999,1.0,9.564871513957193e-5,0.00013831436141940892,"1.0","0.028091908091908094"
"Cu_L_to_SFG_PFC_L",0.40559440559440557,0.5954045954045954,2.719163628806032e-5,-2.1661982038939675e-6,"1.0","0.8361667657855341"
"Cu_L_to_SFG_pole_L",0.9440559440559441,0.056943056943056944,5.132772563400897e-6,-4.382210313684472e-6,"0.3480953828779916","1.0"
"Cu_L_to_SMG_L",0.15584415584415584,0.8451548451548452,1.2745828289508327e-5,1.2627768890292062e-5,"1.0","0.5647342348373277"
"Cu_L_to_SPG_L",0.18081918081918083,0.8201798201798202,0.00047539420986211214,0.00021476095649436487,"1.0","0.6082099718463355"
"Cu_L_to_STG_L",0.8071928071928072,0.1938061938061938,0.0004689709547902851,-0.000275683931557409,"0.6711613509643066","1.0"
"Cu_L_to_STG_L_pole",0.1888111888111888,0.8121878121878122,0.00011083903730939936,6.951571118101691e-5,"1.0","0.6145104895104895"
"ENT_L_to_AG_L",0.21478521478521478,0.7812187812187812,3.9078123370111066e-6,2.6983945300966974e-6,"1.0","0.6344285966134706"
"ENT_L_to_IFG_opercularis_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_IFG_orbitalis_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_IFG_triangularis_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_ITG_L",0.11888111888111888,0.8821178821178821,0.00011181894847459902,0.00010186791496329798,"1.0","0.5367880527116196"
"ENT_L_to_LFOG_L",0.000999000999000999,0.8331668331668332,9.085496164240663e-7,8.648128040325109e-7,"1.0","0.028091908091908094"
"ENT_L_to_MFG_DPFC_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_MFG_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_MFOG_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_MTG_L",0.000999000999000999,1.0,1.548817840670968e-5,1.798729086891382e-5,"1.0","0.028091908091908094"
"ENT_L_to_MTG_L_pole",0.0999000999000999,0.9010989010989011,5.947706591200228e-5,6.223412104603953e-5,"1.0","0.524102762908733"
"ENT_L_to_PHG_L",0.2777222777222777,0.7232767232767233,0.00029324526840258366,0.0001467870792342293,"1.0","0.6997805062321191"
"ENT_L_to_PoCG_L",0.04295704295704296,0.958041958041958,8.600457689841989e-8,9.698831220716389e-8,"1.0","0.3635423400129283"
"ENT_L_to_PrCG_L",0.32967032967032966,0.6413586413586414,3.80084906735917e-7,1.338957886279809e-7,"1.0","0.7699609360738929"
"ENT_L_to_PrCu_L",0.23776223776223776,0.7632367632367633,3.845974346351912e-6,2.5466518235534445e-6,"1.0","0.6685874125874125"
"ENT_L_to_SFG_L",0.34565434565434566,0.45054945054945056,4.174689190745609e-7,1.3139923166327446e-7,"1.0","0.7863916019255826"
"ENT_L_to_SFG_PFC_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_SFG_pole_L",0.000999000999000999,0.000999000999000999,0.0,0.0,"0.035114885114885114","0.028091908091908094"
"ENT_L_to_SMG_L",0.34565434565434566,0.45054945054945056,8.842828044596358e-7,2.783298965983364e-7,"1.0","0.7863916019255826"
"ENT_L_to_SPG_L",0.12987012987012986,0.8711288711288712,3.5956564372089228e-6,3.3384784866224654e-6,"1.0","0.5533254624163715"
"ENT_L_to_STG_L",0.7822177822177823,0.21878121878121878,6.48464954574302e-5,-4.828736758487606e-5,"0.7153637060613804","1.0"
"ENT_L_to_STG_L_pole",0.16483516483516483,0.8361638361638362,1.2910196891707064e-5,1.1632528139376702e-5,"1.0","0.5852480852480852"
"FuG_L_to_AG_L",0.5484515484515484,0.45254745254745254,0.00020334791285486095,1.7793472759092057e-6,"1.0","0.9567281353881849"
"FuG_L_to_ENT_L",0.11388611388611389,0.8871128871128872,0.00013798051245927673,9.703440841234505e-5,"1.0","0.5367880527116196"
"FuG_L_to_IFG_opercularis_L",0.3706293706293706,0.6303696303696303,7.914496068030687e-5,4.114034796828742e-5,"1.0","0.8160655543833113"
"FuG_L_to_IFG_orbitalis_L",0.6393606393606394,0.36163836163836166,0.0002817069288028381,-4.805674039657537e-5,"0.9203395882096244","1.0"
"FuG_L_to_IFG_triangularis_L",0.1968031968031968,0.8041958041958042,8.190966643304282e-5,7.743740353360544e-5,"1.0","0.6232101232101231"
"FuG_L_to_ITG_L",0.27472527472527475,0.7262737262737263,0.0006667585839813054,0.0003794182369350665,"1.0","0.697226960764867"
"FuG_L_to_LFOG_L",0.22877122877122877,0.7722277722277723,5.037799586925698e-5,2.3966478254489126e-5,"1.0","0.6484926363958622"
"FuG_L_to_MFG_DPFC_L",0.03796203796203796,0.9630369630369631,0.0001669340361751786,0.00022037149872262144,"1.0","0.3558308358308358"
"FuG_L_to_MFG_L",0.3356643356643357,0.6653346653346653,5.637855177370452e-5,3.2683616994896985e-5,"1.0","0.7736787802361574"
"FuG_L_to_MFOG_L",0.967032967032967,0.03396603396603397,8.218511432560946e-5,-9.049425223622063e-5,"0.2713422940695668","1.0"
"FuG_L_to_MTG_L",0.013986013986013986,0.987012987012987,0.0007228480975470744,0.001175660879591534,"1.0","0.18908015061861216"
"FuG_L_to_MTG_L_pole",0.16083916083916083,0.8401598401598401,0.0003154574531211224,0.00026982680022021765,"1.0","0.5798457952304106"
"FuG_L_to_PHG_L",0.004995004995004995,0.996003996003996,0.0007925850978246674,0.0008227589915239398,"1.0","0.09754134754134755"
"FuG_L_to_PoCG_L",0.2047952047952048,0.7962037962037962,7.91413601603626e-5,6.910615728370135e-5,"1.0","0.6242646242646243"
"FuG_L_to_PrCG_L",0.3646353646353646,0.6363636363636364,8.484712878509531e-5,4.7196725980052746e-5,"1.0","0.8134207564587311"
"FuG_L_to_PrCu_L",0.7052947052947053,0.2957042957042957,0.00020005303207592197,-6.712311643782268e-5,"0.8282076489247804","1.0"
"FuG_L_to_SFG_L",0.3256743256743257,0.6753246753246753,2.0870542544692866e-5,1.1129681686155598e-5,"1.0","0.7631635031635032"
"FuG_L_to_SFG_PFC_L",0.028971028971028972,0.972027972027972,0.00022990269098586828,0.0003113828594841634,"1.0","0.3085853540398995"
"FuG_L_to_SFG_pole_L",0.36863136863136864,0.6323676323676324,2.6272892954266637e-6,1.14406258285999e-6,"1.0","0.8160655543833113"
"FuG_L_to_SMG_L",0.26873126873126874,0.7322677322677322,0.00010652825143756769,8.103363208289774e-5,"1.0","0.6895286531650168"
