"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",1.0,0.009900990099009901,0.0019560894166137906,-0.0027590293871306297,"0.3026259147653896","1.0"
"AG_L_to_IFG_orbitalis_L",0.9108910891089109,0.09900990099009901,0.00014514627309840145,-0.00011568546991417193,"0.7326732673267328","1.0"
"AG_L_to_IFG_triangularis_L",0.9801980198019802,0.0297029702970297,0.0008502067607892699,-0.0012418266668711674,"0.4856090260188809","1.0"
"AG_L_to_LFOG_L",0.9900990099009901,0.019801980198019802,2.8338292132528558e-5,-2.8575498964298488e-5,"0.4490578090067071","1.0"
"AG_L_to_MFG_DPFC_L",0.9702970297029703,0.039603960396039604,6.178785156591068e-5,-8.369803481136936e-5,"0.5354150799695354","1.0"
"AG_L_to_MFG_L",0.9405940594059405,0.06930693069306931,0.001237819114130922,-0.0011796442632845039,"0.6674352366743525","1.0"
"AG_L_to_MFOG_L",0.9801980198019802,0.0297029702970297,1.5415872982006664e-5,-2.1731493540773912e-5,"0.4856090260188809","1.0"
"AG_L_to_PoCG_L",0.9306930693069307,0.07920792079207921,0.0008423572470504974,-0.0008354148976457572,"0.7138867732927139","1.0"
"AG_L_to_PrCG_L",1.0,0.009900990099009901,0.0014892291513964582,-0.0022869165895988038,"0.3026259147653896","1.0"
"AG_L_to_SFG_L",0.5841584158415841,0.42574257425742573,0.0008206478164665579,0.0003313672056031248,"1.0","0.9333258325832582"
"AG_L_to_SFG_PFC_L",0.8118811881188119,0.19801980198019803,8.020248545027215e-5,-3.080249726190263e-5,"0.830501800180018","1.0"
"AG_L_to_SFG_pole_L",0.8514851485148515,0.15841584158415842,9.455094653902365e-6,-6.294348675429318e-6,"0.8128929681289296","1.0"
"AG_L_to_SMG_L",0.6237623762376238,0.38613861386138615,0.0012138616784447404,-0.00014372943479137946,"1.0","0.9680020982230673"
"AG_L_to_SPG_L",0.49504950495049505,0.5148514851485149,0.0018759028435734358,0.000153142093204776,"1.0","0.8722300801508722"
"Amyg_L_to_AG_L",0.25742574257425743,0.7524752475247525,0.00013988815056083264,0.00010044003133319398,"1.0","0.7041645798821128"
"Amyg_L_to_Cu_L",0.40594059405940597,0.6039603960396039,0.0002407138222275298,8.000770867359938e-6,"1.0","0.8009222840092228"
"Amyg_L_to_ENT_L",0.009900990099009901,1.0,0.0008280685290793301,0.0008795424764011868,"1.0","0.232013201320132"
"Amyg_L_to_FuG_L",0.21782178217821782,0.7920792079207921,0.0001706844849669224,5.090598770116182e-5,"1.0","0.6775606764216244"
"Amyg_L_to_IFG_opercularis_L",0.9603960396039604,0.04950495049504951,8.76931814607559e-6,-7.723612661956487e-6,"0.6000341413451691","1.0"
"Amyg_L_to_IFG_orbitalis_L",0.9207920792079208,0.0891089108910891,1.1624975429566394e-5,-9.382742734669067e-6,"0.7284135390283214","1.0"
"Amyg_L_to_IFG_triangularis_L",0.801980198019802,0.2079207920792079,1.0097367076426325e-5,-6.900499322667244e-6,"0.830501800180018","1.0"
"Amyg_L_to_ITG_L",0.6831683168316832,0.32673267326732675,0.002315449222397079,-0.0013652245256510587,"0.9610588673930156","0.9943422913719944"
"Amyg_L_to_Ins_L",0.45544554455445546,0.5544554455445545,4.299681906643711e-5,1.7111118591363573e-5,"1.0","0.8447974085007446"
