"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",1.0,0.0196078431372549,0.0005996825577261497,-0.0017126159927600931,"0.08836098541980894","1.0"
"AG_L_to_IFG_orbitalis_L",1.0,0.0196078431372549,3.731389486239552e-5,-0.0001088243606219955,"0.08836098541980894","1.0"
"AG_L_to_IFG_triangularis_L",1.0,0.0196078431372549,0.0003015678572109661,-0.000912867361213311,"0.08836098541980894","1.0"
"AG_L_to_LFOG_L",1.0,0.0196078431372549,6.381878078392815e-6,-1.361920974268774e-5,"0.08836098541980894","1.0"
"AG_L_to_MFG_DPFC_L",1.0,0.0196078431372549,2.210242559171964e-5,-6.429142008135479e-5,"0.08836098541980894","1.0"
"AG_L_to_MFG_L",1.0,0.0196078431372549,0.00033434112853303083,-0.0011011963213633771,"0.08836098541980894","1.0"
"AG_L_to_MFOG_L",1.0,0.0196078431372549,5.958666597156704e-6,-1.5349277193177044e-5,"0.08836098541980894","1.0"
"AG_L_to_PoCG_L",1.0,0.0196078431372549,0.00027127931394847255,-0.0006958037915769096,"0.08836098541980894","1.0"
"AG_L_to_PrCG_L",1.0,0.0196078431372549,0.0006024106300831528,-0.0017992237270723287,"0.08836098541980894","1.0"
"AG_L_to_SFG_L",0.9019607843137255,0.11764705882352941,0.00012826888204757453,-0.00020824244035221894,"0.33620277379244384","1.0"
"AG_L_to_SFG_PFC_L",1.0,0.0196078431372549,2.248253016964572e-5,-6.385955169693636e-5,"0.08836098541980894","1.0"
"AG_L_to_SFG_pole_L",0.9803921568627451,0.0392156862745098,6.991556600398784e-7,-1.1530723181691342e-6,"0.1338282885969922","1.0"
"AG_L_to_SMG_L",0.7647058823529411,0.2549019607843137,0.00019295009769114996,-5.283657743549103e-5,"0.6136852001074402","1.0"
"AG_L_to_SPG_L",0.7843137254901961,0.23529411764705882,0.00024940382871427454,-0.00019905317553015896,"0.5723590474251985","1.0"
"Amyg_L_to_AG_L",0.19607843137254902,0.8235294117647058,3.511499155741539e-5,2.826593955485804e-5,"1.0","0.3995453253765274"
"Amyg_L_to_Cu_L",0.1568627450980392,0.8627450980392157,4.314177431594297e-5,2.8398068478258987e-5,"1.0","0.36514738345669395"
"Amyg_L_to_ENT_L",0.0196078431372549,1.0,0.00020053548747537837,0.00041975302665402705,"1.0","0.07967811402017454"
"Amyg_L_to_FuG_L",0.0196078431372549,1.0,4.495413849951932e-5,0.0001057319180798081,"1.0","0.07967811402017454"
"Amyg_L_to_IFG_opercularis_L",1.0,0.0196078431372549,1.1958707086859484e-6,-2.529591590786034e-6,"0.08836098541980894","1.0"
