"predictor","neg_ratio","pos_ratio","standard_dev","mean","pos_ratio_adj","neg_ratio_adj"
"AG_L_to_IFG_opercularis_L",1.0,0.02,0.0006053545132689742,-0.0017090801353178402,"0.0889873417721519","1.0"
"AG_L_to_IFG_orbitalis_L",1.0,0.02,3.7620471413654744e-5,-0.00010922017404178801,"0.0889873417721519","1.0"
"AG_L_to_IFG_triangularis_L",1.0,0.02,0.0003046797596680214,-0.0009123771318713101,"0.0889873417721519","1.0"
"AG_L_to_LFOG_L",1.0,0.02,6.4455008275717e-6,-1.3643925439457768e-5,"0.0889873417721519","1.0"
"AG_L_to_MFG_DPFC_L",1.0,0.02,2.2332863940293738e-5,-6.428937427221322e-5,"0.0889873417721519","1.0"
"AG_L_to_MFG_L",1.0,0.02,0.00033756081543160433,-0.00109936195075677,"0.0889873417721519","1.0"
"AG_L_to_MFOG_L",1.0,0.02,6.017902396551759e-6,-1.5327642610464235e-5,"0.0889873417721519","1.0"
"AG_L_to_PoCG_L",1.0,0.02,0.00027358542722987546,-0.000693529915887174,"0.0889873417721519","1.0"
"AG_L_to_PrCG_L",1.0,0.02,0.0006073512556033217,-0.0017936792796025048,"0.0889873417721519","1.0"
"AG_L_to_SFG_L",0.9,0.12,0.00012944869941782856,-0.0002073698061505938,"0.3429268292682927","1.0"
"AG_L_to_SFG_PFC_L",1.0,0.02,2.2690787989164812e-5,-6.370926901146697e-5,"0.0889873417721519","1.0"
"AG_L_to_SFG_pole_L",0.98,0.04,7.035113982820718e-7,-1.1626085887819337e-6,"0.13650485436893203","1.0"
"AG_L_to_SMG_L",0.76,0.26,0.00019322875244009264,-4.9345829866562475e-5,"0.6175","1.0"
"AG_L_to_SPG_L",0.78,0.24,0.0002478827104904819,-0.00019278218610597182,"0.5817931034482758","1.0"
"Amyg_L_to_AG_L",0.2,0.82,3.537131605016143e-5,2.7849214261180095e-5,"1.0","0.407536231884058"
"Amyg_L_to_Cu_L",0.16,0.86,4.3439725834623466e-5,2.7878608455306585e-5,"1.0","0.3724503311258278"
"Amyg_L_to_ENT_L",0.02,1.0,0.00020260026311633402,0.0004201639619814921,"1.0","0.08127167630057804"
"Amyg_L_to_FuG_L",0.02,1.0,4.535327558688109e-5,0.00010537202330179088,"1.0","0.08127167630057804"
"Amyg_L_to_IFG_opercularis_L",1.0,0.02,1.2066751124208227e-6,-2.5396057317238857e-6,"0.0889873417721519","1.0"
"Amyg_L_to_IFG_orbitalis_L",1.0,0.02,1.5777743933546755e-6,-3.576281443121664e-6,"0.0889873417721519","1.0"
"Amyg_L_to_IFG_triangularis_L",0.86,0.16,6.143247041249502e-7,-6.204169977265508e-7,"0.44634920634920633","1.0"
"Amyg_L_to_ITG_L",0.32,0.7,0.00023440025915841105,8.828997729917053e-5,"1.0","0.5858333333333333"
"Amyg_L_to_Ins_L",0.3,0.72,1.0438329235591922e-5,4.742405153833128e-6,"1.0","0.555"
"Amyg_L_to_LFOG_L",0.02,1.0,5.586875714907826e-6,1.997057072514668e-5,"1.0","0.08127167630057804"
"Amyg_L_to_LG_L",0.88,0.14,1.963809955718783e-5,-1.685610945885609e-5,"0.3952610441767069","1.0"
"Amyg_L_to_MFG_DPFC_L",0.84,0.18,4.275030299600158e-7,-2.8427526642543387e-7,"0.4866923076923077","1.0"
"Amyg_L_to_MFG_L",0.94,0.08,8.858433424667772e-7,-1.0968505461797383e-6,"0.2383050847457627","1.0"
"Amyg_L_to_MFOG_L",0.2,0.82,2.162457400791636e-5,9.291862669108331e-6,"1.0","0.407536231884058"
"Amyg_L_to_MTG_L",0.02,1.0,0.000137004256155923,0.0003553766091690026,"1.0","0.08127167630057804"
"Amyg_L_to_MTG_L_pole",0.02,1.0,0.00035777650116657663,0.0007145743789210337,"1.0","0.08127167630057804"
"Amyg_L_to_PCC_L",0.44,0.58,3.2789783842515405e-5,1.3481295193026451e-5,"1.0","0.7752380952380952"
"Amyg_L_to_PHG_L",0.02,1.0,0.0005350810715430404,0.0010137295069127061,"1.0","0.08127167630057804"
