,abs_coef_mean,abs_coef_med,coef_mean,coef_med,coef_std,name,rank_mean,rank_med,rank_std,roi
43,0.00010502663183,0.000104622967395,-0.00010502663183,-0.000104622967395,0.000537395626687,ITG_R,8316.71808511,8196.5,5076.70675318,43
97,9.38695248687e-05,8.24650916999e-05,9.38695248687e-05,8.24650916999e-05,0.000453820799289,CP_R,9084.84574468,9395.5,4806.61888426,97
163,8.64041359153e-05,7.78944336169e-05,-8.64041359153e-05,-7.78944336169e-05,0.000480055266083,LenticularFasc_R,8347.33510638,7921.5,4823.29522517,163
9,3.92319480036e-05,7.59487209871e-05,3.92319480036e-05,7.59487209871e-05,0.000477706751733,MFG_DPFC_R,8778.2393617,8671.0,5119.19608062,9
138,6.94077711749e-05,7.28783774001e-05,6.94077711749e-05,7.28783774001e-05,0.000492858991865,CGC_L,8750.5,8746.0,5150.35659011,138
18,8.84733943455e-05,7.16516268992e-05,-8.84733943455e-05,-7.16516268992e-05,0.000526357089148,MFOG_L,8170.30851064,7552.5,5223.35618859,18
117,7.50866000805e-05,7.08845629277e-05,-7.50866000805e-05,-7.08845629277e-05,0.000520643248144,ACR_R,8529.49468085,8123.5,5159.84355744,117
47,7.7229977022e-05,6.81209217645e-05,7.7229977022e-05,6.81209217645e-05,0.000519068324057,ENT_R,8614.90957447,8595.0,5281.83375609,47
150,9.15056301872e-05,6.63139545777e-05,-9.15056301872e-05,-6.63139545777e-05,0.000500935138093,SS_L,9004.40957447,9407.5,5084.07846912,150
83,5.56521835278e-05,6.44192307287e-05,5.56521835278e-05,6.44192307287e-05,0.000511405335978,Thal_R,8075.03723404,7742.0,4882.77416065,83
184,0.000110312353518,6.25564354825e-05,0.000110312353518,6.25564354825e-05,0.000549322157575,PSTG_R,8674.45212766,9356.5,5273.05657079,184
2,5.8912177378e-05,5.86317311163e-05,-5.8912177378e-05,-5.86317311163e-05,0.000560765813002,SFG_PFC_L,7969.89893617,7695.0,4973.51447354,2
