"predictor","real_mean","perm_mean","real_std","perm_std","real_vs_perm_right_p","real_vs_perm_both_p","real_vs_perm_left_p","real_vs_perm_t","real_vs_perm_right_padj","real_vs_perm_both_padj","real_vs_perm_left_padj"
"SFG_PFC_L_to_SFG_L",0.061006606434636394,-0.031580578193667504,0.061608644148483355,0.26931728958124707,5.636387084247982e-25,1.1272774168495964e-24,1.0,10.53332601618425,"2.6883228719800285e-24","2.1808077129707147e-24","1.0"
"SFG_pole_L_to_SFG_L",-0.001046834812483869,-1.612915834447204e-5,0.000731455807958684,0.0026824015564881317,1.0,6.022422352599244e-30,3.011211176299622e-30,-11.749054781331603,"1.0","1.3150226023080627e-29","1.0973956223486298e-29"
"MFG_L_to_SFG_L",-0.16592069407450627,-0.0005379252748189068,0.08122505751606593,0.27048041183639376,1.0,1.9903309628141963e-66,9.951654814070982e-67,-18.58160730657291,"1.0","1.0248719136879071e-65","8.7287819767487e-66"
"MFG_DPFC_L_to_SFG_L",-0.0020434049260622533,-0.007095398696213659,0.017426008575749743,0.06385316375800526,0.007933020832255529,0.015866041664511058,0.9920669791677444,2.416104353403143,"0.021216218504869436","0.01808519066384245","1.0"
"IFG_opercularis_L_to_SFG_L",-0.1795407678826352,0.0022134959117508456,0.07158872673154722,0.21620973951453384,1.0,1.1507163652087769e-108,5.753581826043884e-109,-25.170731200495123,"1.0","1.7514579970457118e-107","1.3533993613535046e-107"
"IFG_orbitalis_L_to_SFG_L",-0.0032993201256868187,-0.00011901197446340498,0.0048591501606545144,0.017275166405372345,0.9999999855313428,2.8937314259918105e-8,1.4468657129959053e-8,-5.592169629520797,"1.0","4.014761428822418e-8","3.403422756706277e-8"
"IFG_triangularis_L_to_SFG_L",-0.030782562913011288,0.014052315994060071,0.04486008536670759,0.1568493435862841,1.0,1.8494217055486425e-17,9.247108527743212e-18,-8.661300393855743,"1.0","3.1276984726190275e-17","2.614961018091318e-17"
"LFOG_L_to_SFG_L",0.0003603434671363611,2.4035381239875558e-5,0.00022295727996580732,0.0006627185828292765,4.981826790354226e-47,9.963653580708452e-47,1.0,15.131780506853874,"3.936023456501239e-46","3.232721459571551e-46","1.0"
"MFOG_L_to_SFG_L",-7.18155568188644e-5,1.828094274747145e-5,0.00023409859329283676,0.0006390256885502137,0.9999887939328332,2.2412134333490964e-5,1.1206067166745482e-5,-4.2596093380798425,"1.0","2.839236112015073e-5","2.401300107159746e-5"
"RG_L_to_SFG_L",0.0021051086164533017,-0.002878892950767609,0.011139238761650226,0.04079408145516511,9.841471878802472e-5,0.00019682943757604943,0.999901585281212,3.736943589354696,"0.000285319983040912","0.00023910618297090513","1.0"
"PoCG_L_to_SFG_L",0.06734772236793568,-0.0033671712279457013,0.039664696329052604,0.12080907535558993,3.265750885310084e-61,6.531501770620168e-61,1.0,17.652912899366243,"3.595800176910571e-60","2.991196607341537e-60","1.0"
