"predictor","real_mean","perm_mean","real_std","perm_std","real_vs_perm_right_p","real_vs_perm_both_p","real_vs_perm_left_p","real_vs_perm_t","real_vs_perm_right_padj","real_vs_perm_both_padj","real_vs_perm_left_padj"
"SFG_L",5.213429066102251,7.384047611050214,3.9109854503813755,132.72850724187592,0.6971380070485004,0.6057239859029993,0.3028619929514996,-0.5163503823096357,"1.0","1.0","1.0"
"SFG_PFC_L",-2.550514005521839,0.9807368167895543,2.9045541906957006,133.81826793648952,0.7978488725569163,0.40430225488616744,0.20215112744308372,-0.8343162454140056,"1.0","1.0","1.0"
"SFG_pole_L",-0.11702516530577946,0.11823298118211414,0.1902154267184032,10.407583454986916,0.7622831790310466,0.4754336419379068,0.2377168209689534,-0.7139358007670058,"1.0","1.0","1.0"
"MFG_L",2.0824075752476703,-1.7308142565094147,4.637778264571882,123.07245464840484,0.16376448323215675,0.3275289664643135,0.8362355167678432,0.9795833918196057,"1.0","1.0","1.0"
"MFG_DPFC_L",-6.0150149530720425,-4.9877706747670505,4.379650898685253,131.0356097310437,0.5979208992695945,0.8041582014608111,0.40207910073040554,-0.24803512695897967,"1.0","1.0","1.0"
"IFG_opercularis_L",17.398202745517423,3.4994232876378963,5.192916606569651,87.26940417570974,3.0571670254383053e-7,6.114334050876611e-7,0.9999996942832974,5.0200498268471545,"1.4062968317016204e-5","2.8125936634032408e-5","1.0"
"IFG_orbitalis_L",-3.439150542348505,4.183491226012933,4.541124452575308,100.96808159049874,0.9912175517316938,0.017564896536612452,0.008782448268306226,-2.3786163036887844,"1.0","0.8079852406841728","0.4039926203420864"
"IFG_triangularis_L",4.801257258204832,-1.1678731971781735,5.596308710990397,80.37690866567966,0.009815064781208105,0.01963012956241621,0.9901849352187919,2.3371122725800646,"0.45149297993557286","0.9029859598711457","1.0"
"LFOG_L",-11.45471070005297,-3.7549810934590004,6.281080899656653,137.50334864736973,0.9615421276658739,0.07691574466825224,0.03845787233412612,-1.7706985457426865,"1.0","1.0","1.0"
"MFOG_L",0.027082481065663647,0.351315594232955,2.1074438181855313,82.17936121310038,0.5496594396834138,0.9006811206331724,0.4503405603165862,-0.12483269064540124,"1.0","1.0","1.0"
"RG_L",1.2583636590486091,0.6075929498696632,1.0431733533829426,52.14238314733109,0.3466829629545658,0.6933659259091316,0.6533170370454342,0.39440541563983533,"1.0","1.0","1.0"
"PoCG_L",2.451734053989128,0.6543644140152736,4.820825549206468,140.97004955177192,0.3434701047757875,0.686940209551575,0.6565298952242125,0.40312815309931466,"1.0","1.0","1.0"
"PrCG_L",20.539332237772644,-3.4707889189267975,6.427471804387338,114.13965624865422,2.275518730450143e-11,4.551037460900286e-11,0.9999999999772449,6.6587296585053695,"1.046738616007066e-9","2.093477232014132e-9","1.0"
"SPG_L",10.593411645953893,3.3632805370469487,4.776553074908701,101.59832623627838,0.01229425750324639,0.02458851500649278,0.9877057424967537,2.251216414826812,"0.565535845149334","1.0","1.0"
"SMG_L",16.341323097958483,2.034533729690475,5.256667593497179,108.82213800317525,1.769034457860528e-5,3.538068915721056e-5,0.9999823096554215,4.15455652788251,"0.0008137558506158429","0.0016275117012316859","1.0"
"AG_L",3.4586450414621157,-2.8739525668692694,6.310809079849803,82.40107001758193,0.00775054966912747,0.01550109933825494,0.9922494503308725,2.4246161393800496,"0.3565252847798636","0.7130505695597272","1.0"
"PrCu_L",6.4863873866348944,0.4933213135572411,4.932419438599023,114.4534997953688,0.04897194298791934,0.09794388597583868,0.9510280570120806,1.656454234994345,"1.0","1.0","1.0"
"STG_L",-0.8066309041658403,-5.5026079415858,5.189878105120794,117.32428708534997,0.10350190760440767,0.20700381520881533,0.8964980923955923,1.2626662053775208,"1.0","1.0","1.0"
"STG_L_pole",-14.921494860743751,3.493956321130035,6.4092688847007535,116.868781448238,0.9999996200602848,7.598794303426869e-7,3.7993971517134346e-7,-4.977079981467883,"1.0","3.49544537957636e-5","1.74772268978818e-5"
"MTG_L",-4.6179055416778265,1.770570342971079,5.807165636567702,99.09989958953061,0.9790421803720277,0.04191563925594439,0.020957819627972194,-2.036976096977538,"1.0","1.0","0.9640597028867209"
"MTG_L_pole",-13.598480111086795,-6.03567634233693,6.301616548220542,117.15742669387035,0.9793761882879533,0.04124762342409362,0.02062381171204681,-2.0436741036607926,"1.0","1.0","0.9486953387541532"
"ITG_L",-0.8592247359447819,1.9846909017308367,5.459833139679693,123.7227326381981,0.7664700712102174,0.46705985757956525,0.23352992878978263,-0.7275495279654705,"1.0","1.0","1.0"
"PHG_L",-1.0823165184044101,-4.7411828537526945,2.5279986574283013,150.73110558781477,0.2213990255523196,0.4427980511046392,0.7786009744476804,0.7677821543918947,"1.0","1.0","1.0"
"ENT_L",2.505898120532645,-0.9037862458196491,3.0532071824443303,114.51555346244093,0.1735407307265564,0.3470814614531128,0.8264592692734436,0.9407089016648185,"1.0","1.0","1.0"
"FuG_L",0.13092608585377524,2.1234339431011717,2.992179235204902,132.98386819920455,0.6820730308899163,0.6358539382201673,0.31792696911008367,-0.47364868826377127,"1.0","1.0","1.0"
"SOG_L",-8.060528457530264,-2.7394594731815434,5.264659411703826,122.74195995914664,0.9144198866640201,0.17116022667195996,0.08558011333597998,-1.3694698145834656,"1.0","1.0","1.0"
"MOG_L",-9.32670598504614,-0.7521932610835409,6.346734208645089,129.94471888457554,0.9814259778004604,0.03714804439907917,0.018574022199539585,-2.0869239127000605,"1.0","1.0","0.8544050211788209"
"IOG_L",5.138281395693612,3.0945223918193796,6.360253030534328,145.35157172859917,0.3286575567226353,0.6573151134452706,0.6713424432773647,0.44375597827968416,"1.0","1.0","1.0"
"Cu_L",-5.421868917000621,3.2246297754951705,5.192975666524148,149.09667388355277,0.9662962479132777,0.06740750417344463,0.03370375208672231,-1.8309381484388838,"1.0","1.0","1.0"
"LG_L",-7.416884708805909,2.6915499802755187,3.696974481660529,203.64837327935763,0.941615628998953,0.11676874200209403,0.058384371001047014,-1.5698411038102045,"1.0","1.0","1.0"
"rostral_ACC_L",-2.194098842587545,-0.3924208110335524,3.4663588452040313,120.78516523402655,0.6812344019500165,0.6375311960999669,0.31876559804998345,-0.47129750977283674,"1.0","1.0","1.0"
"subcallosal_ACC_L",0.19721982247711992,0.09119769353902787,0.15840782005935944,7.755602410399241,0.3329299470968038,0.6658598941936076,0.6670700529031962,0.4319652362551859,"1.0","1.0","1.0"
"subgenual_ACC_L",0.0,0.0,0.0,0.0,NaN,1.0,NaN,NaN,"1.0","1.0","1.0"
"dorsal_ACC_L",4.445785736213128,-7.8161084453065985,3.5542648649346478,134.93984182673714,0.0020832688274443757,0.004166537654888751,0.9979167311725556,2.8718878872878717,"0.09583036606244129","0.19166073212488258","1.0"
"PCC_L",4.329588114034951,-3.2423864455051987,2.9057768677945406,109.5628853542568,0.014521115247856405,0.02904223049571281,0.9854788847521436,2.1860665520506135,"0.6679713014013946","1.0","1.0"
"Ins_L",4.936208332120262,-3.330376657455916,5.713393140734932,104.68993401709483,0.006308707789785579,0.012617415579571158,0.9936912922102143,2.4989049090624023,"0.29020055833013664","0.5804011166602733","1.0"
"Amyg_L",-9.968121274241774,1.5763228761691956,7.119349231710637,98.6412979461667,0.9998858680115257,0.00022826397694856212,0.00011413198847428106,-3.698982692551634,"1.0","0.010500142939633857","0.005250071469816929"
"Hippo_L",8.849260606977037,-2.948731205219794,5.494017090087803,158.20481116226645,0.009355504995060281,0.018711009990120563,0.9906444950049398,2.3550862805994597,"0.43035322977277296","0.8607064595455459","1.0"
"Caud_L",10.102790361223242,-8.528116672548446,6.6864936247386035,114.81403487596631,1.8037868887224098e-7,3.6075737774448195e-7,0.9999998196213111,5.123026458404963,"8.297419688123085e-6","1.659483937624617e-5","1.0"
"Put_L",2.7644285061785916,2.299655938915722,6.313432260725101,85.7343092029981,0.4322629165246517,0.8645258330493034,0.5677370834753483,0.17065979715077226,"1.0","1.0","1.0"
"GP_L",2.9829095274136095,-1.2420790130287511,5.567288102115172,91.36388957646379,0.0724273380768327,0.1448546761536654,0.9275726619231672,1.4590900216054528,"1.0","1.0","1.0"
"Thal_L",5.936539057614242,6.5256812378207405,5.872831566954748,138.19403725186925,0.5536168373916963,0.8927663252166074,0.4463831626083037,-0.1348390076448968,"1.0","1.0","1.0"
"PIns_L",18.878808323630864,2.253913204539493,8.1003413684023,80.77363554478809,8.726580056945551e-11,1.7453160113891103e-10,0.9999999999127342,6.449480356516419,"4.014226826194954e-9","8.028453652389907e-9","1.0"
"PSTG_L",10.090619786698404,2.1946757788133042,4.878256997206161,96.8892617382401,0.005188763185579925,0.01037752637115985,0.9948112368144201,2.5678525340988365,"0.23868310653667654","0.4773662130733531","1.0"
"PSMG_L",11.297168974658064,0.6377666869071339,6.376913635960155,84.41819271155637,3.409911228461068e-5,6.819822456922136e-5,0.9999659008877153,3.9993520194587977,"0.0015685591650920912","0.0031371183301841825","1.0"
"PSIG_L",-16.84549395605782,0.004195009154435809,8.347036511096425,113.34848704518934,0.9999984395311723,3.1209376553981855e-6,1.5604688276990927e-6,-4.689363292635045,"1.0","0.00014356313214831652","7.178156607415826e-5"
